ObjectID;DateTime;P_in;T_in;Qh
7360;2021-01-01 00:00:00;NULL;NULL;0,382
7360;2021-01-01 02:00:00;NULL;NULL;0,367
7360;2021-01-01 04:00:00;NULL;NULL;0,359
7360;2021-01-01 06:00:00;44,5;-4;0,368
7360;2021-01-01 08:00:00;NULL;NULL;0,403
7360;2021-01-01 10:00:00;NULL;NULL;0,42
7360;2021-01-01 12:00:00;44,8;-3;0,43
7360;2021-01-01 14:00:00;45,4;-3;0,412
7360;2021-01-01 16:00:00;NULL;NULL;0,427
7360;2021-01-01 18:00:00;45,7;-4;0,445
7360;2021-01-01 20:00:00;NULL;NULL;0,45
7360;2021-01-01 22:00:00;NULL;NULL;0,404
7360;2021-01-02 00:00:00;NULL;NULL;0,369
7360;2021-01-02 02:00:00;NULL;NULL;0,365
7360;2021-01-02 04:00:00;NULL;NULL;0,355
7360;2021-01-02 06:00:00;45,5;-4;0,38
7360;2021-01-02 08:00:00;NULL;NULL;0,416
7360;2021-01-02 10:00:00;NULL;NULL;0,426
7360;2021-01-02 12:00:00;45,6;-2;0,392
7360;2021-01-02 14:00:00;45,3;-2;0,41
7360;2021-01-02 16:00:00;NULL;NULL;0,457
7360;2021-01-02 18:00:00;44,6;-3;0,458
7360;2021-01-02 20:00:00;NULL;NULL;0,455
7360;2021-01-02 22:00:00;NULL;NULL;0,396
7360;2021-01-03 00:00:00;NULL;NULL;0,366
7360;2021-01-03 02:00:00;NULL;NULL;0,358
7360;2021-01-03 04:00:00;NULL;NULL;0,367
7360;2021-01-03 06:00:00;46,2;-5;0,385
7360;2021-01-03 08:00:00;NULL;NULL;0,421
7360;2021-01-03 10:00:00;NULL;NULL;0,426
7360;2021-01-03 12:00:00;46,5;-3;0,398
7360;2021-01-03 14:00:00;46,7;-3;0,396
7360;2021-01-03 16:00:00;NULL;NULL;0,432
7360;2021-01-03 18:00:00;46,7;-4;0,462
7360;2021-01-03 20:00:00;NULL;NULL;0,443
7360;2021-01-03 22:00:00;NULL;NULL;0,402
7360;2021-01-04 00:00:00;NULL;NULL;0,363
7360;2021-01-04 02:00:00;NULL;NULL;0,356
7360;2021-01-04 04:00:00;NULL;NULL;0,362
7360;2021-01-04 06:00:00;46,3;-2;0,372
7360;2021-01-04 08:00:00;NULL;NULL;0,411
7360;2021-01-04 10:00:00;NULL;NULL;0,418
7360;2021-01-04 12:00:00;46,8;-1;0,401
7360;2021-01-04 14:00:00;46,7;-1;0,406
7360;2021-01-04 16:00:00;NULL;NULL;0,432
7360;2021-01-04 18:00:00;46;-3;0,46
7360;2021-01-04 20:00:00;NULL;NULL;0,459
7360;2021-01-04 22:00:00;NULL;NULL;0,431
7360;2021-01-05 00:00:00;NULL;NULL;0,389
7360;2021-01-05 02:00:00;NULL;NULL;0,373
7360;2021-01-05 04:00:00;NULL;NULL;0,374
7360;2021-01-05 06:00:00;46,5;-4;0,399
7360;2021-01-05 08:00:00;NULL;NULL;0,444
7360;2021-01-05 10:00:00;NULL;NULL;0,451
7360;2021-01-05 12:00:00;46,7;-3;0,419
7360;2021-01-05 14:00:00;46,5;-3;0,407
7360;2021-01-05 16:00:00;NULL;NULL;0,446
7360;2021-01-05 18:00:00;46;-4;0,472
7360;2021-01-05 20:00:00;NULL;NULL;0,468
7360;2021-01-05 22:00:00;NULL;NULL;0,413
7360;2021-01-06 00:00:00;NULL;NULL;0,384
7360;2021-01-06 02:00:00;NULL;NULL;0,371
7360;2021-01-06 04:00:00;NULL;NULL;0,369
7360;2021-01-06 06:00:00;46;-4;0,387
7360;2021-01-06 08:00:00;NULL;NULL;0,407
7360;2021-01-06 10:00:00;NULL;NULL;0,412
7360;2021-01-06 12:00:00;46,2;-2;0,392
7360;2021-01-06 14:00:00;46,1;-1;0,407
7360;2021-01-06 16:00:00;NULL;NULL;0,437
7360;2021-01-06 18:00:00;46;-2;0,464
7360;2021-01-06 20:00:00;NULL;NULL;0,456
7360;2021-01-06 22:00:00;NULL;NULL;0,42
7360;2021-01-07 00:00:00;NULL;NULL;0,367
7360;2021-01-07 02:00:00;NULL;NULL;0,363
7360;2021-01-07 04:00:00;NULL;NULL;0,372
7360;2021-01-07 06:00:00;45,4;-5;0,398
7360;2021-01-07 08:00:00;NULL;NULL;0,444
7360;2021-01-07 10:00:00;NULL;NULL;0,456
7360;2021-01-07 12:00:00;45;-4;0,422
7360;2021-01-07 14:00:00;45,4;-4;0,398
7360;2021-01-07 16:00:00;NULL;NULL;0,459
7360;2021-01-07 18:00:00;45,7;-5;0,494
7360;2021-01-07 20:00:00;NULL;NULL;0,469
7360;2021-01-07 22:00:00;NULL;NULL;0,439
7360;2021-01-08 00:00:00;NULL;NULL;0,41
7360;2021-01-08 02:00:00;NULL;NULL;0,387
7360;2021-01-08 04:00:00;NULL;NULL;0,398
7360;2021-01-08 06:00:00;46,8;-5;0,43
7360;2021-01-08 08:00:00;NULL;NULL;0,472
7360;2021-01-08 10:00:00;NULL;NULL;0,478
7360;2021-01-08 12:00:00;46,3;-2;0,454
7360;2021-01-08 14:00:00;47,4;-2;0,44
7360;2021-01-08 16:00:00;NULL;NULL;0,448
7360;2021-01-08 18:00:00;47,5;-4;0,481
7360;2021-01-08 20:00:00;NULL;NULL;0,473
7360;2021-01-08 22:00:00;NULL;NULL;0,449
7360;2021-01-09 00:00:00;NULL;NULL;0,408
7360;2021-01-09 02:00:00;NULL;NULL;0,388
