ObjectID;DateTime;P_in;T_in;Qh
7370;2021-01-01 00:00:00;NULL;NULL;0,372
7370;2021-01-01 02:00:00;NULL;NULL;0,35
7370;2021-01-01 04:00:00;NULL;NULL;0,347
7370;2021-01-01 06:00:00;44,5;-5;0,359
7370;2021-01-01 08:00:00;NULL;NULL;0,389
7370;2021-01-01 10:00:00;NULL;NULL;0,432
7370;2021-01-01 12:00:00;44,9;-5;0,419
7370;2021-01-01 14:00:00;45,5;-5;0,412
7370;2021-01-01 16:00:00;NULL;NULL;0,417
7370;2021-01-01 18:00:00;45,9;-5;0,433
7370;2021-01-01 20:00:00;NULL;NULL;0,447
7370;2021-01-01 22:00:00;NULL;NULL;0,409
7370;2021-01-02 00:00:00;NULL;NULL;0,387
7370;2021-01-02 02:00:00;NULL;NULL;0,36
7370;2021-01-02 04:00:00;NULL;NULL;0,364
7370;2021-01-02 06:00:00;45,5;-5;0,376
7370;2021-01-02 08:00:00;NULL;NULL;0,412
7370;2021-01-02 10:00:00;NULL;NULL;0,414
7370;2021-01-02 12:00:00;45,5;-2;0,403
7370;2021-01-02 14:00:00;45,2;-3;0,401
7370;2021-01-02 16:00:00;NULL;NULL;0,453
7370;2021-01-02 18:00:00;44,5;-4;0,448
7370;2021-01-02 20:00:00;NULL;NULL;0,418
7370;2021-01-02 22:00:00;NULL;NULL;0,395
7370;2021-01-03 00:00:00;NULL;NULL;0,363
7370;2021-01-03 02:00:00;NULL;NULL;0,345
7370;2021-01-03 04:00:00;NULL;NULL;0,344
7370;2021-01-03 06:00:00;46,2;-5;0,374
7370;2021-01-03 08:00:00;NULL;NULL;0,419
7370;2021-01-03 10:00:00;NULL;NULL;0,44
7370;2021-01-03 12:00:00;46,5;-5;0,424
7370;2021-01-03 14:00:00;46,7;-4;0,406
7370;2021-01-03 16:00:00;NULL;NULL;0,43
7370;2021-01-03 18:00:00;46,8;-5;0,448
7370;2021-01-03 20:00:00;NULL;NULL;0,435
7370;2021-01-03 22:00:00;NULL;NULL;0,4
7370;2021-01-04 00:00:00;NULL;NULL;0,362
7370;2021-01-04 02:00:00;NULL;NULL;0,349
7370;2021-01-04 04:00:00;NULL;NULL;0,35
7370;2021-01-04 06:00:00;47;-5;0,371
7370;2021-01-04 08:00:00;NULL;NULL;0,411
7370;2021-01-04 10:00:00;NULL;NULL;0,428
7370;2021-01-04 12:00:00;46,5;-5;0,411
7370;2021-01-04 14:00:00;46,5;-2;0,399
7370;2021-01-04 16:00:00;NULL;NULL;0,435
7370;2021-01-04 18:00:00;46,5;-5;0,463
7370;2021-01-04 20:00:00;NULL;NULL;0,45
7370;2021-01-04 22:00:00;NULL;NULL;0,413
7370;2021-01-05 00:00:00;NULL;NULL;0,365
7370;2021-01-05 02:00:00;NULL;NULL;0,358
7370;2021-01-05 04:00:00;NULL;NULL;0,357
7370;2021-01-05 06:00:00;46,5;-5;0,382
7370;2021-01-05 08:00:00;NULL;NULL;0,43
7370;2021-01-05 10:00:00;NULL;NULL;0,439
7370;2021-01-05 12:00:00;46,6;-3;0,409
7370;2021-01-05 14:00:00;46,5;-2;0,401
7370;2021-01-05 16:00:00;NULL;NULL;0,433
7370;2021-01-05 18:00:00;46;-5;0,463
7370;2021-01-05 20:00:00;NULL;NULL;0,436
7370;2021-01-05 22:00:00;NULL;NULL;0,412
7370;2021-01-06 00:00:00;NULL;NULL;0,371
7370;2021-01-06 02:00:00;NULL;NULL;0,351
7370;2021-01-06 04:00:00;NULL;NULL;0,348
7370;2021-01-06 06:00:00;46;-4;0,37
7370;2021-01-06 08:00:00;NULL;NULL;0,42
7370;2021-01-06 10:00:00;NULL;NULL;0,422
7370;2021-01-06 12:00:00;46;-2;0,403
7370;2021-01-06 14:00:00;46,1;-2;0,394
7370;2021-01-06 16:00:00;NULL;NULL;0,423
7370;2021-01-06 18:00:00;46;-4;0,455
7370;2021-01-06 20:00:00;NULL;NULL;0,423
7370;2021-01-06 22:00:00;NULL;NULL;0,395
7370;2021-01-07 00:00:00;NULL;NULL;0,365
7370;2021-01-07 02:00:00;NULL;NULL;0,349
7370;2021-01-07 04:00:00;NULL;NULL;0,356
7370;2021-01-07 06:00:00;45,4;-5;0,382
7370;2021-01-07 08:00:00;NULL;NULL;0,442
7370;2021-01-07 10:00:00;NULL;NULL;0,464
7370;2021-01-07 12:00:00;44,9;-5;0,431
7370;2021-01-07 14:00:00;45,5;-5;0,399
7370;2021-01-07 16:00:00;NULL;NULL;0,453
7370;2021-01-07 18:00:00;45,8;-5;0,462
7370;2021-01-07 20:00:00;NULL;NULL;0,475
7370;2021-01-07 22:00:00;NULL;NULL;0,422
7370;2021-01-08 00:00:00;NULL;NULL;0,389
7370;2021-01-08 02:00:00;NULL;NULL;0,373
7370;2021-01-08 04:00:00;NULL;NULL;0,376
7370;2021-01-08 06:00:00;47;-5;0,397
7370;2021-01-08 08:00:00;NULL;NULL;0,448
7370;2021-01-08 10:00:00;NULL;NULL;0,459
7370;2021-01-08 12:00:00;47,5;-5;0,445
7370;2021-01-08 14:00:00;47,5;-5;0,434
7370;2021-01-08 16:00:00;NULL;NULL;0,443
7370;2021-01-08 18:00:00;47,5;-6;0,485
7370;2021-01-08 20:00:00;NULL;NULL;0,465
7370;2021-01-08 22:00:00;NULL;NULL;0,426
7370;2021-01-09 00:00:00;NULL;NULL;0,388
7370;2021-01-09 02:00:00;NULL;NULL;0,375
7370;2021-01-09 04:00:00;NULL;NULL;0,365
7370;2021-01-09 06:00:00;47,5;-5;0,381
7370;2021-01-09 08:00:00;NULL;NULL;0,435
7370;2021-01-09 10:00:00;NULL;NULL;0,451
7370;2021-01-09 12:00:00;47,6;-5;0,437
7370;2021-01-09 14:00:00;47,6;5;0,448
7370;2021-01-09 16:00:00;NULL;NULL;0,472
7370;2021-01-09 18:00:00;47,6;-5;0,466
7370;2021-01-09 20:00:00;NULL;NULL;0,446
7370;2021-01-09 22:00:00;NULL;NULL;0,396
7370;2021-01-10 00:00:00;NULL;NULL;0,357
7370;2021-01-10 02:00:00;NULL;NULL;0,342
7370;2021-01-10 04:00:00;NULL;NULL;0,347
7370;2021-01-10 06:00:00;47,8;-3;0,352
7370;2021-01-10 08:00:00;NULL;NULL;0,398
7370;2021-01-10 10:00:00;NULL;NULL;0,39
7370;2021-01-10 12:00:00;47;-3;0,382
7370;2021-01-10 14:00:00;48;-3;0,372
7370;2021-01-10 16:00:00;NULL;NULL;0,415
7370;2021-01-10 18:00:00;47,7;-3;0,416
7370;2021-01-10 20:00:00;NULL;NULL;0,417
7370;2021-01-10 22:00:00;NULL;NULL;0,367
7370;2021-01-11 00:00:00;NULL;NULL;0,324
7370;2021-01-11 02:00:00;NULL;NULL;0,317
7370;2021-01-11 04:00:00;NULL;NULL;0,313
7370;2021-01-11 06:00:00;48;-2;0,335
7370;2021-01-11 08:00:00;NULL;NULL;0,364
7370;2021-01-11 10:00:00;NULL;NULL;0,337
7370;2021-01-11 12:00:00;48,1;-4;0,359
7370;2021-01-11 14:00:00;47,5;-5;0,38
7370;2021-01-11 16:00:00;NULL;NULL;0,411
7370;2021-01-11 18:00:00;46,2;-5;0,428
7370;2021-01-11 20:00:00;NULL;NULL;0,43
7370;2021-01-11 22:00:00;NULL;NULL;0,399
7370;2021-01-12 00:00:00;NULL;NULL;0,354
7370;2021-01-12 02:00:00;NULL;NULL;0,346
7370;2021-01-12 04:00:00;NULL;NULL;0,361
7370;2021-01-12 06:00:00;44;-6;0,386
7370;2021-01-12 08:00:00;NULL;NULL;0,421
7370;2021-01-12 10:00:00;NULL;NULL;0,419
7370;2021-01-12 12:00:00;43,7;-5;0,4
7370;2021-01-12 14:00:00;43,5;-5;0,401
7370;2021-01-12 16:00:00;NULL;NULL;0,412
7370;2021-01-12 18:00:00;43,3;-5;0,447
7370;2021-01-12 20:00:00;NULL;NULL;0,45
7370;2021-01-12 22:00:00;NULL;NULL;0,425
7370;2021-01-13 00:00:00;NULL;NULL;0,39
