ObjectID;DateTime;P_in;T_in;Qh
2190;2021-01-01 00:00:00;NULL;NULL;4,775
2190;2021-01-01 02:00:00;NULL;NULL;4,651
2190;2021-01-01 04:00:00;NULL;NULL;4,641
2190;2021-01-01 06:00:00;44,7;4;4,636
2190;2021-01-01 08:00:00;44,9;4;4,638
2190;2021-01-01 10:00:00;45;4;NULL
2190;2021-01-01 12:00:00;45,5;4;4,789
2190;2021-01-01 14:00:00;45,7;4;4,908
2190;2021-01-01 16:00:00;46;4;4,885
2190;2021-01-01 18:00:00;46,1;4;4,827
2190;2021-01-01 20:00:00;NULL;NULL;4,805
2190;2021-01-01 22:00:00;NULL;NULL;4,823
2190;2021-01-02 00:00:00;NULL;NULL;4,791
2190;2021-01-02 02:00:00;NULL;NULL;4,748
2190;2021-01-02 04:00:00;NULL;NULL;4,645
2190;2021-01-02 06:00:00;45,7;4;4,604
2190;2021-01-02 08:00:00;NULL;NULL;4,62
2190;2021-01-02 12:00:00;45,7;4;4,934
2190;2021-01-02 14:00:00;45,5;4;4,926
2190;2021-01-02 16:00:00;NULL;NULL;4,858
2190;2021-01-02 18:00:00;44,7;4;4,818
2190;2021-01-02 20:00:00;45,2;5;5,006
2190;2021-01-02 22:00:00;45,5;5;5,044
2190;2021-01-03 00:00:00;45,7;5;4,795
2190;2021-01-03 02:00:00;46;5;4,637
2190;2021-01-03 04:00:00;46,1;5;4,614
2190;2021-01-03 06:00:00;46,3;5;4,62
2190;2021-01-03 08:00:00;NULL;NULL;4,66
2190;2021-01-03 12:00:00;46,6;5;5,031
2190;2021-01-03 14:00:00;46,7;5;5,032
2190;2021-01-03 16:00:00;NULL;NULL;4,909
2190;2021-01-03 18:00:00;46,8;5;4,884
2190;2021-01-03 20:00:00;NULL;NULL;4,933
2190;2021-01-03 22:00:00;NULL;NULL;4,947
2190;2021-01-04 00:00:00;NULL;NULL;4,822
2190;2021-01-04 02:00:00;NULL;NULL;4,653
2190;2021-01-04 04:00:00;NULL;NULL;4,564
2190;2021-01-04 06:00:00;47;5;4,565
2190;2021-01-04 08:00:00;NULL;NULL;4,608
2190;2021-01-04 12:00:00;46,8;5;5,05
2190;2021-01-04 14:00:00;46,7;5;4,919
2190;2021-01-04 16:00:00;NULL;NULL;4,743
2190;2021-01-04 18:00:00;46,6;5;4,774
2190;2021-01-04 20:00:00;NULL;NULL;5,021
2190;2021-01-04 22:00:00;NULL;NULL;5,057
2190;2021-01-05 00:00:00;NULL;NULL;5,053
2190;2021-01-05 02:00:00;NULL;NULL;4,891
2190;2021-01-05 04:00:00;NULL;NULL;4,822
2190;2021-01-05 06:00:00;46,5;5;4,799
2190;2021-01-05 08:00:00;46,7;6;4,815
2190;2021-01-05 10:00:00;46,8;6;NULL
2190;2021-01-05 12:00:00;46,7;6;5,123
2190;2021-01-05 14:00:00;46,4;6;5,018
2190;2021-01-05 16:00:00;46,2;6;4,903
2190;2021-01-05 18:00:00;46;6;4,899
2190;2021-01-05 20:00:00;NULL;NULL;5,099
2190;2021-01-05 22:00:00;NULL;NULL;5,103
2190;2021-01-06 00:00:00;NULL;NULL;4,943
2190;2021-01-06 02:00:00;NULL;NULL;4,779
2190;2021-01-06 04:00:00;NULL;NULL;4,693
2190;2021-01-06 06:00:00;46,1;6;4,668
2190;2021-01-06 08:00:00;NULL;NULL;4,69
