ObjectID;DateTime;P_in;T_in;Qh
2110;2021-01-01 00:00:00;NULL;NULL;1,897
2110;2021-01-01 02:00:00;NULL;NULL;1,858
2110;2021-01-01 04:00:00;NULL;NULL;1,967
2110;2021-01-01 06:00:00;45;2;1,849
2110;2021-01-01 08:00:00;NULL;NULL;1,866
2110;2021-01-01 10:00:00;NULL;NULL;1,881
2110;2021-01-01 12:00:00;45,3;2;1,914
2110;2021-01-01 14:00:00;45,4;2;1,965
2110;2021-01-01 16:00:00;NULL;NULL;1,786
2110;2021-01-01 18:00:00;46,2;2;1,875
2110;2021-01-01 20:00:00;NULL;NULL;1,945
2110;2021-01-01 22:00:00;NULL;NULL;1,937
2110;2021-01-02 00:00:00;NULL;NULL;1,929
2110;2021-01-02 02:00:00;NULL;NULL;1,931
2110;2021-01-02 04:00:00;NULL;NULL;1,727
2110;2021-01-02 06:00:00;46;2;1,721
2110;2021-01-02 08:00:00;NULL;NULL;1,866
2110;2021-01-02 10:00:00;NULL;NULL;1,86
2110;2021-01-02 12:00:00;46;2;1,933
2110;2021-01-02 14:00:00;45,5;2;1,923
2110;2021-01-02 16:00:00;NULL;NULL;1,904
2110;2021-01-02 18:00:00;44,7;1;1,953
2110;2021-01-02 20:00:00;NULL;NULL;2,011
2110;2021-01-02 22:00:00;NULL;NULL;2,042
2110;2021-01-03 00:00:00;NULL;NULL;1,886
2110;2021-01-03 02:00:00;NULL;NULL;1,874
2110;2021-01-03 04:00:00;NULL;NULL;1,944
2110;2021-01-03 06:00:00;46,4;2;1,744
2110;2021-01-03 08:00:00;NULL;NULL;1,846
2110;2021-01-03 10:00:00;NULL;NULL;1,914
2110;2021-01-03 12:00:00;46,5;2;1,988
2110;2021-01-03 14:00:00;46,7;1;2,019
2110;2021-01-03 16:00:00;NULL;NULL;2,02
2110;2021-01-03 18:00:00;47;1;2,02
2110;2021-01-03 20:00:00;NULL;NULL;2,032
2110;2021-01-03 22:00:00;NULL;NULL;1,978
2110;2021-01-04 00:00:00;NULL;NULL;1,783
2110;2021-01-04 02:00:00;NULL;NULL;1,839
2110;2021-01-04 04:00:00;NULL;NULL;1,905
2110;2021-01-04 06:00:00;47;1;1,907
2110;2021-01-04 08:00:00;NULL;NULL;1,895
2110;2021-01-04 10:00:00;NULL;NULL;1,89
2110;2021-01-04 12:00:00;47;1;1,971
2110;2021-01-04 14:00:00;46,8;1;1,966
2110;2021-01-04 16:00:00;NULL;NULL;1,972
2110;2021-01-04 18:00:00;46,6;1;1,962
2110;2021-01-04 20:00:00;NULL;NULL;1,948
2110;2021-01-04 22:00:00;NULL;NULL;1,942
2110;2021-01-05 00:00:00;NULL;NULL;1,962
2110;2021-01-05 02:00:00;NULL;NULL;2,037
2110;2021-01-05 04:00:00;NULL;NULL;1,988
2110;2021-01-05 06:00:00;46,5;1;1,852
2110;2021-01-05 08:00:00;NULL;NULL;1,935
2110;2021-01-05 10:00:00;NULL;NULL;1,963
2110;2021-01-05 12:00:00;46,8;1;2,01
2110;2021-01-05 14:00:00;46,5;1;2,006
2110;2021-01-05 16:00:00;NULL;NULL;1,993
2110;2021-01-05 18:00:00;46;1;1,988
2110;2021-01-05 20:00:00;NULL;NULL;2,05
2110;2021-01-05 22:00:00;NULL;NULL;2,074
2110;2021-01-06 00:00:00;NULL;NULL;2,065
2110;2021-01-06 02:00:00;NULL;NULL;1,844
2110;2021-01-06 04:00:00;NULL;NULL;1,919
2110;2021-01-06 06:00:00;46;1;1,934
2110;2021-01-06 08:00:00;NULL;NULL;1,935
2110;2021-01-06 10:00:00;NULL;NULL;1,935
2110;2021-01-06 12:00:00;46,1;1;1,937
2110;2021-01-06 14:00:00;46,1;1;1,926
2110;2021-01-06 16:00:00;NULL;NULL;1,927
2110;2021-01-06 18:00:00;46;1;1,925
2110;2021-01-06 20:00:00;NULL;NULL;1,991
2110;2021-01-06 22:00:00;NULL;NULL;1,995
2110;2021-01-07 00:00:00;NULL;NULL;1,982
2110;2021-01-07 02:00:00;NULL;NULL;1,889
2110;2021-01-07 04:00:00;NULL;NULL;1,818
2110;2021-01-07 06:00:00;45,5;1;1,896
2110;2021-01-07 08:00:00;NULL;NULL;1,909
2110;2021-01-07 10:00:00;NULL;NULL;2,037
2110;2021-01-07 12:00:00;45,2;1;2,083
2110;2021-01-07 14:00:00;45,5;1;2,098
2110;2021-01-07 16:00:00;NULL;NULL;2,116
2110;2021-01-07 18:00:00;46;1;2,119
2110;2021-01-07 20:00:00;NULL;NULL;2,138
2110;2021-01-07 22:00:00;NULL;NULL;1,87
2110;2021-01-08 00:00:00;NULL;NULL;2,011
2110;2021-01-08 02:00:00;NULL;NULL;2,03
2110;2021-01-08 04:00:00;NULL;NULL;2,05
2110;2021-01-08 06:00:00;47,2;1;2,065
2110;2021-01-08 08:00:00;NULL;NULL;2,063
2110;2021-01-08 10:00:00;NULL;NULL;2,071
2110;2021-01-08 12:00:00;47,5;1;2,078
2110;2021-01-08 14:00:00;47,5;1;2,087
2110;2021-01-08 16:00:00;NULL;NULL;2,088
2110;2021-01-08 18:00:00;47,6;1;2,083
2110;2021-01-08 20:00:00;NULL;NULL;2,022
2110;2021-01-08 22:00:00;NULL;NULL;2,016
2110;2021-01-09 00:00:00;NULL;NULL;2,019
2110;2021-01-09 02:00:00;NULL;NULL;2,019
2110;2021-01-09 04:00:00;NULL;NULL;2,121
2110;2021-01-09 06:00:00;48;1;1,875
2110;2021-01-09 08:00:00;NULL;NULL;2,009
2110;2021-01-09 10:00:00;NULL;NULL;2,041
2110;2021-01-09 12:00:00;48;1;2,106
2110;2021-01-09 14:00:00;47,8;1;2,126
2110;2021-01-09 16:00:00;NULL;NULL;0
2110;2021-01-09 18:00:00;47,8;1;2,201
2110;2021-01-09 20:00:00;NULL;NULL;2,194
2110;2021-01-09 22:00:00;NULL;NULL;2,195
2110;2021-01-10 00:00:00;NULL;NULL;1,925
2110;2021-01-10 02:00:00;NULL;NULL;1,92
2110;2021-01-10 04:00:00;NULL;NULL;1,944
2110;2021-01-10 06:00:00;48;1;1,825
2110;2021-01-10 08:00:00;NULL;NULL;1,943
2110;2021-01-10 10:00:00;NULL;NULL;1,958
2110;2021-01-10 12:00:00;48,2;1;1,953
2110;2021-01-10 14:00:00;48,1;1;1,949
2110;2021-01-10 16:00:00;NULL;NULL;1,936
2110;2021-01-10 18:00:00;47,9;1;1,929
2110;2021-01-10 20:00:00;NULL;NULL;1,925
2110;2021-01-10 22:00:00;NULL;NULL;1,925
2110;2021-01-11 00:00:00;NULL;NULL;1,721
2110;2021-01-11 02:00:00;NULL;NULL;1,835
2110;2021-01-11 04:00:00;NULL;NULL;1,801
2110;2021-01-11 06:00:00;48,4;1;1,698
2110;2021-01-11 08:00:00;NULL;NULL;1,775
2110;2021-01-11 10:00:00;NULL;NULL;1,778
2110;2021-01-11 12:00:00;48,4;1;1,703
2110;2021-01-11 14:00:00;48;1;1,599
2110;2021-01-11 16:00:00;NULL;NULL;1,681
2110;2021-01-11 18:00:00;46,8;1;1,858
2110;2021-01-11 20:00:00;NULL;NULL;1,941
2110;2021-01-11 22:00:00;NULL;NULL;1,918
2110;2021-01-12 00:00:00;NULL;NULL;1,892
2110;2021-01-12 02:00:00;NULL;NULL;1,873
2110;2021-01-12 04:00:00;NULL;NULL;1,734
2110;2021-01-12 06:00:00;44,5;1;1,871
2110;2021-01-12 08:00:00;NULL;NULL;1,88
2110;2021-01-12 10:00:00;NULL;NULL;1,948
2110;2021-01-12 12:00:00;44,2;1;1,94
2110;2021-01-12 14:00:00;44;1;1,993
2110;2021-01-12 16:00:00;NULL;NULL;1,991
2110;2021-01-12 18:00:00;44;1;1,987
2110;2021-01-12 20:00:00;NULL;NULL;1,974
2110;2021-01-12 22:00:00;NULL;NULL;2,084
2110;2021-01-13 00:00:00;NULL;NULL;2,07
2110;2021-01-13 02:00:00;NULL;NULL;2,06
2110;2021-01-13 04:00:00;NULL;NULL;2,044
2110;2021-01-13 06:00:00;48;1;2,014
2110;2021-01-13 08:00:00;NULL;NULL;1,979
2110;2021-01-13 10:00:00;NULL;NULL;2,297
2110;2021-01-13 12:00:00;42,8;1;2,139
2110;2021-01-13 14:00:00;42,6;1;2,085
2110;2021-01-13 16:00:00;NULL;NULL;2,12
2110;2021-01-13 18:00:00;42,5;1;2,154
2110;2021-01-13 20:00:00;NULL;NULL;2,304
2110;2021-01-13 22:00:00;NULL;NULL;2,289
2110;2021-01-14 00:00:00;NULL;NULL;2,282
2110;2021-01-14 02:00:00;NULL;NULL;2,12
2110;2021-01-14 04:00:00;NULL;NULL;2,128
2110;2021-01-14 06:00:00;41,8;0;2,2
2110;2021-01-14 08:00:00;NULL;NULL;2,206
2110;2021-01-14 10:00:00;NULL;NULL;2,201
2110;2021-01-14 12:00:00;41,8;0;2,364
2110;2021-01-14 14:00:00;41,7;0;2,2
2110;2021-01-14 16:00:00;NULL;NULL;2,128
2110;2021-01-14 18:00:00;41,5;0;2,297
2110;2021-01-14 20:00:00;NULL;NULL;2,4
2110;2021-01-14 22:00:00;NULL;NULL;2,218
2110;2021-01-15 00:00:00;NULL;NULL;2,214
2110;2021-01-15 02:00:00;NULL;NULL;2,094
2110;2021-01-15 04:00:00;NULL;NULL;2,095
2110;2021-01-15 06:00:00;41,5;0;2,095
2110;2021-01-15 08:00:00;NULL;NULL;2,118
2110;2021-01-15 10:00:00;NULL;NULL;2,243
2110;2021-01-15 12:00:00;41,7;0;2,247
2110;2021-01-15 14:00:00;41,5;0;2,116
2110;2021-01-15 16:00:00;NULL;NULL;2,225
2110;2021-01-15 18:00:00;42;0;2,253
2110;2021-01-15 20:00:00;NULL;NULL;2,108
2110;2021-01-15 22:00:00;NULL;NULL;2,106
2110;2021-01-16 00:00:00;NULL;NULL;1,878
2110;2021-01-16 02:00:00;NULL;NULL;2,014
2110;2021-01-16 04:00:00;NULL;NULL;1,78
2110;2021-01-16 06:00:00;42,4;1;1,924
2110;2021-01-16 08:00:00;NULL;NULL;1,918
2110;2021-01-16 10:00:00;NULL;NULL;1,917
2110;2021-01-16 12:00:00;42,5;1;1,943
2110;2021-01-16 14:00:00;42,7;1;1,957
2110;2021-01-16 16:00:00;NULL;NULL;1,967
2110;2021-01-16 18:00:00;43;1;1,965
2110;2021-01-16 20:00:00;NULL;NULL;2,006
2110;2021-01-16 22:00:00;NULL;NULL;1,869
2110;2021-01-17 00:00:00;NULL;NULL;1,924
2110;2021-01-17 02:00:00;NULL;NULL;1,933
2110;2021-01-17 04:00:00;NULL;NULL;1,933
2110;2021-01-17 06:00:00;45;1;1,866
2110;2021-01-17 08:00:00;NULL;NULL;1,886
2110;2021-01-17 10:00:00;NULL;NULL;1,964
2110;2021-01-17 12:00:00;45,1;0;1,987
2110;2021-01-17 14:00:00;45,4;0;1,99
2110;2021-01-17 16:00:00;NULL;NULL;1,999
2110;2021-01-17 18:00:00;45,5;0;2,013
2110;2021-01-17 20:00:00;NULL;NULL;2,095
2110;2021-01-17 22:00:00;NULL;NULL;1,944
2110;2021-01-18 00:00:00;NULL;NULL;1,967
2110;2021-01-18 02:00:00;NULL;NULL;1,88
2110;2021-01-18 04:00:00;NULL;NULL;1,897
2110;2021-01-18 06:00:00;45,5;0;1,902
2110;2021-01-18 08:00:00;NULL;NULL;1,904
2110;2021-01-18 10:00:00;NULL;NULL;1,975
2110;2021-01-18 12:00:00;45;0;1,961
2110;2021-01-18 14:00:00;44,5;0;1,946
2110;2021-01-18 16:00:00;NULL;NULL;1,914
2110;2021-01-18 18:00:00;43,8;0;1,921
2110;2021-01-18 20:00:00;NULL;NULL;2,066
2110;2021-01-18 22:00:00;NULL;NULL;2,087
2110;2021-01-19 00:00:00;NULL;NULL;1,901
2110;2021-01-19 02:00:00;NULL;NULL;1,856
2110;2021-01-19 04:00:00;NULL;NULL;1,998
2110;2021-01-19 06:00:00;43,5;0;1,996
2110;2021-01-19 08:00:00;NULL;NULL;2,002
2110;2021-01-19 10:00:00;NULL;NULL;2,004
2110;2021-01-19 12:00:00;43,5;0;2,008
2110;2021-01-19 14:00:00;44;0;2,023
2110;2021-01-19 16:00:00;NULL;NULL;2,064
