ObjectID;DateTime;P_in;T_in;Qh
2090;2021-01-01 00:00:00;45,06;2,14;0,71
2090;2021-01-01 02:00:00;45,47;2,28;0,678
2090;2021-01-01 04:00:00;45,68;2,15;0,663
2090;2021-01-01 06:00:00;45,83;2,29;0,667
2090;2021-01-01 08:00:00;45,96;2,04;0,65
2090;2021-01-01 10:00:00;46,09;1,9;0,659
2090;2021-01-01 12:00:00;45,2;1,59;0,646
2090;2021-01-01 14:00:00;45,9;1,63;0,636
2090;2021-01-01 16:00:00;47,12;1,57;0,668
2090;2021-01-01 18:00:00;46,3;1,67;0,734
2090;2021-01-01 20:00:00;47,19;1,72;0,7
2090;2021-01-01 22:00:00;47,08;1,75;0,685
2090;2021-01-02 00:00:00;46,9;2,04;0,671
2090;2021-01-02 02:00:00;46,86;1,85;0,642
2090;2021-01-02 04:00:00;46,82;1,9;0,645
2090;2021-01-02 06:00:00;45,9;1,91;0,648
2090;2021-01-02 08:00:00;46,8;1,68;0,658
2090;2021-01-02 10:00:00;46,8;1,74;0,673
2090;2021-01-02 12:00:00;45,9;2,03;0,681
2090;2021-01-02 14:00:00;45,4;1,92;0,681
2090;2021-01-02 16:00:00;45,86;1,38;0,672
2090;2021-01-02 18:00:00;44,3;1,06;0,698
2090;2021-01-02 20:00:00;45,48;1,19;0,737
2090;2021-01-02 22:00:00;45,96;1,04;0,701
2090;2021-01-03 00:00:00;46,19;1,08;0,678
2090;2021-01-03 02:00:00;46,8;0,88;0,672
2090;2021-01-03 04:00:00;47,03;0,89;0,675
2090;2021-01-03 06:00:00;46,3;1,08;0,68
2090;2021-01-03 08:00:00;47,25;0,86;0,666
2090;2021-01-03 10:00:00;47,36;0,81;0,694
2090;2021-01-03 12:00:00;47,43;1,02;0,717
2090;2021-01-03 14:00:00;47,59;1,18;0,721
2090;2021-01-03 16:00:00;47,59;1,06;0,722
2090;2021-01-03 18:00:00;47,7;0,56;0,73
2090;2021-01-03 20:00:00;47,92;0,61;0,736
2090;2021-01-03 22:00:00;48,19;1,15;0,735
2090;2021-01-04 00:00:00;48,25;1,24;0,728
2090;2021-01-04 02:00:00;48,36;1,08;0,685
2090;2021-01-04 04:00:00;48,13;1,05;0,674
2090;2021-01-04 06:00:00;47;1,11;0,687
2090;2021-01-04 08:00:00;47,9;1,41;0,694
2090;2021-01-04 10:00:00;47,83;1,35;0,702
2090;2021-01-04 12:00:00;45,8;1,27;0,696
2090;2021-01-04 14:00:00;46,5;1,76;0,7
2090;2021-01-04 16:00:00;47,42;1,74;0,694
2090;2021-01-04 18:00:00;45,2;1,06;0,691
2090;2021-01-04 20:00:00;45,84;0,62;0,727
2090;2021-01-04 22:00:00;45,63;0,32;0,727
2090;2021-01-05 00:00:00;46,28;0,33;0,721
2090;2021-01-05 02:00:00;47,23;0,13;0,707
2090;2021-01-05 04:00:00;47,37;0,05;0,709
2090;2021-01-05 06:00:00;47,42;0,34;0,71
2090;2021-01-05 08:00:00;47,55;0,47;0,746
2090;2021-01-05 10:00:00;47,64;0,67;0,753
2090;2021-01-05 12:00:00;46,3;1,15;0,734
2090;2021-01-05 14:00:00;45,9;1,38;0,719
2090;2021-01-05 16:00:00;46,43;0,98;0,733
2090;2021-01-05 18:00:00;44,8;0,63;0,767
2090;2021-01-05 20:00:00;46,5;0,89;0,775
2090;2021-01-05 22:00:00;46,85;0,94;0,749
2090;2021-01-06 00:00:00;46,89;1,03;0,719
2090;2021-01-06 02:00:00;46,91;1,1;0,725
2090;2021-01-06 04:00:00;46,96;1,39;0,715
2090;2021-01-06 06:00:00;46;1,32;0,704
2090;2021-01-06 08:00:00;47,03;1,24;0,71
2090;2021-01-06 10:00:00;47,03;1,41;0,716
2090;2021-01-06 12:00:00;46,1;1,07;0,707
2090;2021-01-06 14:00:00;46;1,63;0,715
2090;2021-01-06 16:00:00;46,88;1,64;0,723
2090;2021-01-06 18:00:00;45,9;1,58;0,73
2090;2021-01-06 20:00:00;46,74;1,07;0,74
2090;2021-01-06 22:00:00;46,65;0,63;0,726
2090;2021-01-07 00:00:00;46,6;0,47;0,708
2090;2021-01-07 02:00:00;46,52;0,31;0,701
2090;2021-01-07 04:00:00;46,43;0,05;0,704
2090;2021-01-07 06:00:00;45,4;0,11;0,724
2090;2021-01-07 08:00:00;46,15;-0,04;0,747
2090;2021-01-07 10:00:00;46,04;0,37;0,759
2090;2021-01-07 12:00:00;45,98;0,6;0,751
2090;2021-01-07 14:00:00;46,3;1,25;0,758
2090;2021-01-07 16:00:00;46,58;0,92;0,751
2090;2021-01-07 18:00:00;46,8;0,71;0,756
2090;2021-01-07 20:00:00;47,1;0,13;0,785
2090;2021-01-07 22:00:00;47,36;0,14;0,771
2090;2021-01-08 00:00:00;47,61;0,19;0,755
2090;2021-01-08 02:00:00;47,83;0,04;0,735
2090;2021-01-08 04:00:00;47,93;0,02;0,734
2090;2021-01-08 06:00:00;47,2;0,22;0,735
2090;2021-01-08 08:00:00;48,28;0,03;0,747
2090;2021-01-08 10:00:00;48,44;0,17;0,775
2090;2021-01-08 12:00:00;47,6;0,44;0,743
2090;2021-01-08 14:00:00;47,7;1,26;0,775
2090;2021-01-08 16:00:00;48,67;0,73;0,768
2090;2021-01-08 18:00:00;47,7;0,24;0,771
2090;2021-01-08 20:00:00;48,65;-0,07;0,79
2090;2021-01-08 22:00:00;48,66;-0,31;0,763
2090;2021-01-09 00:00:00;48,7;-0,24;0,745
2090;2021-01-09 02:00:00;48,72;-0,21;0,742
2090;2021-01-09 04:00:00;48,79;-0,44;0,717
2090;2021-01-09 06:00:00;48,86;-0,52;0,727
2090;2021-01-09 08:00:00;48,9;0,05;0,769
2090;2021-01-09 10:00:00;48,81;0,12;0,753
2090;2021-01-09 12:00:00;47,8;0,13;0,771
2090;2021-01-09 14:00:00;47,7;0,33;0,767
2090;2021-01-09 16:00:00;48,68;0,41;0,768
2090;2021-01-09 18:00:00;47,7;0,59;0,804
2090;2021-01-09 20:00:00;48,12;0,73;0,785
2090;2021-01-09 22:00:00;48,56;0,69;0,753
2090;2021-01-10 00:00:00;47,47;0,52;0,715
2090;2021-01-10 02:00:00;47,51;1,11;0,7
2090;2021-01-10 04:00:00;48,73;1,3;0,705
2090;2021-01-10 06:00:00;47,9;0,56;0,676
2090;2021-01-10 08:00:00;48,97;1,12;0,713
2090;2021-01-10 10:00:00;49,06;1,06;0,688
2090;2021-01-10 12:00:00;48,1;1,03;0,673
2090;2021-01-10 14:00:00;47,2;1,09;0,702
2090;2021-01-10 16:00:00;47,37;1,11;0,684
2090;2021-01-10 18:00:00;46,3;1,48;0,74
2090;2021-01-10 20:00:00;47,1;1,68;0,732
2090;2021-01-10 22:00:00;46,98;1,99;0,69
2090;2021-01-11 00:00:00;47,58;2,01;0,663
2090;2021-01-11 02:00:00;48,73;1,98;0,609
2090;2021-01-11 04:00:00;48,78;2,15;0,642
2090;2021-01-11 06:00:00;47,9;2,29;0,634
2090;2021-01-11 08:00:00;48,97;2,1;0,601
2090;2021-01-11 10:00:00;49;2,39;0,641
2090;2021-01-11 12:00:00;48,26;2,62;0,554
2090;2021-01-11 14:00:00;48,02;2,56;0,612
2090;2021-01-11 16:00:00;47,45;1;0,608
2090;2021-01-11 18:00:00;47,39;0,36;0,645
