ObjectID;DateTime;P_in;T_in;Qh
2200;2021-01-01 00:00:00;42,95;2,17;7,292
2200;2021-01-01 02:00:00;43,06;2,19;6,802
2200;2021-01-01 04:00:00;43,74;2,26;7,177
2200;2021-01-01 06:00:00;43,82;2,23;7,657
2200;2021-01-01 08:00:00;44,01;2,23;7,435
2200;2021-01-01 10:00:00;44,14;2,23;7,459
2200;2021-01-01 12:00:00;44,26;2,24;7,586
2200;2021-01-01 14:00:00;44,83;2,29;7,536
2200;2021-01-01 16:00:00;45,12;2,29;7,645
2200;2021-01-01 18:00:00;45,3;2,28;7,57
2200;2021-01-01 20:00:00;45,42;2,26;7,593
2200;2021-01-01 22:00:00;45,22;2,22;7,559
2200;2021-01-02 00:00:00;45,09;2,18;7,535
2200;2021-01-02 02:00:00;45,14;2,2;6,795
2200;2021-01-02 04:00:00;45,02;2,16;7,258
2200;2021-01-02 06:00:00;44,97;2,15;7,408
2200;2021-01-02 08:00:00;44,98;2,12;7,357
2200;2021-01-02 10:00:00;44,9;2,12;7,875
2200;2021-01-02 12:00:00;44,88;2,12;7,978
2200;2021-01-02 14:00:00;43,74;1,98;7,348
2200;2021-01-02 16:00:00;43,68;1,99;7,751
2200;2021-01-02 18:00:00;43,11;1,9;8,204
2200;2021-01-02 20:00:00;42,71;1,87;8,016
2200;2021-01-02 22:00:00;43,5;2,03;8,221
2200;2021-01-03 00:00:00;43,94;2,06;7,532
2200;2021-01-03 02:00:00;44,66;2,14;7,93
2200;2021-01-03 04:00:00;45,07;2,12;7,584
2200;2021-01-03 06:00:00;45,27;2,12;7,619
2200;2021-01-03 08:00:00;45,4;2,09;7,644
2200;2021-01-03 10:00:00;45,38;2,08;8,18
2200;2021-01-03 12:00:00;45,52;2,1;7,935
2200;2021-01-03 14:00:00;45,64;2,12;7,743
2200;2021-01-03 16:00:00;45,75;2,12;7,763
2200;2021-01-03 18:00:00;45,71;2,07;8,084
2200;2021-01-03 20:00:00;45,89;2,07;8,068
2200;2021-01-03 22:00:00;46,19;2,11;8,124
2200;2021-01-04 00:00:00;46,41;2,12;7,725
2200;2021-01-04 02:00:00;46,52;2,12;7,578
2200;2021-01-04 04:00:00;46,37;2,06;7,224
2200;2021-01-04 06:00:00;46,1;2,03;7,782
2200;2021-01-04 08:00:00;46,06;2,02;7,773
2200;2021-01-04 10:00:00;45,66;1,98;8,462
2200;2021-01-04 12:00:00;43,98;1,79;7,606
2200;2021-01-04 14:00:00;44,71;2,02;7,948
2200;2021-01-04 16:00:00;45,47;2,09;7,392
2200;2021-01-04 18:00:00;44,03;1,77;8,188
2200;2021-01-04 20:00:00;42,8;1,61;8,555
2200;2021-01-04 22:00:00;42,57;1,63;8,252
2200;2021-01-05 00:00:00;44,07;1,93;8,035
2200;2021-01-05 02:00:00;45,28;2;8,005
2200;2021-01-05 04:00:00;45,43;1,95;8,091
2200;2021-01-05 06:00:00;45,54;1,94;8,114
2200;2021-01-05 08:00:00;45,52;1,9;8,707
2200;2021-01-05 10:00:00;45,66;1,9;8,41
2200;2021-01-05 12:00:00;44,98;1,78;8,385
2200;2021-01-05 14:00:00;44,62;1,69;8,311
2200;2021-01-05 16:00:00;44,08;1,75;8,145
2200;2021-01-05 18:00:00;43,68;1,71;8,944
2200;2021-01-05 20:00:00;42,41;1,54;8,667
2200;2021-01-05 22:00:00;44,8;1,97;8,335
2200;2021-01-06 00:00:00;45;1,89;7,792
2200;2021-01-06 02:00:00;44,95;1,88;8,156
2200;2021-01-06 04:00:00;45,08;1,89;7,7
2200;2021-01-06 06:00:00;45,11;1,89;7,759
2200;2021-01-06 08:00:00;45,07;1,87;8,18
2200;2021-01-06 10:00:00;45,09;1,89;8,237
2200;2021-01-06 12:00:00;45,08;1,87;8,185
2200;2021-01-06 14:00:00;45,14;1,92;7,714
2200;2021-01-06 16:00:00;45,02;1,93;7,959
2200;2021-01-06 18:00:00;44,82;1,84;8,614
2200;2021-01-06 20:00:00;44,76;1,84;8,285
2200;2021-01-06 22:00:00;44,68;1,8;8,27
2200;2021-01-07 00:00:00;44,78;1,82;7,599
2200;2021-01-07 02:00:00;44,61;1,77;8,098
2200;2021-01-07 04:00:00;44,61;1,77;7,834
2200;2021-01-07 06:00:00;44,43;1,73;7,958
2200;2021-01-07 08:00:00;44,18;1,66;8,645
2200;2021-01-07 10:00:00;44,06;1,69;8,669
2200;2021-01-07 12:00:00;43,87;1,7;8,628
2200;2021-01-07 14:00:00;44,27;1,84;7,818
2200;2021-01-07 16:00:00;44,54;1,85;7,975
2200;2021-01-07 18:00:00;44,77;1,83;8,659
2200;2021-01-07 20:00:00;44,98;1,81;8,864
2200;2021-01-07 22:00:00;45,26;1,77;8,55
2200;2021-01-08 00:00:00;45,51;1,81;8,602
2200;2021-01-08 02:00:00;45,88;1,84;7,858
2200;2021-01-08 04:00:00;46,07;1,84;8,004
2200;2021-01-08 06:00:00;46,19;1,79;8,413
2200;2021-01-08 08:00:00;46,3;1,73;8,936
2200;2021-01-08 10:00:00;46,52;1,83;8,478
2200;2021-01-08 12:00:00;46,65;1,77;8,618
2200;2021-01-08 14:00:00;46,76;1,84;8,078
2200;2021-01-08 16:00:00;46,69;1,81;8,622
2200;2021-01-08 18:00:00;46,7;1,75;8,626
2200;2021-01-08 20:00:00;46,61;1,7;9,055
2200;2021-01-08 22:00:00;46,69;1,74;8,625
2200;2021-01-09 00:00:00;46,85;1,75;7,818
2200;2021-01-09 02:00:00;46,81;1,75;8,258
2200;2021-01-09 04:00:00;46,86;1,74;8,214
2200;2021-01-09 06:00:00;46,98;1,74;7,9
2200;2021-01-09 08:00:00;47;1,73;8,241
2200;2021-01-09 10:00:00;46,81;1,75;8,927
2200;2021-01-09 12:00:00;46,85;1,74;8,379
2200;2021-01-09 14:00:00;46,71;1,73;8,576
2200;2021-01-09 16:00:00;46,71;1,74;8,573
2200;2021-01-09 18:00:00;46,72;1,74;8,631
2200;2021-01-09 20:00:00;45,77;1,63;8,443
2200;2021-01-09 22:00:00;46,37;1,78;7,841
2200;2021-01-10 00:00:00;44,7;1,55;8,124
2200;2021-01-10 02:00:00;44,67;1,62;7,532
2200;2021-01-10 04:00:00;46,47;1,95;7,851
2200;2021-01-10 06:00:00;46,95;1,93;7,328
2200;2021-01-10 08:00:00;46,98;1,87;7,727
2200;2021-01-10 10:00:00;47,08;1,87;7,745
2200;2021-01-10 12:00:00;47,15;1,85;7,816
2200;2021-01-10 14:00:00;46;1,66;7,614
2200;2021-01-10 16:00:00;44,55;1,48;7,939
2200;2021-01-10 18:00:00;44,19;1,55;7,813
2200;2021-01-10 20:00:00;44,03;1,57;8,041
2200;2021-01-10 22:00:00;43,98;1,6;7,039
2200;2021-01-11 00:00:00;43,85;1,61;7,277
2200;2021-01-11 02:00:00;46,65;2,04;7,161
2200;2021-01-11 04:00:00;46,87;1,95;6,755
2200;2021-01-11 06:00:00;46,87;1,9;6,814
2200;2021-01-11 08:00:00;46,97;1,88;6,998
2200;2021-01-11 10:00:00;46,97;1,88;7,11
2200;2021-01-11 12:00:00;46,3;1,7;6,399
2200;2021-01-11 14:00:00;45,53;1,55;6,88
2200;2021-01-11 16:00:00;45,22;1,58;6,777
2200;2021-01-11 18:00:00;45,39;1,57;7,884
2200;2021-01-11 20:00:00;45,02;1,45;7,336
2200;2021-01-11 22:00:00;44,24;1,33;7,675
2200;2021-01-12 00:00:00;43,9;1,29;7,61
2200;2021-01-12 02:00:00;43,42;1,3;7,109
2200;2021-01-12 04:00:00;43,2;1,29;7,478
2200;2021-01-12 06:00:00;43,07;1,33;7,452
2200;2021-01-12 08:00:00;42,96;1,31;7,583
2200;2021-01-12 10:00:00;42,76;1,35;7,899
2200;2021-01-12 12:00:00;42,61;1,41;7,865
2200;2021-01-12 14:00:00;42,53;1,47;7,848
2200;2021-01-12 16:00:00;42,49;1,46;7,841
2200;2021-01-12 18:00:00;42,29;1,36;8,505
2200;2021-01-12 20:00:00;42,02;1,3;8,994
2200;2021-01-12 22:00:00;41,91;1,29;8,422
2200;2021-01-13 00:00:00;41,75;1,28;8,191
2200;2021-01-13 02:00:00;41,53;1,26;8,342
2200;2021-01-13 04:00:00;41,41;1,24;8,316
2200;2021-01-13 06:00:00;41,25;1,21;8,624
2200;2021-01-13 08:00:00;40,99;1,2;9,245
2200;2021-01-13 10:00:00;40,89;1,2;8,977
2200;2021-01-13 12:00:00;40,85;1,27;8,818
2200;2021-01-13 14:00:00;40,8;1,29;8,47
2200;2021-01-13 16:00:00;40,76;1,27;8,509
2200;2021-01-13 18:00:00;40,5;1,19;9,075
2200;2021-01-13 20:00:00;40,14;1,12;9,418
2200;2021-01-13 22:00:00;39,86;1,13;9,203
2200;2021-01-14 00:00:00;40,11;1,18;8,79
2200;2021-01-14 02:00:00;40,07;1,18;8,78
2200;2021-01-14 04:00:00;39,98;1,12;8,763
2200;2021-01-14 06:00:00;39,94;1,12;8,753
2200;2021-01-14 08:00:00;39,76;1,08;9,369
2200;2021-01-14 12:00:00;39,83;1,16;9,056
