ObjectID;DateTime;P_in;T_in;Qh
10020;2021-01-01 00:00:00;43;3;399,071
10020;2021-01-01 02:00:00;43;3;398,102
10020;2021-01-01 04:00:00;43;3;396,089
10020;2021-01-01 06:00:00;43;3;395,452
10020;2021-01-01 08:00:00;43;3;397,844
10020;2021-01-01 10:00:00;43;NULL;394,859
10020;2021-01-01 12:00:00;43;3;385,967
10020;2021-01-01 14:00:00;43;NULL;385,318
10020;2021-01-01 16:00:00;43;NULL;403,115
10020;2021-01-01 18:00:00;43;NULL;405,725
10020;2021-01-01 20:00:00;43,5;NULL;408
10020;2021-01-01 22:00:00;43,5;NULL;409
10020;2021-01-02 00:00:00;43,5;NULL;406
10020;2021-01-02 02:00:00;43,5;NULL;401,525
10020;2021-01-02 04:00:00;44;NULL;412,34
10020;2021-01-02 06:00:00;44;NULL;415
10020;2021-01-02 08:00:00;44;3;419,091
10020;2021-01-02 10:00:00;44;3;424,005
10020;2021-01-02 12:00:00;44;3;423,805
10020;2021-01-02 14:00:00;44;3;419,464
10020;2021-01-02 16:00:00;44,5;3;432,648
10020;2021-01-02 18:00:00;44,5;3;434,193
10020;2021-01-02 20:00:00;44,5;3;414,732
10020;2021-01-02 22:00:00;44,5;NULL;429,45
10020;2021-01-03 00:00:00;44,5;NULL;428,633
10020;2021-01-03 02:00:00;44,5;NULL;416,419
10020;2021-01-03 04:00:00;44,5;NULL;408,475
10020;2021-01-03 06:00:00;44,5;NULL;426,938
10020;2021-01-03 08:00:00;44,5;NULL;432,433
10020;2021-01-03 10:00:00;44,5;NULL;435,609
10020;2021-01-03 12:00:00;45;NULL;424,754
10020;2021-01-03 14:00:00;45;NULL;432,53
10020;2021-01-03 16:00:00;45;NULL;439,885
10020;2021-01-03 18:00:00;45;NULL;444,742
10020;2021-01-03 20:00:00;45;3;445,068
10020;2021-01-03 22:00:00;45;3;446,423
10020;2021-01-04 00:00:00;45,5;3;441,125
10020;2021-01-04 02:00:00;46;3;426,451
10020;2021-01-04 04:00:00;46;3;419,889
10020;2021-01-04 06:00:00;45,5;3;432,284
10020;2021-01-04 08:00:00;45,5;3;439,917
10020;2021-01-04 10:00:00;45,5;3;440,249
10020;2021-01-04 12:00:00;45,5;3;430,939
10020;2021-01-04 14:00:00;45,5;3;445,654
10020;2021-01-04 16:00:00;45,5;3;446,096
10020;2021-01-04 18:00:00;45,5;3;450,715
10020;2021-01-04 20:00:00;45,5;NULL;440,387
10020;2021-01-04 22:00:00;45,5;NULL;438,947
10020;2021-01-05 00:00:00;45,5;NULL;436,894
10020;2021-01-05 02:00:00;45,5;NULL;417,215
10020;2021-01-05 04:00:00;45,5;NULL;422,911
10020;2021-01-05 06:00:00;46;NULL;429,912
10020;2021-01-05 08:00:00;46;NULL;428,577
10020;2021-01-05 10:00:00;46;NULL;433
10020;2021-01-05 12:00:00;46;3;450,692
10020;2021-01-05 14:00:00;45,5;3;453,183
10020;2021-01-05 16:00:00;45,5;3;454,889
10020;2021-01-05 18:00:00;45,5;3;454,883
10020;2021-01-05 20:00:00;46;3;438,627
10020;2021-01-05 22:00:00;46;3;424,358
10020;2021-01-06 00:00:00;46;3;421,643
10020;2021-01-06 02:00:00;46;3;414,781
10020;2021-01-06 04:00:00;46;3;406,882
10020;2021-01-06 06:00:00;46;3;409,974
10020;2021-01-06 08:00:00;46;3;410,587
10020;2021-01-06 10:00:00;46;NULL;423,922
10020;2021-01-06 12:00:00;46;3;415,608
10020;2021-01-06 14:00:00;45;NULL;428,841
10020;2021-01-06 16:00:00;45;NULL;420,44
10020;2021-01-06 18:00:00;45;NULL;421,905
10020;2021-01-06 20:00:00;45;NULL;431,323
10020;2021-01-06 22:00:00;45;NULL;422,28
10020;2021-01-07 00:00:00;45;NULL;416,721
10020;2021-01-07 02:00:00;45;NULL;413,976
10020;2021-01-07 04:00:00;45;NULL;420,932
10020;2021-01-07 06:00:00;45;NULL;429
10020;2021-01-07 08:00:00;45;3;436,453
10020;2021-01-07 10:00:00;45;3;442,018
10020;2021-01-07 12:00:00;45;3;439,739
10020;2021-01-07 14:00:00;43,5;3;437,185
10020;2021-01-07 16:00:00;43,5;3;439,137
10020;2021-01-07 18:00:00;44;3;423,206
