ObjectID;DateTime;P_in;T_in;Qh
23150;2021-01-01 00:00:00;NULL;NULL;1,378
23150;2021-01-01 02:00:00;NULL;NULL;1,341
23150;2021-01-01 04:00:00;NULL;NULL;1,339
23150;2021-01-01 06:00:00;44,5;0;1,319
23150;2021-01-01 08:00:00;NULL;NULL;1,327
23150;2021-01-01 10:00:00;NULL;NULL;1,343
23150;2021-01-01 12:00:00;44,9;0;1,294
23150;2021-01-01 14:00:00;45,4;0;1,405
23150;2021-01-01 16:00:00;NULL;NULL;1,376
23150;2021-01-01 18:00:00;45,9;0;1,378
23150;2021-01-01 20:00:00;NULL;NULL;1,37
23150;2021-01-01 22:00:00;NULL;NULL;1,346
23150;2021-01-02 00:00:00;NULL;NULL;1,369
23150;2021-01-02 02:00:00;NULL;NULL;1,344
23150;2021-01-02 04:00:00;NULL;NULL;1,344
23150;2021-01-02 06:00:00;45,6;0;1,32
23150;2021-01-02 08:00:00;NULL;NULL;1,328
23150;2021-01-02 10:00:00;NULL;NULL;1,367
23150;2021-01-02 12:00:00;45,4;0;1,395
23150;2021-01-02 14:00:00;45,1;0;1,391
23150;2021-01-02 16:00:00;NULL;NULL;1,307
23150;2021-01-02 18:00:00;44,7;0;1,322
23150;2021-01-02 20:00:00;NULL;NULL;1,405
23150;2021-01-02 22:00:00;NULL;NULL;1,398
23150;2021-01-03 00:00:00;NULL;NULL;1,374
23150;2021-01-03 02:00:00;NULL;NULL;1,318
23150;2021-01-03 04:00:00;NULL;NULL;1,306
23150;2021-01-03 06:00:00;45,8;-1;1,318
23150;2021-01-03 08:00:00;NULL;NULL;1,315
23150;2021-01-03 10:00:00;NULL;NULL;1,462
23150;2021-01-03 12:00:00;45,9;-1;1,468
23150;2021-01-03 14:00:00;46,1;0;1,44
23150;2021-01-03 16:00:00;NULL;NULL;1,392
23150;2021-01-03 18:00:00;46,2;-1;1,392
23150;2021-01-03 20:00:00;NULL;NULL;1,404
23150;2021-01-03 22:00:00;NULL;NULL;1,411
23150;2021-01-04 00:00:00;NULL;NULL;1,331
23150;2021-01-04 02:00:00;NULL;NULL;1,33
23150;2021-01-04 04:00:00;NULL;NULL;1,399
23150;2021-01-04 06:00:00;46,6;-1;1,369
23150;2021-01-04 08:00:00;NULL;NULL;1,389
23150;2021-01-04 10:00:00;NULL;NULL;1,48
23150;2021-01-04 12:00:00;46,3;0;1,489
23150;2021-01-04 14:00:00;46,1;0;1,382
23150;2021-01-04 16:00:00;NULL;NULL;1,414
23150;2021-01-04 18:00:00;45,9;0;1,451
23150;2021-01-04 20:00:00;NULL;NULL;1,458
23150;2021-01-04 22:00:00;NULL;NULL;1,413
23150;2021-01-05 00:00:00;NULL;NULL;1,403
23150;2021-01-05 02:00:00;NULL;NULL;1,361
23150;2021-01-05 04:00:00;NULL;NULL;1,393
23150;2021-01-05 06:00:00;46;-1;1,421
23150;2021-01-05 08:00:00;NULL;NULL;1,476
23150;2021-01-05 10:00:00;NULL;NULL;1,535
23150;2021-01-05 12:00:00;46,1;0;1,534
23150;2021-01-05 14:00:00;45,9;0;1,459
23150;2021-01-05 16:00:00;NULL;NULL;1,41
23150;2021-01-05 18:00:00;45,5;0;1,408
23150;2021-01-05 20:00:00;NULL;NULL;1,447
23150;2021-01-05 22:00:00;NULL;NULL;1,441
23150;2021-01-06 00:00:00;NULL;NULL;1,439
23150;2021-01-06 02:00:00;NULL;NULL;1,436
23150;2021-01-06 04:00:00;NULL;NULL;1,408
23150;2021-01-06 06:00:00;45,6;0;1,387
23150;2021-01-06 08:00:00;NULL;NULL;1,404
23150;2021-01-06 10:00:00;NULL;NULL;1,477
23150;2021-01-06 12:00:00;45,6;0;1,387
23150;2021-01-06 14:00:00;45,6;0;1,447
23150;2021-01-06 16:00:00;NULL;NULL;1,413
23150;2021-01-06 18:00:00;45,4;0;1,416
23150;2021-01-06 20:00:00;NULL;NULL;1,374
23150;2021-01-06 22:00:00;NULL;NULL;1,368
23150;2021-01-07 00:00:00;NULL;NULL;1,379
23150;2021-01-07 02:00:00;NULL;NULL;1,367
23150;2021-01-07 04:00:00;NULL;NULL;1,364
23150;2021-01-07 06:00:00;44,9;-1;1,408
23150;2021-01-07 08:00:00;NULL;NULL;1,456
23150;2021-01-07 10:00:00;NULL;NULL;1,503
23150;2021-01-07 12:00:00;44,2;-1;1,549
23150;2021-01-07 14:00:00;44,9;0;1,461
23150;2021-01-07 16:00:00;NULL;NULL;1,413
23150;2021-01-07 18:00:00;45,5;-1;1,435
23150;2021-01-07 20:00:00;NULL;NULL;1,502
23150;2021-01-07 22:00:00;NULL;NULL;1,499
23150;2021-01-08 00:00:00;NULL;NULL;1,48
23150;2021-01-08 02:00:00;NULL;NULL;1,446
23150;2021-01-08 04:00:00;NULL;NULL;1,462
23150;2021-01-08 06:00:00;40,4;-1;1,461
23150;2021-01-08 08:00:00;NULL;NULL;1,457
23150;2021-01-08 10:00:00;NULL;NULL;1,624
23150;2021-01-08 12:00:00;46,9;-1;1,535
23150;2021-01-08 14:00:00;47,1;-1;1,548
23150;2021-01-08 16:00:00;NULL;NULL;1,568
23150;2021-01-08 18:00:00;47,1;-1;1,461
23150;2021-01-08 20:00:00;NULL;NULL;1,511
23150;2021-01-08 22:00:00;NULL;NULL;1,62
23150;2021-01-09 00:00:00;NULL;NULL;1,393
23150;2021-01-09 02:00:00;NULL;NULL;1,395
23150;2021-01-09 04:00:00;NULL;NULL;1,414
23150;2021-01-09 06:00:00;47,1;-1;1,489
23150;2021-01-09 12:00:00;47,1;-1;1,589
23150;2021-01-09 14:00:00;47,1;-1;1,582
23150;2021-01-09 16:00:00;NULL;NULL;1,53
23150;2021-01-09 18:00:00;47,1;-1;1,549
23150;2021-01-09 20:00:00;NULL;NULL;1,582
23150;2021-01-09 22:00:00;NULL;NULL;1,558
23150;2021-01-10 00:00:00;NULL;NULL;1,49
23150;2021-01-10 02:00:00;NULL;NULL;1,466
23150;2021-01-10 04:00:00;NULL;NULL;1,458
23150;2021-01-10 06:00:00;47,5;-1;1,401
23150;2021-01-10 08:00:00;NULL;NULL;1,42
23150;2021-01-10 10:00:00;NULL;NULL;1,524
23150;2021-01-10 12:00:00;47,7;-1;1,367
23150;2021-01-10 14:00:00;47,6;-1;1,404
23150;2021-01-10 16:00:00;NULL;NULL;1,43
23150;2021-01-10 18:00:00;47,2;0;1,463
23150;2021-01-10 20:00:00;NULL;NULL;1,482
23150;2021-01-10 22:00:00;NULL;NULL;1,424
23150;2021-01-11 00:00:00;NULL;NULL;1,391
23150;2021-01-11 02:00:00;NULL;NULL;1,349
23150;2021-01-11 04:00:00;NULL;NULL;1,318
23150;2021-01-11 06:00:00;47,9;0;1,331
23150;2021-01-11 08:00:00;NULL;NULL;1,324
23150;2021-01-11 10:00:00;NULL;NULL;1,299
23150;2021-01-11 12:00:00;48,1;0;1,275
23150;2021-01-11 14:00:00;47,6;1;1,231
23150;2021-01-11 16:00:00;NULL;NULL;1,184
23150;2021-01-11 18:00:00;46,4;0;1,283
23150;2021-01-11 20:00:00;NULL;NULL;1,343
23150;2021-01-11 22:00:00;NULL;NULL;1,34
23150;2021-01-12 00:00:00;NULL;NULL;1,342
23150;2021-01-12 02:00:00;NULL;NULL;1,365
23150;2021-01-12 04:00:00;NULL;NULL;1,399
23150;2021-01-12 06:00:00;43,9;-1;1,463
23150;2021-01-12 08:00:00;NULL;NULL;1,482
23150;2021-01-12 10:00:00;NULL;NULL;1,482
23150;2021-01-12 12:00:00;43,9;-1;1,5
23150;2021-01-12 14:00:00;43,6;-1;1,399
23150;2021-01-12 16:00:00;NULL;NULL;1,416
23150;2021-01-12 18:00:00;43,4;-1;1,469
23150;2021-01-12 20:00:00;NULL;NULL;1,476
23150;2021-01-12 22:00:00;NULL;NULL;1,466
23150;2021-01-13 00:00:00;NULL;NULL;1,464
23150;2021-01-13 02:00:00;NULL;NULL;1,468
23150;2021-01-13 04:00:00;NULL;NULL;1,46
23150;2021-01-13 06:00:00;42,4;-1;1,479
23150;2021-01-13 08:00:00;NULL;NULL;1,547
23150;2021-01-13 10:00:00;NULL;NULL;1,726
23150;2021-01-13 12:00:00;41,9;-1;1,68
23150;2021-01-13 14:00:00;41,9;0;1,571
23150;2021-01-13 16:00:00;NULL;NULL;1,521
23150;2021-01-13 18:00:00;41,6;-1;1,544
23150;2021-01-13 20:00:00;NULL;NULL;1,583
23150;2021-01-13 22:00:00;NULL;NULL;1,553
23150;2021-01-14 00:00:00;NULL;NULL;1,556
23150;2021-01-14 02:00:00;NULL;NULL;1,562
23150;2021-01-14 04:00:00;NULL;NULL;1,562
23150;2021-01-14 06:00:00;41;-1;1,585
23150;2021-01-14 08:00:00;NULL;NULL;1,626
23150;2021-01-14 10:00:00;NULL;NULL;1,716
23150;2021-01-14 12:00:00;41;-1;1,689
23150;2021-01-14 14:00:00;41;-1;1,59
23150;2021-01-14 16:00:00;NULL;NULL;1,55
23150;2021-01-14 18:00:00;41;-2;1,588
23150;2021-01-14 20:00:00;NULL;NULL;1,73
23150;2021-01-14 22:00:00;NULL;NULL;1,659
23150;2021-01-15 00:00:00;NULL;NULL;1,602
23150;2021-01-15 02:00:00;NULL;NULL;1,599
23150;2021-01-15 04:00:00;NULL;NULL;1,626
23150;2021-01-15 06:00:00;40,9;-1;1,554
23150;2021-01-15 08:00:00;NULL;NULL;1,673
23150;2021-01-15 10:00:00;NULL;NULL;1,591
23150;2021-01-15 12:00:00;40,9;-1;1,562
23150;2021-01-15 14:00:00;40,9;-1;1,704
23150;2021-01-15 16:00:00;NULL;NULL;1,569
23150;2021-01-15 18:00:00;41,4;-1;1,725
23150;2021-01-15 20:00:00;NULL;NULL;1,593
23150;2021-01-15 22:00:00;NULL;NULL;1,524
23150;2021-01-16 00:00:00;NULL;NULL;1,511
23150;2021-01-16 02:00:00;NULL;NULL;1,418
23150;2021-01-16 04:00:00;NULL;NULL;1,466
23150;2021-01-16 06:00:00;41,9;-1;1,444
23150;2021-01-16 08:00:00;NULL;NULL;1,482
23150;2021-01-16 10:00:00;NULL;NULL;1,499
23150;2021-01-16 12:00:00;42,1;-1;1,532
23150;2021-01-16 14:00:00;42,4;-1;1,484
23150;2021-01-16 16:00:00;NULL;NULL;1,421
23150;2021-01-16 18:00:00;42,6;-1;1,458
