ObjectID;DateTime;P_in;T_in;Qh
2100;2021-01-01 00:00:00;NULL;NULL;2,948
2100;2021-01-01 02:00:00;NULL;NULL;2,798
2100;2021-01-01 04:00:00;NULL;NULL;2,799
2100;2021-01-01 06:00:00;44,7;1;2,907
2100;2021-01-01 08:00:00;NULL;NULL;2,828
2100;2021-01-01 12:00:00;45;1;2,974
2100;2021-01-01 14:00:00;45,6;1;2,841
2100;2021-01-01 16:00:00;NULL;NULL;2,847
2100;2021-01-01 18:00:00;46;1;2,958
2100;2021-01-01 20:00:00;NULL;NULL;2,961
2100;2021-01-01 22:00:00;NULL;NULL;2,896
2100;2021-01-02 00:00:00;NULL;NULL;2,828
2100;2021-01-02 02:00:00;NULL;NULL;2,798
2100;2021-01-02 04:00:00;NULL;NULL;2,788
2100;2021-01-02 06:00:00;45,7;1;2,848
2100;2021-01-02 08:00:00;NULL;NULL;2,867
2100;2021-01-02 10:00:00;NULL;NULL;3,059
2100;2021-01-02 12:00:00;45,7;1;3,052
2100;2021-01-02 14:00:00;45,3;1;2,868
2100;2021-01-02 16:00:00;NULL;NULL;2,964
2100;2021-01-02 18:00:00;44,5;1;2,946
2100;2021-01-02 20:00:00;NULL;NULL;2,944
2100;2021-01-02 22:00:00;NULL;NULL;2,956
2100;2021-01-03 00:00:00;NULL;NULL;2,925
2100;2021-01-03 02:00:00;NULL;NULL;2,891
2100;2021-01-03 04:00:00;NULL;NULL;2,842
2100;2021-01-03 06:00:00;45,9;1;2,842
2100;2021-01-03 08:00:00;NULL;NULL;2,956
2100;2021-01-03 10:00:00;NULL;NULL;3,019
2100;2021-01-03 12:00:00;46,1;1;2,999
2100;2021-01-03 14:00:00;46,4;1;2,924
2100;2021-01-03 16:00:00;NULL;NULL;3,056
2100;2021-01-03 18:00:00;46,5;1;3,046
2100;2021-01-03 20:00:00;NULL;NULL;3,072
2100;2021-01-03 22:00:00;NULL;NULL;2,889
2100;2021-01-04 00:00:00;NULL;NULL;2,849
2100;2021-01-04 02:00:00;NULL;NULL;2,852
2100;2021-01-04 04:00:00;NULL;NULL;2,913
2100;2021-01-04 06:00:00;46,9;1;2,88
2100;2021-01-04 08:00:00;NULL;NULL;2,916
2100;2021-01-04 10:00:00;NULL;NULL;2,974
2100;2021-01-04 12:00:00;46,5;1;3,04
2100;2021-01-04 14:00:00;46,4;1;3,007
2100;2021-01-04 16:00:00;NULL;NULL;3,025
2100;2021-01-04 18:00:00;46,3;1;3,151
2100;2021-01-04 20:00:00;NULL;NULL;3,037
2100;2021-01-04 22:00:00;NULL;NULL;2,996
2100;2021-01-05 00:00:00;NULL;NULL;2,969
2100;2021-01-05 02:00:00;NULL;NULL;2,991
2100;2021-01-05 04:00:00;NULL;NULL;2,952
2100;2021-01-05 06:00:00;46,2;1;2,932
2100;2021-01-05 08:00:00;NULL;NULL;3,109
2100;2021-01-05 10:00:00;NULL;NULL;3,148
2100;2021-01-05 12:00:00;46,4;1;3,117
2100;2021-01-05 14:00:00;46,1;1;3,014
2100;2021-01-05 16:00:00;NULL;NULL;3,126
2100;2021-01-05 18:00:00;45,8;1;3,161
2100;2021-01-05 20:00:00;NULL;NULL;3,101
2100;2021-01-05 22:00:00;NULL;NULL;3,02
2100;2021-01-06 00:00:00;NULL;NULL;2,898
2100;2021-01-06 02:00:00;NULL;NULL;3,029
2100;2021-01-06 04:00:00;NULL;NULL;2,991
2100;2021-01-06 06:00:00;45,9;1;2,957
2100;2021-01-06 08:00:00;NULL;NULL;2,943
2100;2021-01-06 10:00:00;NULL;NULL;3,045
2100;2021-01-06 12:00:00;45,9;1;3,05
2100;2021-01-06 14:00:00;45,8;1;2,991
2100;2021-01-06 16:00:00;NULL;NULL;3
2100;2021-01-06 18:00:00;45,4;1;3,187
2100;2021-01-06 20:00:00;NULL;NULL;3,037
2100;2021-01-06 22:00:00;NULL;NULL;2,981
2100;2021-01-07 00:00:00;NULL;NULL;3,017
2100;2021-01-07 02:00:00;NULL;NULL;2,925
2100;2021-01-07 04:00:00;NULL;NULL;2,888
2100;2021-01-07 06:00:00;45;1;3,035
2100;2021-01-07 08:00:00;NULL;NULL;3,102
2100;2021-01-07 10:00:00;NULL;NULL;3,211
2100;2021-01-07 12:00:00;44,7;0;3,109
2100;2021-01-07 14:00:00;45;0;3,081
2100;2021-01-07 16:00:00;NULL;NULL;3,103
2100;2021-01-07 18:00:00;45,6;0;3,291
