ObjectID;DateTime;P_in;T_in;Qh
2230;2021-01-01 00:00:00;NULL;NULL;0,123
2230;2021-01-01 02:00:00;NULL;NULL;0,122
2230;2021-01-01 04:00:00;NULL;NULL;0,121
2230;2021-01-01 06:00:00;45,9;25;0,121
2230;2021-01-01 08:00:00;NULL;NULL;0,121
2230;2021-01-01 10:00:00;NULL;NULL;0,129
2230;2021-01-01 12:00:00;46,4;29;0,126
2230;2021-01-01 14:00:00;NULL;NULL;0,122
2230;2021-01-01 16:00:00;NULL;NULL;0,126
2230;2021-01-01 18:00:00;NULL;NULL;0,128
2230;2021-01-01 20:00:00;47,6;27;0,126
2230;2021-01-01 22:00:00;NULL;NULL;0,122
2230;2021-01-02 00:00:00;NULL;NULL;0,12
2230;2021-01-02 02:00:00;NULL;NULL;0,119
2230;2021-01-02 04:00:00;NULL;NULL;0,123
2230;2021-01-02 06:00:00;46,8;22;0,122
2230;2021-01-02 08:00:00;NULL;NULL;0,127
2230;2021-01-02 10:00:00;NULL;NULL;0,13
2230;2021-01-02 12:00:00;46,8;24;0,129
2230;2021-01-02 14:00:00;NULL;NULL;0,126
2230;2021-01-02 16:00:00;NULL;NULL;0,127
2230;2021-01-02 18:00:00;NULL;NULL;0,13
2230;2021-01-02 20:00:00;45,3;22;0,131
2230;2021-01-02 22:00:00;NULL;NULL;0,132
2230;2021-01-03 00:00:00;NULL;NULL;0,126
2230;2021-01-03 02:00:00;NULL;NULL;0,123
2230;2021-01-03 04:00:00;NULL;NULL;0,124
2230;2021-01-03 06:00:00;46,9;22;0,131
2230;2021-01-03 08:00:00;NULL;NULL;0,117
2230;2021-01-03 10:00:00;NULL;NULL;0,155
2230;2021-01-03 12:00:00;46,5;20;0,123
2230;2021-01-03 14:00:00;NULL;NULL;0,134
2230;2021-01-03 16:00:00;NULL;NULL;0,134
2230;2021-01-03 18:00:00;NULL;NULL;0,135
2230;2021-01-03 20:00:00;47,3;20;0,134
2230;2021-01-03 22:00:00;NULL;NULL;0,13
2230;2021-01-04 00:00:00;NULL;NULL;0,125
2230;2021-01-04 02:00:00;NULL;NULL;0,126
2230;2021-01-04 04:00:00;NULL;NULL;0,125
2230;2021-01-04 06:00:00;47,5;17;0,126
2230;2021-01-04 08:00:00;NULL;NULL;0,134
2230;2021-01-04 10:00:00;NULL;NULL;0,136
2230;2021-01-04 12:00:00;47,3;22;0,133
2230;2021-01-04 14:00:00;NULL;NULL;0,129
2230;2021-01-04 16:00:00;NULL;NULL;0,131
2230;2021-01-04 18:00:00;NULL;NULL;0,133
2230;2021-01-04 20:00:00;47;22;0,13
2230;2021-01-04 22:00:00;NULL;NULL;0,13
2230;2021-01-05 00:00:00;NULL;NULL;0,13
2230;2021-01-05 02:00:00;NULL;NULL;0,128
2230;2021-01-05 04:00:00;NULL;NULL;0,13
2230;2021-01-05 06:00:00;47,1;21;0,132
2230;2021-01-05 08:00:00;NULL;NULL;0,135
2230;2021-01-05 10:00:00;NULL;NULL;0,142
2230;2021-01-05 12:00:00;47,4;27;0,14
2230;2021-01-05 14:00:00;NULL;NULL;0,132
2230;2021-01-05 16:00:00;NULL;NULL;0,138
2230;2021-01-05 18:00:00;NULL;NULL;0,14
2230;2021-01-05 20:00:00;46,4;24;0,138
2230;2021-01-05 22:00:00;NULL;NULL;0,133
2230;2021-01-06 00:00:00;NULL;NULL;0,132
2230;2021-01-06 02:00:00;NULL;NULL;0,13
2230;2021-01-06 04:00:00;NULL;NULL;0,13
2230;2021-01-06 06:00:00;46,6;25;0,132
2230;2021-01-06 08:00:00;NULL;NULL;0,134
2230;2021-01-06 10:00:00;NULL;NULL;0,133
2230;2021-01-06 12:00:00;46,6;26;0,139
2230;2021-01-06 14:00:00;NULL;NULL;0,13
2230;2021-01-06 16:00:00;NULL;NULL;0,131
2230;2021-01-06 18:00:00;NULL;NULL;0,138
2230;2021-01-06 20:00:00;46,4;25;0,131
2230;2021-01-06 22:00:00;NULL;NULL;0,13
2230;2021-01-07 00:00:00;NULL;NULL;0,13
2230;2021-01-07 02:00:00;NULL;NULL;0,13
2230;2021-01-07 04:00:00;NULL;NULL;0,131
2230;2021-01-07 06:00:00;45,9;23;0,133
2230;2021-01-07 08:00:00;NULL;NULL;0,138
2230;2021-01-07 10:00:00;NULL;NULL;0,138
2230;2021-01-07 12:00:00;45,4;21;0,137
2230;2021-01-07 14:00:00;NULL;NULL;0,132
2230;2021-01-07 16:00:00;NULL;NULL;0,139
2230;2021-01-07 18:00:00;NULL;NULL;0,143
2230;2021-01-07 20:00:00;46,9;19;0,134
2230;2021-01-07 22:00:00;NULL;NULL;0,139
2230;2021-01-08 00:00:00;NULL;NULL;0,137
2230;2021-01-08 02:00:00;NULL;NULL;0,137
2230;2021-01-08 04:00:00;NULL;NULL;0,144
2230;2021-01-08 06:00:00;48,2;21;0,141
2230;2021-01-08 08:00:00;NULL;NULL;0,145
2230;2021-01-08 10:00:00;NULL;NULL;0,143
2230;2021-01-08 12:00:00;48,6;26;0,143
2230;2021-01-08 14:00:00;NULL;NULL;0,141
2230;2021-01-08 16:00:00;NULL;NULL;0,143
2230;2021-01-08 18:00:00;NULL;NULL;0,15
2230;2021-01-08 20:00:00;48,6;24;0,149
2230;2021-01-08 22:00:00;NULL;NULL;0,148
2230;2021-01-09 00:00:00;NULL;NULL;0,145
2230;2021-01-09 02:00:00;NULL;NULL;0,146
2230;2021-01-09 04:00:00;NULL;NULL;0,146
2230;2021-01-09 06:00:00;48,8;23;0,145
2230;2021-01-09 08:00:00;NULL;NULL;0,146
2230;2021-01-09 10:00:00;NULL;NULL;0,149
2230;2021-01-09 12:00:00;48,6;23;0,15
2230;2021-01-09 14:00:00;NULL;NULL;0,147
2230;2021-01-09 16:00:00;NULL;NULL;0,142
2230;2021-01-09 18:00:00;NULL;NULL;0,149
2230;2021-01-09 20:00:00;48,6;28;0,152
2230;2021-01-09 22:00:00;NULL;NULL;0,14
2230;2021-01-10 00:00:00;NULL;NULL;0,138
2230;2021-01-10 02:00:00;NULL;NULL;0,137
2230;2021-01-10 04:00:00;NULL;NULL;0,135
2230;2021-01-10 06:00:00;48,9;18;0,136
2230;2021-01-10 08:00:00;NULL;NULL;0,136
2230;2021-01-10 10:00:00;NULL;NULL;0,136
2230;2021-01-10 12:00:00;49,2;23;0,134
2230;2021-01-10 14:00:00;NULL;NULL;0,131
2230;2021-01-10 16:00:00;NULL;NULL;0,131
2230;2021-01-10 18:00:00;NULL;NULL;0,132
2230;2021-01-10 20:00:00;48,7;23;0,129
2230;2021-01-10 22:00:00;NULL;NULL;0,126
2230;2021-01-11 00:00:00;NULL;NULL;0,123
2230;2021-01-11 02:00:00;NULL;NULL;0,121
2230;2021-01-11 04:00:00;NULL;NULL;0,121
2230;2021-01-11 06:00:00;49,2;25;0,121
2230;2021-01-11 08:00:00;NULL;NULL;0,119
2230;2021-01-11 10:00:00;NULL;NULL;0,115
2230;2021-01-11 12:00:00;49,3;29;0,115
2230;2021-01-11 14:00:00;NULL;NULL;0,113
2230;2021-01-11 16:00:00;NULL;NULL;0,114
2230;2021-01-11 18:00:00;NULL;NULL;0,119
2230;2021-01-11 20:00:00;47,9;20;0,118
2230;2021-01-11 22:00:00;NULL;NULL;0,119
2230;2021-01-12 00:00:00;NULL;NULL;0,12
2230;2021-01-12 02:00:00;NULL;NULL;0,119
2230;2021-01-12 04:00:00;NULL;NULL;0,118
2230;2021-01-12 06:00:00;45,9;25;0,12
2230;2021-01-12 08:00:00;NULL;NULL;0,125
2230;2021-01-12 10:00:00;NULL;NULL;0,13
2230;2021-01-12 12:00:00;45,6;27;0,136
2230;2021-01-12 14:00:00;NULL;NULL;0,128
2230;2021-01-12 16:00:00;NULL;NULL;0,131
2230;2021-01-12 18:00:00;NULL;NULL;0,135
2230;2021-01-12 20:00:00;45,3;27;0,132
2230;2021-01-12 22:00:00;NULL;NULL;0,133
2230;2021-01-13 00:00:00;NULL;NULL;0,133
2230;2021-01-13 02:00:00;NULL;NULL;0,133
2230;2021-01-13 04:00:00;NULL;NULL;0,134
2230;2021-01-13 06:00:00;44,4;25;0,141
2230;2021-01-13 08:00:00;NULL;NULL;0,145
2230;2021-01-13 10:00:00;NULL;NULL;0,145
2230;2021-01-13 12:00:00;44,1;28;0,144
2230;2021-01-13 14:00:00;NULL;NULL;0,144
2230;2021-01-13 16:00:00;NULL;NULL;0,147
2230;2021-01-13 18:00:00;NULL;NULL;0,152
2230;2021-01-13 20:00:00;43,8;12;0,142
2230;2021-01-13 22:00:00;NULL;NULL;0,144
2230;2021-01-14 00:00:00;NULL;NULL;0,143
2230;2021-01-14 02:00:00;NULL;NULL;0,143
2230;2021-01-14 04:00:00;NULL;NULL;0,141
2230;2021-01-14 06:00:00;43,2;22;0,144
2230;2021-01-14 08:00:00;NULL;NULL;0,15
2230;2021-01-14 12:00:00;43,2;23;0,152
2230;2021-01-14 14:00:00;NULL;NULL;0,149
2230;2021-01-14 16:00:00;NULL;NULL;0,152
2230;2021-01-14 18:00:00;NULL;NULL;0,151
2230;2021-01-14 20:00:00;43,1;23;0,148
2230;2021-01-14 22:00:00;NULL;NULL;0,146
2230;2021-01-15 00:00:00;NULL;NULL;0,145
2230;2021-01-15 02:00:00;NULL;NULL;0,142
2230;2021-01-15 04:00:00;NULL;NULL;0,141
2230;2021-01-15 06:00:00;43;26;0,142
2230;2021-01-15 08:00:00;NULL;NULL;0,147
2230;2021-01-15 10:00:00;NULL;NULL;0,144
2230;2021-01-15 12:00:00;43,2;25;0,147
2230;2021-01-15 14:00:00;NULL;NULL;0,144
2230;2021-01-15 16:00:00;NULL;NULL;0,145
2230;2021-01-15 18:00:00;NULL;NULL;0,145
2230;2021-01-15 20:00:00;43,7;28;0,14
2230;2021-01-15 22:00:00;NULL;NULL;0,136
2230;2021-01-16 00:00:00;NULL;NULL;0,135
2230;2021-01-16 02:00:00;NULL;NULL;0,132
2230;2021-01-16 04:00:00;NULL;NULL;0,132
2230;2021-01-16 06:00:00;44;16;0,133
2230;2021-01-16 08:00:00;NULL;NULL;0,132
