ObjectID;DateTime;P_in;T_in;Qh
2370;2021-01-01 00:00:00;45,28;3,47;0,107
2370;2021-01-01 02:00:00;45,39;3,58;0,161
2370;2021-01-01 04:00:00;45,51;3,83;0,107
2370;2021-01-01 06:00:00;45,69;3,93;0,108
2370;2021-01-01 08:00:00;45,86;3,71;0,162
2370;2021-01-01 10:00:00;46;3,66;0,163
2370;2021-01-01 12:00:00;46,72;3,38;0,11
2370;2021-01-01 14:00:00;46,98;3,39;0,111
2370;2021-01-01 16:00:00;47,29;3,37;0,112
2370;2021-01-01 18:00:00;47,4;3,5;0,112
2370;2021-01-01 20:00:00;47,14;3,61;0,112
2370;2021-01-01 22:00:00;46,94;3,75;0,111
2370;2021-01-02 00:00:00;46,71;3,57;0,166
2370;2021-01-02 02:00:00;46,66;3,59;0,166
2370;2021-01-02 04:00:00;46,6;3,68;0,11
2370;2021-01-02 06:00:00;46,6;3,62;0,165
2370;2021-01-02 08:00:00;46,6;3,55;0,165
2370;2021-01-02 10:00:00;46,58;3,41;0,166
2370;2021-01-02 12:00:00;46,56;3,56;0,11
2370;2021-01-02 14:00:00;46,12;3,33;0,109
2370;2021-01-02 16:00:00;45,51;3,11;0,108
2370;2021-01-02 18:00:00;44,92;3,13;0,16
2370;2021-01-02 20:00:00;44,97;3,5;0,105
2370;2021-01-02 22:00:00;45,38;3,12;0,16
2370;2021-01-03 00:00:00;45,82;3,19;0,162
2370;2021-01-03 02:00:00;46,07;2,93;0,109
2370;2021-01-03 04:00:00;46,27;2,86;0,11
2370;2021-01-03 06:00:00;46,45;2,85;0,11
2370;2021-01-03 08:00:00;46,47;2,73;0,166
2370;2021-01-03 10:00:00;46,56;2,38;0,111
2370;2021-01-03 12:00:00;46,6;2,47;0,166
2370;2021-01-03 14:00:00;46,65;2,49;0,166
2370;2021-01-03 16:00:00;46,81;2,75;0,167
2370;2021-01-03 18:00:00;46,81;2,75;0,111
2370;2021-01-03 20:00:00;46,98;2,83;0,167
2370;2021-01-03 22:00:00;47,27;2,77;0,168
2370;2021-01-04 00:00:00;47,46;2,7;0,169
2370;2021-01-04 02:00:00;47,51;2,54;0,17
2370;2021-01-04 04:00:00;47,14;2,69;0,169
2370;2021-01-04 06:00:00;47,12;2,65;0,168
2370;2021-01-04 08:00:00;47,04;2,83;0,112
2370;2021-01-04 10:00:00;47;2,55;0,168
2370;2021-01-04 12:00:00;46,79;2,37;0,112
2370;2021-01-04 14:00:00;46,72;2,79;0,167
2370;2021-01-04 16:00:00;46,76;3,08;0,167
2370;2021-01-04 18:00:00;46,61;3,05;0,111
2370;2021-01-04 20:00:00;46,49;3,07;0,166
2370;2021-01-04 22:00:00;46,29;3,03;0,11
2370;2021-01-05 00:00:00;46,14;2,8;0,164
2370;2021-01-05 02:00:00;46,25;2,52;0,11
2370;2021-01-05 04:00:00;46,41;2,19;0,166
2370;2021-01-05 06:00:00;46,51;2,05;0,166
2370;2021-01-05 08:00:00;46,69;2,07;0,167
2370;2021-01-05 10:00:00;46,79;2,18;0,167
2370;2021-01-05 12:00:00;46,7;2,39;0,112
2370;2021-01-05 14:00:00;46,46;2,84;0,166
2370;2021-01-05 16:00:00;46,21;2,95;0,165
2370;2021-01-05 18:00:00;45,99;2,84;0,164
2370;2021-01-05 20:00:00;45,75;2,6;0,163
2370;2021-01-05 22:00:00;45,94;2,46;0,164
2370;2021-01-06 00:00:00;45,99;2,41;0,164
2370;2021-01-06 02:00:00;46,01;2,35;0,164
2370;2021-01-06 04:00:00;46,08;2,54;0,11
2370;2021-01-06 06:00:00;46,11;2,73;0,164
2370;2021-01-06 08:00:00;46,17;2,62;0,164
2370;2021-01-06 10:00:00;46,2;2,57;0,165
2370;2021-01-06 12:00:00;46,19;2,76;0,165
2370;2021-01-06 14:00:00;46,16;2,9;0,109
2370;2021-01-06 16:00:00;46,07;3,1;0,164
2370;2021-01-06 18:00:00;45,97;3,05;0,163
2370;2021-01-06 20:00:00;45,86;3,28;0,108
2370;2021-01-06 22:00:00;45,88;3,08;0,163
2370;2021-01-07 00:00:00;45,78;2,87;0,163
2370;2021-01-07 02:00:00;45,72;2,56;0,109
2370;2021-01-07 04:00:00;45,65;2,3;0,163
2370;2021-01-07 06:00:00;45,49;2,28;0,108
