ObjectID;DateTime;P_in;T_in;Qh
2355;2021-01-01 00:00:00;45,32;2,32;2,678
2355;2021-01-01 02:00:00;45,34;2,27;2,627
2355;2021-01-01 04:00:00;45,57;2,36;2,422
2355;2021-01-01 06:00:00;45,75;2,3;2,434
2355;2021-01-01 08:00:00;45,87;2,29;2,441
2355;2021-01-01 10:00:00;46;2,36;2,394
2355;2021-01-01 12:00:00;46,09;2,44;2,672
2355;2021-01-01 14:00:00;46,88;2,45;2,722
2355;2021-01-01 16:00:00;47,26;2,47;2,461
2355;2021-01-01 18:00:00;47,34;2,32;2,53
2355;2021-01-01 20:00:00;47,42;2,11;2,483
2355;2021-01-01 22:00:00;47,01;2,17;2,462
2355;2021-01-02 00:00:00;46,83;2,21;2,447
2355;2021-01-02 02:00:00;46,75;2,06;2,499
2355;2021-01-02 04:00:00;46,69;2,17;2,439
2355;2021-01-02 06:00:00;46,68;2,14;2,437
2355;2021-01-02 08:00:00;46,67;2,05;2,438
2355;2021-01-02 10:00:00;46,66;2,08;2,437
2355;2021-01-02 12:00:00;46,62;2,22;2,656
2355;2021-01-02 14:00:00;46,39;2,11;2,65
2355;2021-01-02 16:00:00;45,88;1,93;2,511
2355;2021-01-02 18:00:00;45,29;1,83;2,425
2355;2021-01-02 20:00:00;44,48;1,83;2,696
2355;2021-01-02 22:00:00;45,41;1,89;2,733
2355;2021-01-03 00:00:00;45,75;1,84;2,763
2355;2021-01-03 02:00:00;46;1,83;2,344
2355;2021-01-03 04:00:00;46,22;1,77;2,469
2355;2021-01-03 06:00:00;46,4;1,84;2,699
2355;2021-01-03 08:00:00;46,55;1,68;2,491
2355;2021-01-03 10:00:00;46,56;1,65;2,437
2355;2021-01-03 12:00:00;46,63;1,87;2,77
2355;2021-01-03 14:00:00;46,68;1,93;2,771
2355;2021-01-03 16:00:00;46,88;1,75;2,45
2355;2021-01-03 18:00:00;46,85;1,65;2,454
2355;2021-01-03 20:00:00;47,01;1,74;2,796
2355;2021-01-03 22:00:00;47,3;1,67;2,869
2355;2021-01-04 00:00:00;47,47;1,52;2,434
2355;2021-01-04 02:00:00;47,52;1,68;2,663
2355;2021-01-04 04:00:00;47,37;1,53;2,831
2355;2021-01-04 06:00:00;47,2;1,61;2,419
2355;2021-01-04 08:00:00;47,12;1,66;2,808
2355;2021-01-04 10:00:00;47,05;1,69;2,802
2355;2021-01-04 12:00:00;46,9;1,93;2,792
2355;2021-01-04 14:00:00;46,8;1,87;2,451
2355;2021-01-04 16:00:00;46,93;1,83;2,778
2355;2021-01-04 18:00:00;46,78;1,78;2,839
2355;2021-01-04 20:00:00;46,54;1,73;2,77
2355;2021-01-04 22:00:00;46,34;1,6;2,759
2355;2021-01-05 00:00:00;46,19;1,64;2,802
2355;2021-01-05 02:00:00;46,29;1,44;2,751
2355;2021-01-05 04:00:00;46,47;1,24;2,434
2355;2021-01-05 06:00:00;46,51;1,33;3,157
2355;2021-01-05 08:00:00;46,67;1,45;2,945
2355;2021-01-05 10:00:00;46,75;1,64;2,95
2355;2021-01-05 12:00:00;46,86;1,71;2,955
2355;2021-01-05 14:00:00;46,71;2,08;2,773
2355;2021-01-05 16:00:00;46,36;1,7;2,925
2355;2021-01-05 18:00:00;46,14;1,61;2,909
2355;2021-01-05 20:00:00;45,84;1,55;2,893
2355;2021-01-05 22:00:00;45,87;1,39;2,887
2355;2021-01-06 00:00:00;46,01;1,47;2,898
2355;2021-01-06 02:00:00;46,04;1,57;2,901
2355;2021-01-06 04:00:00;46,12;1,57;2,196
2355;2021-01-06 06:00:00;46,14;1,72;2,851
2355;2021-01-06 08:00:00;46,19;1,77;2,798
2355;2021-01-06 10:00:00;46,23;1,93;2,799
2355;2021-01-06 12:00:00;46,28;2,09;2,415
2355;2021-01-06 14:00:00;46,24;2,11;2,414
2355;2021-01-06 16:00:00;46,18;2,12;2,41
2355;2021-01-06 18:00:00;46,06;1,81;2,627
2355;2021-01-06 20:00:00;45,97;1,83;2,784
2355;2021-01-06 22:00:00;45,95;1,65;2,401
2355;2021-01-07 00:00:00;45,85;1,67;2,89
2355;2021-01-07 02:00:00;45,77;1,25;2,94
2355;2021-01-07 04:00:00;45,85;1,16;2,666
2355;2021-01-07 06:00:00;45,59;1,45;2,875
2355;2021-01-07 08:00:00;45,43;1,39;2,863
