ObjectID;DateTime;P_in;T_in;Qh
2210;2021-01-01 00:00:00;NULL;NULL;3,688
2210;2021-01-01 02:00:00;NULL;NULL;3,621
2210;2021-01-01 04:00:00;NULL;NULL;3,612
2210;2021-01-01 06:00:00;46,5;29;3,627
2210;2021-01-01 08:00:00;NULL;NULL;3,639
2210;2021-01-01 10:00:00;NULL;NULL;3,667
2210;2021-01-01 12:00:00;47,6;29;3,704
2210;2021-01-01 14:00:00;NULL;NULL;3,61
2210;2021-01-01 16:00:00;NULL;NULL;3,514
2210;2021-01-01 18:00:00;NULL;NULL;3,771
2210;2021-01-01 20:00:00;47,7;32;3,784
2210;2021-01-01 22:00:00;NULL;NULL;3,76
2210;2021-01-02 00:00:00;NULL;NULL;3,818
2210;2021-01-02 02:00:00;NULL;NULL;3,772
2210;2021-01-02 04:00:00;NULL;NULL;3,726
2210;2021-01-02 06:00:00;47,3;32;3,729
2210;2021-01-02 08:00:00;NULL;NULL;3,863
2210;2021-01-02 10:00:00;NULL;NULL;3,857
2210;2021-01-02 12:00:00;47,3;32;3,966
2210;2021-01-02 14:00:00;NULL;NULL;3,976
2210;2021-01-02 16:00:00;NULL;NULL;3,982
2210;2021-01-02 18:00:00;NULL;NULL;4,003
2210;2021-01-02 20:00:00;46;37;4,303
2210;2021-01-02 22:00:00;NULL;NULL;4,461
2210;2021-01-03 00:00:00;NULL;NULL;4,069
2210;2021-01-03 02:00:00;NULL;NULL;4,046
2210;2021-01-03 04:00:00;NULL;NULL;4,034
2210;2021-01-03 06:00:00;47;38;3,91
2210;2021-01-03 08:00:00;NULL;NULL;3,98
2210;2021-01-03 10:00:00;NULL;NULL;4,039
2210;2021-01-03 12:00:00;47,1;39;4,078
2210;2021-01-03 14:00:00;NULL;NULL;4,046
2210;2021-01-03 16:00:00;NULL;NULL;4,042
2210;2021-01-03 18:00:00;NULL;NULL;4,045
2210;2021-01-03 20:00:00;47,6;39;4,213
2210;2021-01-03 22:00:00;NULL;NULL;4,181
2210;2021-01-04 00:00:00;NULL;NULL;4,042
2210;2021-01-04 02:00:00;NULL;NULL;4,066
2210;2021-01-04 04:00:00;NULL;NULL;3,982
2210;2021-01-04 06:00:00;47,6;8;3,936
2210;2021-01-04 08:00:00;NULL;NULL;3,621
2210;2021-01-04 10:00:00;NULL;NULL;3,259
2210;2021-01-04 12:00:00;47,3;40;4,066
2210;2021-01-04 14:00:00;NULL;NULL;4,052
2210;2021-01-04 16:00:00;NULL;NULL;4,088
2210;2021-01-04 18:00:00;NULL;NULL;4,189
2210;2021-01-04 20:00:00;46,9;39;4,192
2210;2021-01-04 22:00:00;NULL;NULL;4,25
2210;2021-01-05 00:00:00;NULL;NULL;4,548
2210;2021-01-05 02:00:00;NULL;NULL;4,239
2210;2021-01-05 04:00:00;NULL;NULL;4,102
2210;2021-01-05 06:00:00;47,1;40;4,121
2210;2021-01-05 08:00:00;NULL;NULL;4,201
2210;2021-01-05 10:00:00;NULL;NULL;4,233
2210;2021-01-05 12:00:00;47,1;8;4,251
2210;2021-01-05 14:00:00;NULL;NULL;4,203
2210;2021-01-05 16:00:00;NULL;NULL;4,324
2210;2021-01-05 18:00:00;NULL;NULL;4,352
2210;2021-01-05 20:00:00;46,3;38;4,41
2210;2021-01-05 22:00:00;NULL;NULL;4,458
2210;2021-01-06 00:00:00;NULL;NULL;4,334
2210;2021-01-06 02:00:00;NULL;NULL;4,114
2210;2021-01-06 04:00:00;NULL;NULL;4,154
2210;2021-01-06 06:00:00;46,6;37;4,053
2210;2021-01-06 08:00:00;NULL;NULL;4,187
2210;2021-01-06 10:00:00;NULL;NULL;4,082
2210;2021-01-06 12:00:00;46,6;36;4,471
2210;2021-01-06 14:00:00;NULL;NULL;4,02
2210;2021-01-06 16:00:00;NULL;NULL;4,076
2210;2021-01-06 18:00:00;NULL;NULL;4,136
2210;2021-01-06 20:00:00;46,4;35;4,27
2210;2021-01-06 22:00:00;NULL;NULL;4,276
2210;2021-01-07 00:00:00;NULL;NULL;4,242
2210;2021-01-07 02:00:00;NULL;NULL;4,253
2210;2021-01-07 04:00:00;NULL;NULL;4,248
2210;2021-01-07 06:00:00;46,1;35;4,239
2210;2021-01-07 08:00:00;NULL;NULL;4,245
2210;2021-01-07 10:00:00;NULL;NULL;4,365
2210;2021-01-07 12:00:00;46,2;29;4,882
2210;2021-01-07 14:00:00;NULL;NULL;4,178
2210;2021-01-07 16:00:00;NULL;NULL;4,243
2210;2021-01-07 18:00:00;NULL;NULL;4,335
2210;2021-01-07 20:00:00;47,4;27;4,49
2210;2021-01-07 22:00:00;NULL;NULL;4,565
2210;2021-01-08 00:00:00;NULL;NULL;4,455
2210;2021-01-08 02:00:00;NULL;NULL;4,237
2210;2021-01-08 04:00:00;NULL;NULL;4,255
2210;2021-01-08 06:00:00;48,6;27;4,228
2210;2021-01-08 08:00:00;NULL;NULL;4,436
2210;2021-01-08 10:00:00;NULL;NULL;4,606
2210;2021-01-08 12:00:00;48,9;28;4,439
2210;2021-01-08 14:00:00;NULL;NULL;4,367
2210;2021-01-08 16:00:00;NULL;NULL;4,47
2210;2021-01-08 18:00:00;NULL;NULL;4,528
2210;2021-01-08 20:00:00;49;28;4,678
2210;2021-01-08 22:00:00;NULL;NULL;4,617
2210;2021-01-09 00:00:00;NULL;NULL;4,551
2210;2021-01-09 02:00:00;NULL;NULL;4,571
2210;2021-01-09 04:00:00;NULL;NULL;4,36
2210;2021-01-09 06:00:00;49,2;29;4,028
2210;2021-01-09 08:00:00;NULL;NULL;4,028
2210;2021-01-09 10:00:00;NULL;NULL;4,324
2210;2021-01-09 12:00:00;49,1;10;4,506
2210;2021-01-09 14:00:00;NULL;NULL;4,433
2210;2021-01-09 16:00:00;NULL;NULL;4,379
2210;2021-01-09 18:00:00;NULL;NULL;4,359
2210;2021-01-09 20:00:00;49,1;27;4,349
2210;2021-01-09 22:00:00;NULL;NULL;4,243
2210;2021-01-10 00:00:00;NULL;NULL;4,069
2210;2021-01-10 02:00:00;NULL;NULL;3,851
2210;2021-01-10 04:00:00;NULL;NULL;3,843
2210;2021-01-10 06:00:00;49,2;28;3,863
2210;2021-01-10 08:00:00;NULL;NULL;4,035
2210;2021-01-10 10:00:00;NULL;NULL;4,07
2210;2021-01-10 12:00:00;49,6;29;4,069
2210;2021-01-10 14:00:00;NULL;NULL;4,084
2210;2021-01-10 16:00:00;NULL;NULL;4,084
2210;2021-01-10 20:00:00;49,1;29;3,944
2210;2021-01-10 22:00:00;NULL;NULL;3,929
2210;2021-01-11 00:00:00;NULL;NULL;3,825
2210;2021-01-11 02:00:00;NULL;NULL;3,514
2210;2021-01-11 04:00:00;NULL;NULL;3,469
2210;2021-01-11 06:00:00;49,6;29;3,484
2210;2021-01-11 08:00:00;NULL;NULL;3,533
2210;2021-01-11 10:00:00;NULL;NULL;3,542
2210;2021-01-11 12:00:00;49,5;26;3,437
2210;2021-01-11 14:00:00;NULL;NULL;3,349
2210;2021-01-11 16:00:00;NULL;NULL;3,469
2210;2021-01-11 18:00:00;NULL;NULL;3,618
2210;2021-01-11 20:00:00;47,8;25;3,754
2210;2021-01-11 22:00:00;NULL;NULL;3,744
2210;2021-01-12 00:00:00;NULL;NULL;3,64
2210;2021-01-12 02:00:00;NULL;NULL;3,652
2210;2021-01-12 04:00:00;NULL;NULL;3,897
2210;2021-01-12 06:00:00;46,7;26;3,776
2210;2021-01-12 08:00:00;NULL;NULL;4,216
2210;2021-01-12 10:00:00;NULL;NULL;4,041
2210;2021-01-12 12:00:00;46,1;26;3,93
2210;2021-01-12 14:00:00;NULL;NULL;3,901
2210;2021-01-12 16:00:00;NULL;NULL;4,014
2210;2021-01-12 18:00:00;NULL;NULL;4,227
2210;2021-01-12 20:00:00;45,9;26;4,449
2210;2021-01-12 22:00:00;NULL;NULL;4,426
2210;2021-01-13 00:00:00;NULL;NULL;4,368
2210;2021-01-13 02:00:00;NULL;NULL;4,328
2210;2021-01-13 04:00:00;NULL;NULL;4,292
2210;2021-01-13 06:00:00;45,2;26;4,263
2210;2021-01-13 10:00:00;NULL;NULL;4,52
2210;2021-01-13 12:00:00;45;26;4,464
2210;2021-01-13 14:00:00;NULL;NULL;4,312
2210;2021-01-13 16:00:00;NULL;NULL;4,457
2210;2021-01-13 18:00:00;NULL;NULL;4,552
2210;2021-01-13 20:00:00;44,5;26;4,686
2210;2021-01-13 22:00:00;NULL;NULL;4,66
2210;2021-01-14 00:00:00;NULL;NULL;4,609
2210;2021-01-14 02:00:00;NULL;NULL;4,591
2210;2021-01-14 04:00:00;NULL;NULL;4,526
2210;2021-01-14 06:00:00;44,2;25;4,424
2210;2021-01-14 08:00:00;NULL;NULL;4,542
2210;2021-01-14 12:00:00;44,1;26;4,55
2210;2021-01-14 14:00:00;NULL;NULL;4,419
2210;2021-01-14 16:00:00;NULL;NULL;4,504
2210;2021-01-14 18:00:00;NULL;NULL;4,577
2210;2021-01-14 20:00:00;44;27;4,699
2210;2021-01-14 22:00:00;NULL;NULL;4,657
2210;2021-01-15 00:00:00;NULL;NULL;4,56
2210;2021-01-15 02:00:00;NULL;NULL;4,465
2210;2021-01-15 04:00:00;NULL;NULL;4,343
2210;2021-01-15 06:00:00;44;27;4,329
2210;2021-01-15 08:00:00;NULL;NULL;4,36
2210;2021-01-15 10:00:00;NULL;NULL;4,565
2210;2021-01-15 12:00:00;44;27;4,278
2210;2021-01-15 14:00:00;NULL;NULL;4,294
2210;2021-01-15 16:00:00;NULL;NULL;4,468
2210;2021-01-15 18:00:00;NULL;NULL;4,506
2210;2021-01-15 20:00:00;44,6;27;4,493
2210;2021-01-15 22:00:00;NULL;NULL;4,37
2210;2021-01-16 00:00:00;NULL;NULL;4,207
2210;2021-01-16 02:00:00;NULL;NULL;4,165
2210;2021-01-16 04:00:00;NULL;NULL;4,075
2210;2021-01-16 06:00:00;44,8;27;4,006
2210;2021-01-16 08:00:00;NULL;NULL;4,006
2210;2021-01-16 10:00:00;NULL;NULL;4,049
2210;2021-01-16 12:00:00;45,1;28;4,027
2210;2021-01-16 14:00:00;NULL;NULL;3,984
2210;2021-01-16 16:00:00;NULL;NULL;3,914
2210;2021-01-16 18:00:00;NULL;NULL;3,924
2210;2021-01-16 20:00:00;45,5;29;3,933
2210;2021-01-16 22:00:00;NULL;NULL;4,029
2210;2021-01-17 00:00:00;NULL;NULL;4,036
2210;2021-01-17 02:00:00;NULL;NULL;4,055
2210;2021-01-17 04:00:00;NULL;NULL;4,061
2210;2021-01-17 06:00:00;46,2;31;3,972
2210;2021-01-17 08:00:00;NULL;NULL;3,808
2210;2021-01-17 10:00:00;NULL;NULL;3,818
2210;2021-01-17 12:00:00;46,6;32;3,903
2210;2021-01-17 14:00:00;NULL;NULL;4,004
2210;2021-01-17 16:00:00;NULL;NULL;3,88
2210;2021-01-17 18:00:00;NULL;NULL;3,959
2210;2021-01-17 20:00:00;46,8;32;3,952
2210;2021-01-17 22:00:00;NULL;NULL;3,95
2210;2021-01-18 00:00:00;NULL;NULL;3,93
2210;2021-01-18 02:00:00;NULL;NULL;3,997
2210;2021-01-18 04:00:00;NULL;NULL;4,057
2210;2021-01-18 06:00:00;46,5;32;4,105
2210;2021-01-18 08:00:00;NULL;NULL;3,86
2210;2021-01-18 10:00:00;NULL;NULL;4,115
2210;2021-01-18 12:00:00;46;32;3,91
2210;2021-01-18 14:00:00;NULL;NULL;3,78
2210;2021-01-18 16:00:00;NULL;NULL;3,963
2210;2021-01-18 18:00:00;NULL;NULL;4,094
2210;2021-01-18 20:00:00;45,6;29;4,381
2210;2021-01-18 22:00:00;NULL;NULL;4,185
2210;2021-01-19 00:00:00;NULL;NULL;4,024
2210;2021-01-19 02:00:00;NULL;NULL;3,916
2210;2021-01-19 04:00:00;NULL;NULL;3,897
2210;2021-01-19 06:00:00;37;28;3,922
2210;2021-01-19 08:00:00;NULL;NULL;4,052
2210;2021-01-19 10:00:00;NULL;NULL;3,977
2210;2021-01-19 12:00:00;45,8;28;3,972
2210;2021-01-19 14:00:00;NULL;NULL;3,999
2210;2021-01-19 16:00:00;NULL;NULL;3,989
2210;2021-01-19 18:00:00;NULL;NULL;4,024
2210;2021-01-19 20:00:00;46,6;29;4,096
2210;2021-01-19 22:00:00;NULL;NULL;4,089
2210;2021-01-20 00:00:00;NULL;NULL;4,051
2210;2021-01-20 02:00:00;NULL;NULL;3,932
2210;2021-01-20 04:00:00;NULL;NULL;3,873
2210;2021-01-20 06:00:00;46,6;29;3,839
2210;2021-01-20 08:00:00;NULL;NULL;3,861
2210;2021-01-20 10:00:00;NULL;NULL;4,15
2210;2021-01-20 12:00:00;46,6;29;4,045
2210;2021-01-20 14:00:00;NULL;NULL;4,062
2210;2021-01-20 16:00:00;NULL;NULL;4,002
2210;2021-01-20 18:00:00;NULL;NULL;4,251
2210;2021-01-20 20:00:00;46,5;28;4,461
2210;2021-01-20 22:00:00;NULL;NULL;4,417
2210;2021-01-21 00:00:00;NULL;NULL;4,46
2210;2021-01-21 02:00:00;NULL;NULL;4,299
2210;2021-01-21 04:00:00;NULL;NULL;4,176
2210;2021-01-21 06:00:00;46,6;28;4,212
2210;2021-01-21 08:00:00;NULL;NULL;4,286
2210;2021-01-21 10:00:00;NULL;NULL;4,379
2210;2021-01-21 12:00:00;46,6;29;4,228
2210;2021-01-21 14:00:00;NULL;NULL;4,158
2210;2021-01-21 16:00:00;NULL;NULL;4,19
2210;2021-01-21 18:00:00;NULL;NULL;4,163
2210;2021-01-21 20:00:00;45,9;28;4,629
2210;2021-01-21 22:00:00;NULL;NULL;4,553
2210;2021-01-22 00:00:00;NULL;NULL;4,486
2210;2021-01-22 02:00:00;NULL;NULL;4,34
2210;2021-01-22 04:00:00;NULL;NULL;4,283
2210;2021-01-22 06:00:00;44,8;28;4,213
2210;2021-01-22 08:00:00;NULL;NULL;4,232
