ObjectID;DateTime;P_in;T_in;Qh
2120;2021-01-01 00:00:00;NULL;NULL;0,811
2120;2021-01-01 02:00:00;NULL;NULL;0,809
2120;2021-01-01 04:00:00;NULL;NULL;0,788
2120;2021-01-01 06:00:00;NULL;NULL;0,809
2120;2021-01-01 08:00:00;NULL;NULL;0,77
2120;2021-01-01 10:00:00;NULL;NULL;0,775
2120;2021-01-01 12:00:00;38,5;14;0,784
2120;2021-01-01 14:00:00;NULL;NULL;0,808
2120;2021-01-01 16:00:00;NULL;NULL;0,795
2120;2021-01-01 18:00:00;NULL;NULL;0,788
2120;2021-01-01 20:00:00;39,9;13;0,81
2120;2021-01-01 22:00:00;NULL;NULL;0,811
2120;2021-01-02 00:00:00;NULL;NULL;0,803
2120;2021-01-02 02:00:00;NULL;NULL;0,777
2120;2021-01-02 04:00:00;NULL;NULL;0,766
2120;2021-01-02 06:00:00;NULL;NULL;0,777
2120;2021-01-02 08:00:00;NULL;NULL;0,766
2120;2021-01-02 10:00:00;NULL;NULL;0,821
2120;2021-01-02 12:00:00;37,4;12;0,833
2120;2021-01-02 14:00:00;NULL;NULL;0,841
2120;2021-01-02 16:00:00;NULL;NULL;0,809
2120;2021-01-02 18:00:00;NULL;NULL;0,823
2120;2021-01-02 20:00:00;35,9;11;0,856
2120;2021-01-02 22:00:00;NULL;NULL;0,829
2120;2021-01-03 00:00:00;NULL;NULL;0,808
2120;2021-01-03 02:00:00;NULL;NULL;0,802
2120;2021-01-03 04:00:00;NULL;NULL;0,796
2120;2021-01-03 06:00:00;NULL;NULL;0,802
2120;2021-01-03 08:00:00;NULL;NULL;0,811
2120;2021-01-03 10:00:00;NULL;NULL;0,838
2120;2021-01-03 12:00:00;35,6;12;0,848
2120;2021-01-03 14:00:00;NULL;NULL;0,856
2120;2021-01-03 16:00:00;NULL;NULL;0,851
2120;2021-01-03 18:00:00;NULL;NULL;0,855
2120;2021-01-03 20:00:00;35;12;0,857
2120;2021-01-03 22:00:00;NULL;NULL;0,861
2120;2021-01-04 00:00:00;NULL;NULL;0,819
