ObjectID;DateTime;P_in;T_in;Qh
2070;2021-01-01 00:00:00;NULL;NULL;25,533
2070;2021-01-01 02:00:00;NULL;NULL;24,527
2070;2021-01-01 04:00:00;NULL;NULL;24,479
2070;2021-01-01 06:00:00;37,7;2;24,122
2070;2021-01-01 08:00:00;NULL;NULL;24,097
2070;2021-01-01 10:00:00;NULL;NULL;24,22
2070;2021-01-01 12:00:00;37,8;1;25,083
2070;2021-01-01 14:00:00;NULL;NULL;25,008
2070;2021-01-01 16:00:00;NULL;NULL;25,373
2070;2021-01-01 20:00:00;38,9;1;24,805
2070;2021-01-01 22:00:00;NULL;NULL;24,361
2070;2021-01-02 00:00:00;NULL;NULL;24,51
2070;2021-01-02 02:00:00;NULL;NULL;24,004
2070;2021-01-02 04:00:00;NULL;NULL;23,833
2070;2021-01-02 06:00:00;36,9;1;24,119
2070;2021-01-02 08:00:00;NULL;NULL;23,961
2070;2021-01-02 10:00:00;NULL;NULL;23,961
2070;2021-01-02 12:00:00;36,8;1;25,378
2070;2021-01-02 14:00:00;NULL;NULL;26,226
2070;2021-01-02 16:00:00;NULL;NULL;25,148
2070;2021-01-02 20:00:00;35,1;1;25,409
2070;2021-01-02 22:00:00;NULL;NULL;26,211
2070;2021-01-03 00:00:00;NULL;NULL;26,027
2070;2021-01-03 02:00:00;NULL;NULL;25,439
2070;2021-01-03 04:00:00;NULL;NULL;25,019
2070;2021-01-03 06:00:00;35,1;0;24,975
2070;2021-01-03 08:00:00;NULL;NULL;25,242
2070;2021-01-03 10:00:00;NULL;NULL;25,439
2070;2021-01-03 12:00:00;34,8;1;26,154
2070;2021-01-03 14:00:00;NULL;NULL;26,601
2070;2021-01-03 16:00:00;NULL;NULL;25,926
2070;2021-01-03 20:00:00;34,2;1;26,022
2070;2021-01-03 22:00:00;NULL;NULL;25,935
2070;2021-01-04 00:00:00;NULL;NULL;25,63
2070;2021-01-04 02:00:00;NULL;NULL;25,63
2070;2021-01-04 04:00:00;NULL;NULL;24,736
2070;2021-01-04 06:00:00;33,7;1;25,462
2070;2021-01-04 08:00:00;NULL;NULL;25,148
2070;2021-01-04 10:00:00;NULL;NULL;25,884
2070;2021-01-04 12:00:00;33,5;1;26,017
2070;2021-01-04 14:00:00;NULL;NULL;26,395
2070;2021-01-04 16:00:00;NULL;NULL;26,749
2070;2021-01-04 20:00:00;33,2;1;27,25
2070;2021-01-04 22:00:00;NULL;NULL;26,78
2070;2021-01-05 00:00:00;NULL;NULL;27,009
2070;2021-01-05 02:00:00;NULL;NULL;26,935
2070;2021-01-05 04:00:00;NULL;NULL;26,668
2070;2021-01-05 06:00:00;33;0;26,699
2070;2021-01-05 08:00:00;NULL;NULL;27,131
2070;2021-01-05 10:00:00;NULL;NULL;28,161
2070;2021-01-05 12:00:00;32,6;1;28,163
2070;2021-01-05 14:00:00;NULL;NULL;28,288
2070;2021-01-05 16:00:00;NULL;NULL;27,942
2070;2021-01-05 20:00:00;32,7;1;28,371
2070;2021-01-05 22:00:00;NULL;NULL;27,925
2070;2021-01-06 00:00:00;NULL;NULL;27,432
2070;2021-01-06 02:00:00;NULL;NULL;26,833
2070;2021-01-06 04:00:00;NULL;NULL;26,259
2070;2021-01-06 06:00:00;35,1;1;27,27
2070;2021-01-06 08:00:00;NULL;NULL;26,529
2070;2021-01-06 10:00:00;NULL;NULL;27,437
2070;2021-01-06 12:00:00;35,5;1;27,036
2070;2021-01-06 14:00:00;NULL;NULL;27,331
2070;2021-01-06 16:00:00;NULL;NULL;27,071
2070;2021-01-06 20:00:00;36,6;1;22,873
2070;2021-01-06 22:00:00;NULL;NULL;27,77
2070;2021-01-07 00:00:00;NULL;NULL;26,791
2070;2021-01-07 02:00:00;NULL;NULL;26,224
2070;2021-01-07 04:00:00;NULL;NULL;26,063
2070;2021-01-07 06:00:00;36,3;1;27,001
2070;2021-01-07 08:00:00;NULL;NULL;26,99
2070;2021-01-07 10:00:00;NULL;NULL;27,631
2070;2021-01-07 12:00:00;36,3;1;28,047
2070;2021-01-07 14:00:00;NULL;NULL;28,016
2070;2021-01-07 16:00:00;NULL;NULL;27,985
2070;2021-01-07 20:00:00;36,2;1;29,213
2070;2021-01-07 22:00:00;NULL;NULL;29,08
2070;2021-01-08 00:00:00;NULL;NULL;28,068
2070;2021-01-08 02:00:00;NULL;NULL;27,387
2070;2021-01-08 04:00:00;NULL;NULL;27,297
2070;2021-01-08 06:00:00;36,2;1;28,181
2070;2021-01-08 08:00:00;NULL;NULL;28,342
2070;2021-01-08 10:00:00;NULL;NULL;28,857
2070;2021-01-08 12:00:00;37,9;0;29,08
2070;2021-01-08 14:00:00;NULL;NULL;28,779
2070;2021-01-08 16:00:00;NULL;NULL;29,139
2070;2021-01-08 20:00:00;37,6;0;29,251
2070;2021-01-08 22:00:00;NULL;NULL;28,682
2070;2021-01-09 00:00:00;NULL;NULL;27,328
2070;2021-01-09 02:00:00;NULL;NULL;26,117
2070;2021-01-09 04:00:00;NULL;NULL;25,751
2070;2021-01-09 06:00:00;37,7;1;25,744
2070;2021-01-09 08:00:00;NULL;NULL;26,747
2070;2021-01-09 10:00:00;NULL;NULL;26,745
2070;2021-01-09 12:00:00;38,2;1;27,626
2070;2021-01-09 14:00:00;NULL;NULL;27,563
2070;2021-01-09 16:00:00;NULL;NULL;26,537
2070;2021-01-09 20:00:00;39;1;26,473
2070;2021-01-09 22:00:00;NULL;NULL;26,239
2070;2021-01-10 00:00:00;NULL;NULL;24,682
2070;2021-01-10 02:00:00;NULL;NULL;23,838
2070;2021-01-10 04:00:00;NULL;NULL;23,603
2070;2021-01-10 06:00:00;38,7;1;23,705
2070;2021-01-10 08:00:00;NULL;NULL;24,589
2070;2021-01-10 10:00:00;NULL;NULL;24,656
2070;2021-01-10 12:00:00;38,6;1;24,995
2070;2021-01-10 14:00:00;NULL;NULL;25,505
2070;2021-01-10 16:00:00;NULL;NULL;25,095
2070;2021-01-10 20:00:00;38,5;1;24,705
