ObjectID;DateTime;P_in;T_in;Qh
2160;2021-01-01 00:00:00;NULL;NULL;0,475
2160;2021-01-01 02:00:00;NULL;NULL;0,474
2160;2021-01-01 04:00:00;NULL;NULL;0,469
2160;2021-01-01 06:00:00;45,7;24;0,466
2160;2021-01-01 08:00:00;NULL;NULL;0,465
2160;2021-01-01 10:00:00;NULL;NULL;0,468
2160;2021-01-01 12:00:00;45,9;25;0,471
2160;2021-01-01 14:00:00;NULL;NULL;0,466
2160;2021-01-01 16:00:00;NULL;NULL;0,464
2160;2021-01-01 18:00:00;NULL;NULL;0,471
2160;2021-01-01 20:00:00;44,4;25;0,472
2160;2021-01-01 22:00:00;NULL;NULL;0,475
2160;2021-01-02 00:00:00;NULL;NULL;0,467
2160;2021-01-02 02:00:00;NULL;NULL;0,469
2160;2021-01-02 04:00:00;NULL;NULL;0,466
2160;2021-01-02 06:00:00;41,2;24;0,47
2160;2021-01-02 08:00:00;NULL;NULL;0,472
2160;2021-01-02 10:00:00;NULL;NULL;0,482
2160;2021-01-02 12:00:00;41,2;25;0,48
2160;2021-01-02 14:00:00;NULL;NULL;0,479
2160;2021-01-02 16:00:00;NULL;NULL;0,488
2160;2021-01-02 18:00:00;NULL;NULL;0,483
2160;2021-01-02 20:00:00;38,8;22;0,517
2160;2021-01-02 22:00:00;NULL;NULL;0,512
2160;2021-01-03 00:00:00;NULL;NULL;0,509
2160;2021-01-03 02:00:00;NULL;NULL;0,512
2160;2021-01-03 04:00:00;NULL;NULL;0,512
2160;2021-01-03 06:00:00;38,7;23;0,513
2160;2021-01-03 08:00:00;NULL;NULL;0,513
2160;2021-01-03 10:00:00;NULL;NULL;0,522
2160;2021-01-03 12:00:00;38,1;23;0,524
2160;2021-01-03 14:00:00;NULL;NULL;0,518
2160;2021-01-03 16:00:00;NULL;NULL;0,518
2160;2021-01-03 18:00:00;NULL;NULL;0,519
2160;2021-01-03 20:00:00;37,5;23;0,51
2160;2021-01-03 22:00:00;NULL;NULL;0,511
2160;2021-01-04 00:00:00;NULL;NULL;0,508
