ObjectID;DateTime;P_in;T_in;Qh
2150;2021-01-01 00:00:00;46,16;21,9;32,577
2150;2021-01-01 02:00:00;46,29;21,92;32,239
2150;2021-01-01 04:00:00;46,42;21,96;32,346
2150;2021-01-01 06:00:00;46,54;21,94;32,259
2150;2021-01-01 08:00:00;46,6;21,96;NULL
2150;2021-01-01 10:00:00;46,66;21,88;32,353
2150;2021-01-01 12:00:00;46,79;21,78;33,209
2150;2021-01-01 14:00:00;47,34;21,8;33,314
2150;2021-01-01 16:00:00;47,27;21,63;33,28
2150;2021-01-01 18:00:00;45,66;21,04;33,101
2150;2021-01-01 20:00:00;42,33;20,23;33,146
2150;2021-01-01 22:00:00;41,9;20,25;32,171
2150;2021-01-02 00:00:00;41,83;20,13;31,914
2150;2021-01-02 02:00:00;41,72;20,07;33,049
2150;2021-01-02 04:00:00;41,71;19,72;33,164
2150;2021-01-02 06:00:00;41,7;19,71;33,144
2150;2021-01-02 08:00:00;41,69;18,78;33,257
2150;2021-01-02 10:00:00;41,67;18,03;33,711
2150;2021-01-02 12:00:00;41,64;17,73;33,794
2150;2021-01-02 14:00:00;41,63;17,4;33,837
2150;2021-01-02 16:00:00;39,66;16,55;33,833
2150;2021-01-02 18:00:00;39,14;16,09;33,94
2150;2021-01-02 20:00:00;39,52;16,02;33,752
2150;2021-01-02 22:00:00;39,72;16,01;33,647
2150;2021-01-03 00:00:00;39,54;15,76;33,259
2150;2021-01-03 02:00:00;39,32;15,61;33,294
2150;2021-01-03 04:00:00;39,14;15,63;33,328
2150;2021-01-03 06:00:00;39,03;15,52;33,366
2150;2021-01-03 08:00:00;38,79;15,33;33,655
2150;2021-01-03 10:00:00;38,57;15,16;34,199
2150;2021-01-03 12:00:00;38,12;14,63;33,874
2150;2021-01-03 14:00:00;37,89;14,62;33,935
2150;2021-01-03 16:00:00;37,75;14,4;34,068
2150;2021-01-03 18:00:00;37,63;14,31;34,257
2150;2021-01-03 20:00:00;37,54;14,15;33,847
2150;2021-01-03 22:00:00;37,48;14,05;33,688
2150;2021-01-04 00:00:00;37,38;13,99;33,4
2150;2021-01-04 02:00:00;37,29;13,91;33,239
2150;2021-01-04 04:00:00;37,21;13,76;33,13
2150;2021-01-04 06:00:00;37,13;13,63;33,27
2150;2021-01-04 08:00:00;37,04;13,59;33,453
2150;2021-01-04 10:00:00;36,96;13,6;34,045
2150;2021-01-04 12:00:00;36,93;13,4;34,166
2150;2021-01-04 14:00:00;36,92;13,34;33,665
2150;2021-01-04 16:00:00;36,91;13,27;34,077
2150;2021-01-04 18:00:00;36,89;13,35;34,342
2150;2021-01-04 20:00:00;36,83;13,24;34,025
2150;2021-01-04 22:00:00;36,79;13,02;33,552
2150;2021-01-05 00:00:00;36,77;12,98;33,356
2150;2021-01-05 02:00:00;36,74;12,92;33,413
2150;2021-01-05 04:00:00;36,7;12,73;33,353
2150;2021-01-05 06:00:00;36,65;12,7;33,682
2150;2021-01-05 08:00:00;36,61;12,66;33,92
2150;2021-01-05 10:00:00;36,52;12,65;34,353
2150;2021-01-05 12:00:00;36,29;12,49;33,545
2150;2021-01-05 14:00:00;36,25;12,6;34,128
2150;2021-01-05 16:00:00;36,29;12,45;34,414
2150;2021-01-05 18:00:00;36,38;12,38;34,249
2150;2021-01-05 20:00:00;36,69;12,43;34,184
2150;2021-01-05 22:00:00;37,64;12,6;33,835
2150;2021-01-06 00:00:00;38,05;12,53;33,047
2150;2021-01-06 02:00:00;38,37;12,53;33,134
2150;2021-01-06 04:00:00;38,57;12,44;33,24
2150;2021-01-06 06:00:00;38,78;12,38;33,349
2150;2021-01-06 08:00:00;38,95;12,33;33,389
2150;2021-01-06 10:00:00;39,04;12,17;33,937
2150;2021-01-06 12:00:00;39,14;12,27;34,176
2150;2021-01-06 14:00:00;39,44;12,22;34,046
2150;2021-01-06 16:00:00;39,72;12,02;33,986
2150;2021-01-06 18:00:00;40,02;11,56;33,954
2150;2021-01-06 20:00:00;40,25;11,83;34,016
2150;2021-01-06 22:00:00;40,25;11,6;33,849
2150;2021-01-07 00:00:00;40,23;11,6;33,537
2150;2021-01-07 02:00:00;40,27;11,55;33,054
2150;2021-01-07 04:00:00;40,28;11,43;32,421
2150;2021-01-07 06:00:00;40,29;11,28;32,551
2150;2021-01-07 08:00:00;40,35;10,94;27,505
2150;2021-01-07 10:00:00;40,36;10,79;25,484
2150;2021-01-07 12:00:00;40,52;10,82;25,572
2150;2021-01-07 14:00:00;42,65;11,23;26,958
2150;2021-01-07 16:00:00;43,32;11,17;31,572
2150;2021-01-07 18:00:00;43,87;11,01;32,884
2150;2021-01-07 20:00:00;44,45;11,14;33,287
2150;2021-01-07 22:00:00;45,03;11,58;33,067
2150;2021-01-08 00:00:00;45,47;12;32,718
2150;2021-01-08 02:00:00;45,78;12,53;32,648
2150;2021-01-08 04:00:00;46,03;12,96;32,472
2150;2021-01-08 06:00:00;46,21;13,4;32,559
2150;2021-01-08 08:00:00;46,17;13,57;32,8
2150;2021-01-08 10:00:00;45,82;13,98;32,97
2150;2021-01-08 12:00:00;45,43;14,1;33,076
2150;2021-01-08 14:00:00;45,2;14,33;32,99
2150;2021-01-08 16:00:00;45,12;14,39;33,15
2150;2021-01-08 18:00:00;45,05;14,58;33,115
2150;2021-01-08 20:00:00;44,98;14,57;32,941
2150;2021-01-08 22:00:00;44,93;14,68;32,725
2150;2021-01-09 00:00:00;44,89;15,02;32,402
2150;2021-01-09 02:00:00;44,88;15,1;32,25
2150;2021-01-09 04:00:00;44,9;15,18;32,182
2150;2021-01-09 06:00:00;44,95;15,35;32,047
2150;2021-01-09 08:00:00;44,98;15,45;32,205
2150;2021-01-09 12:00:00;45,47;15,56;32,458
2150;2021-01-09 14:00:00;45,81;15,71;32,416
2150;2021-01-09 16:00:00;45,97;15,62;32,835
2150;2021-01-09 18:00:00;46,11;16,08;32,625
2150;2021-01-09 20:00:00;46,21;16,34;32,338
2150;2021-01-09 22:00:00;46,28;16,37;31,759
2150;2021-01-10 00:00:00;46,35;16,48;31,398
2150;2021-01-10 02:00:00;46,3;16,49;31,387
