ObjectID;DateTime;P_in;T_in;Qh
10230;2021-01-01 00:00:00;47,82;0,9;1,205
10230;2021-01-01 02:00:00;47,85;0,9;1,226
10230;2021-01-01 04:00:00;47,85;0,88;1,227
10230;2021-01-01 06:00:00;47,87;0,84;1,221
10230;2021-01-01 08:00:00;47,86;0,82;1,236
10230;2021-01-01 10:00:00;47,87;0,8;1,275
10230;2021-01-01 12:00:00;47,86;0,68;1,279
10230;2021-01-01 14:00:00;47,82;0,86;1,271
10230;2021-01-01 16:00:00;48,04;0,83;1,287
10230;2021-01-01 18:00:00;48,15;0,77;1,268
10230;2021-01-01 20:00:00;48,55;0,78;1,278
10230;2021-01-01 22:00:00;48,72;0,72;1,275
10230;2021-01-02 00:00:00;48,76;0,73;1,262
10230;2021-01-02 02:00:00;48,8;0,75;1,24
10230;2021-01-02 04:00:00;48,79;0,73;1,24
10230;2021-01-02 06:00:00;48,85;0,77;1,238
10230;2021-01-02 08:00:00;49,14;0,75;1,255
10230;2021-01-02 10:00:00;49,14;0,72;1,306
10230;2021-01-02 12:00:00;49,12;0,87;1,286
10230;2021-01-02 14:00:00;49,51;0,98;1,246
10230;2021-01-02 16:00:00;49,87;0,98;1,256
10230;2021-01-02 18:00:00;50,22;0,89;1,279
10230;2021-01-02 20:00:00;50,17;0,8;1,276
10230;2021-01-02 22:00:00;49,87;0,78;1,272
10230;2021-01-03 00:00:00;49,89;0,75;1,252
10230;2021-01-03 02:00:00;50;0,71;1,223
10230;2021-01-03 04:00:00;50,12;0,75;1,224
10230;2021-01-03 06:00:00;50,14;0,58;1,232
10230;2021-01-03 08:00:00;50,52;0,72;1,248
10230;2021-01-03 10:00:00;50,6;0,53;1,279
10230;2021-01-03 12:00:00;50,6;0,72;1,272
10230;2021-01-03 14:00:00;50,63;0,96;1,241
10230;2021-01-03 16:00:00;50,65;0,92;1,273
10230;2021-01-03 18:00:00;50,63;0,87;1,278
10230;2021-01-03 20:00:00;50,66;0,8;1,255
10230;2021-01-03 22:00:00;50,72;0,9;1,251
10230;2021-01-04 00:00:00;50,77;0,92;1,263
10230;2021-01-04 02:00:00;50,85;0,93;1,236
10230;2021-01-04 04:00:00;50,85;0,88;1,228
10230;2021-01-04 06:00:00;50,78;0,84;1,231
10230;2021-01-04 08:00:00;50,74;0,66;1,26
10230;2021-01-04 10:00:00;51,02;0,73;1,28
10230;2021-01-04 12:00:00;51,03;0,72;1,268
10230;2021-01-04 14:00:00;50,97;0,88;1,249
10230;2021-01-04 16:00:00;50,93;0,81;1,27
10230;2021-01-04 18:00:00;50,94;0,72;1,293
10230;2021-01-04 20:00:00;50,91;0,63;1,297
10230;2021-01-04 22:00:00;50,87;0,58;1,294
10230;2021-01-05 00:00:00;50,87;0,64;1,278
10230;2021-01-05 02:00:00;50,99;0,71;1,244
10230;2021-01-05 04:00:00;51,05;0,7;1,243
10230;2021-01-05 06:00:00;51,05;0,7;1,247
10230;2021-01-05 08:00:00;51,07;0,69;1,271
10230;2021-01-05 10:00:00;51,4;0,7;1,314
10230;2021-01-05 12:00:00;51,36;0,85;1,303
10230;2021-01-05 14:00:00;51,4;0,96;1,326
10230;2021-01-05 16:00:00;51,36;0,9;1,338
10230;2021-01-05 18:00:00;51,31;0,82;1,336
10230;2021-01-05 20:00:00;51,31;0,74;1,346
10230;2021-01-05 22:00:00;51,07;0,69;1,353
10230;2021-01-06 00:00:00;50,91;0,66;1,329
10230;2021-01-06 02:00:00;50,96;0,61;1,324
10230;2021-01-06 04:00:00;51,03;0,59;1,32
10230;2021-01-06 06:00:00;51,04;0,53;1,319
10230;2021-01-06 08:00:00;50,94;0,39;1,351
10230;2021-01-06 10:00:00;50,87;0,32;1,377
10230;2021-01-06 12:00:00;50,78;0,2;1,34
10230;2021-01-06 14:00:00;50,51;0,63;1,366
10230;2021-01-06 16:00:00;50,37;0,53;1,387
10230;2021-01-06 18:00:00;50,32;0,47;1,39
10230;2021-01-06 20:00:00;49,91;0,43;1,399
10230;2021-01-06 22:00:00;49,9;0,37;1,405
10230;2021-01-07 00:00:00;49,57;0,34;1,376
10230;2021-01-07 02:00:00;49,62;0,36;1,371
10230;2021-01-07 04:00:00;49,13;0,33;1,361
10230;2021-01-07 06:00:00;49,16;0,34;1,378
10230;2021-01-07 08:00:00;49,03;0,25;1,394
10230;2021-01-07 10:00:00;48,97;0,19;1,453
10230;2021-01-07 12:00:00;48,93;0,32;1,44
10230;2021-01-07 14:00:00;48,94;0,43;1,42
10230;2021-01-07 16:00:00;48,98;0,37;1,443
10230;2021-01-07 18:00:00;49,07;0,34;1,433
10230;2021-01-07 20:00:00;49,14;0,29;1,44
10230;2021-01-07 22:00:00;49,2;-0,03;1,437
10230;2021-01-08 00:00:00;49,27;-0,15;1,427
10230;2021-01-08 02:00:00;49,39;-0,34;1,396
10230;2021-01-08 04:00:00;49,44;-0,18;1,4
10230;2021-01-08 06:00:00;49,5;-0,22;1,392
10230;2021-01-08 08:00:00;49,47;-0,5;1,429
10230;2021-01-08 10:00:00;49,44;-0,58;1,448
10230;2021-01-08 12:00:00;49,46;-0,32;1,402
10230;2021-01-08 14:00:00;49,51;0,11;1,385
10230;2021-01-08 16:00:00;49,53;0,09;1,395
10230;2021-01-08 18:00:00;49,52;0,1;1,407
10230;2021-01-08 20:00:00;49,54;0,01;1,401
10230;2021-01-08 22:00:00;49,58;0,25;1,372
10230;2021-01-09 00:00:00;49,59;0,39;1,356
10230;2021-01-09 02:00:00;49,67;0,43;1,315
10230;2021-01-09 04:00:00;49,69;0,67;1,305
10230;2021-01-09 06:00:00;49,71;0,4;1,325
10230;2021-01-09 08:00:00;49,67;0,58;1,339
10230;2021-01-09 10:00:00;49,63;0,22;1,349
10230;2021-01-09 12:00:00;49,57;0,45;1,34
10230;2021-01-09 14:00:00;49,57;0,72;1,32
10230;2021-01-09 16:00:00;49,56;0,88;1,322
10230;2021-01-09 18:00:00;49,54;0,88;1,33
10230;2021-01-09 20:00:00;49,54;0,96;1,308
10230;2021-01-09 22:00:00;49,53;0,84;1,317
10230;2021-01-10 00:00:00;49,53;0,54;1,309
10230;2021-01-10 02:00:00;49,58;0,6;1,306
10230;2021-01-10 04:00:00;49,61;0,5;1,281
10230;2021-01-10 06:00:00;49,66;0,5;1,283
10230;2021-01-10 08:00:00;49,73;0,41;1,303
10230;2021-01-10 10:00:00;49,72;0,54;1,354
10230;2021-01-10 12:00:00;49;0,53;1,38
10230;2021-01-10 14:00:00;49,7;0,51;1,357
10230;2021-01-10 16:00:00;49,69;0,48;1,357
10230;2021-01-10 18:00:00;49,59;0,44;1,382
10230;2021-01-10 20:00:00;49,54;0,38;1,395
10230;2021-01-10 22:00:00;49,5;0,28;1,372
10230;2021-01-11 00:00:00;49,48;0,1;1,348
10230;2021-01-11 02:00:00;49,54;0,03;1,331
10230;2021-01-11 04:00:00;49,67;0;1,319
10230;2021-01-11 06:00:00;49,64;-0,1;1,344
10230;2021-01-11 08:00:00;49,56;-0,2;1,464
10230;2021-01-11 10:00:00;49,56;-0,1;1,502
10230;2021-01-11 12:00:00;49,54;-0,34;1,495
10230;2021-01-11 14:00:00;49,63;0,01;1,507
10230;2021-01-11 16:00:00;49,69;0,11;1,511
10230;2021-01-11 18:00:00;49,9;0,04;1,515
10230;2021-01-11 20:00:00;49,97;0,07;1,516
10230;2021-01-11 22:00:00;50,01;0,1;1,517
10230;2021-01-12 00:00:00;49,93;-0,01;1,515
10230;2021-01-12 02:00:00;49,87;-0,05;1,509
10230;2021-01-12 04:00:00;49,97;-0,26;1,506
10230;2021-01-12 06:00:00;49,95;-0,4;1,517
10230;2021-01-12 08:00:00;49,82;-0,46;1,516
10230;2021-01-12 10:00:00;50,17;-0,52;1,522
10230;2021-01-12 12:00:00;50,12;-0,51;1,521
10230;2021-01-12 14:00:00;50,1;-0,62;1,521
10230;2021-01-12 16:00:00;50,06;-0,39;1,519
10230;2021-01-12 18:00:00;50,03;-0,28;1,519
10230;2021-01-12 20:00:00;50,01;-0,75;1,52
10230;2021-01-12 22:00:00;50;-0,53;1,519
10230;2021-01-13 00:00:00;50,03;-0,36;1,519
10230;2021-01-13 02:00:00;50,13;-0,32;1,52
10230;2021-01-13 04:00:00;50,21;-0,27;1,521
10230;2021-01-13 06:00:00;50,22;-0,23;1,522
10230;2021-01-13 08:00:00;50,15;-0,24;1,52
10230;2021-01-13 10:00:00;50,26;-0,57;1,542
10230;2021-01-13 12:00:00;50,21;-0,25;1,546
10230;2021-01-13 14:00:00;50,17;0,06;1,613
10230;2021-01-13 16:00:00;49,93;-0,1;1,676
10230;2021-01-13 18:00:00;49,85;-0,18;1,693
10230;2021-01-13 20:00:00;49,76;-0,34;1,692
10230;2021-01-13 22:00:00;49,71;-0,38;1,691
10230;2021-01-14 00:00:00;49,74;-0,45;1,686
10230;2021-01-14 02:00:00;49,79;-0,56;1,694
10230;2021-01-14 04:00:00;49,9;-0,5;1,652
10230;2021-01-14 06:00:00;49,92;-0,56;1,657
10230;2021-01-14 08:00:00;49,93;-0,56;1,665
10230;2021-01-14 10:00:00;49,86;-0,53;1,693
10230;2021-01-14 12:00:00;49,84;-0,43;1,634
10230;2021-01-14 14:00:00;49,86;0,08;1,629
10230;2021-01-14 16:00:00;49,83;0,21;1,616
10230;2021-01-14 18:00:00;49,81;-0,05;1,688
10230;2021-01-14 20:00:00;49,8;-0,24;1,692
10230;2021-01-14 22:00:00;49,8;-0,31;1,693
10230;2021-01-15 00:00:00;49,87;-0,41;1,694
10230;2021-01-15 02:00:00;49,94;-0,53;1,669
10230;2021-01-15 04:00:00;49,94;-0,39;1,657
10230;2021-01-15 06:00:00;49,98;-0,16;1,665
10230;2021-01-15 08:00:00;49,98;-0,09;1,677
10230;2021-01-15 10:00:00;49,96;0,03;1,636
10230;2021-01-15 12:00:00;50,04;0,08;1,632
10230;2021-01-15 14:00:00;50,26;0,31;1,609
10230;2021-01-15 16:00:00;50,59;0,51;1,587
10230;2021-01-15 18:00:00;50,59;0,59;1,585
10230;2021-01-15 20:00:00;50,7;0,49;1,567
10230;2021-01-15 22:00:00;50,76;0,55;1,549
10230;2021-01-16 00:00:00;50,82;0,55;1,52
10230;2021-01-16 02:00:00;50,9;0,71;1,49
10230;2021-01-16 04:00:00;50,96;0,61;1,474
10230;2021-01-16 06:00:00;51;0,75;1,448
10230;2021-01-16 08:00:00;50,98;0,84;1,338
10230;2021-01-16 10:00:00;50,96;0,87;1,368
10230;2021-01-16 12:00:00;51,14;0,67;1,341
10230;2021-01-16 14:00:00;51,39;1,01;1,336
10230;2021-01-16 16:00:00;51,46;0,79;1,327
10230;2021-01-16 18:00:00;51,47;0,56;1,331
10230;2021-01-16 20:00:00;51,44;0,44;1,344
10230;2021-01-16 22:00:00;51,13;0,41;1,349
