ObjectID;DateTime;P_in;T_in;Qh
2180;2021-01-01 00:00:00;36,8;3;25,955
2180;2021-01-01 02:00:00;36,9;3;25,673
2180;2021-01-01 04:00:00;37;3;25,625
2180;2021-01-01 06:00:00;37,2;3;25,974
2180;2021-01-01 08:00:00;37,2;3;25,836
2180;2021-01-01 10:00:00;37,2;3;25,9
2180;2021-01-01 12:00:00;37,4;3;26,241
2180;2021-01-01 14:00:00;38,3;3;26,517
2180;2021-01-01 16:00:00;39;3;26,588
2180;2021-01-01 18:00:00;39,3;3;26,45
2180;2021-01-01 20:00:00;37,8;3;25,982
2180;2021-01-01 22:00:00;37,7;3;26,151
2180;2021-01-02 00:00:00;37,6;3;26,138
2180;2021-01-02 02:00:00;37,6;3;25,975
2180;2021-01-02 04:00:00;37,4;3;26,242
2180;2021-01-02 06:00:00;37,3;3;26,193
2180;2021-01-02 08:00:00;37,3;2;27,425
2180;2021-01-02 10:00:00;37,3;2;27,733
2180;2021-01-02 12:00:00;37,3;2;27,629
2180;2021-01-02 14:00:00;36,9;2;27,517
2180;2021-01-02 16:00:00;35,7;2;27,877
2180;2021-01-02 18:00:00;35,3;2;29,037
2180;2021-01-02 20:00:00;36;2;29,063
2180;2021-01-02 22:00:00;35,9;2;29,264
2180;2021-01-03 00:00:00;35,8;2;29,332
2180;2021-01-03 02:00:00;35,6;2;29,087
2180;2021-01-03 04:00:00;35,4;2;29,291
2180;2021-01-03 06:00:00;35,2;2;29,327
2180;2021-01-03 08:00:00;35,1;2;29,357
2180;2021-01-03 10:00:00;34,9;2;29,37
2180;2021-01-03 12:00:00;34,6;2;29,163
2180;2021-01-03 14:00:00;34,5;2;28,781
2180;2021-01-03 16:00:00;34,4;2;27,955
2180;2021-01-03 18:00:00;34,2;2;27,878
2180;2021-01-03 20:00:00;34,1;2;27,679
2180;2021-01-03 22:00:00;34;2;27,915
2180;2021-01-04 00:00:00;34;2;27,684
2180;2021-01-04 02:00:00;33,9;2;27,533
2180;2021-01-04 04:00:00;33,8;2;28,006
2180;2021-01-04 06:00:00;33,6;2;28,846
2180;2021-01-04 08:00:00;33,5;3;29,056
2180;2021-01-04 10:00:00;33,5;3;29,214
2180;2021-01-04 12:00:00;33,4;3;29,065
2180;2021-01-04 14:00:00;33,5;3;28,679
2180;2021-01-04 16:00:00;33,4;3;29,381
2180;2021-01-04 18:00:00;33,3;3;29,896
2180;2021-01-04 20:00:00;33,2;3;29,959
2180;2021-01-04 22:00:00;33,2;2;30,42
2180;2021-01-05 00:00:00;33,2;2;30,428
2180;2021-01-05 02:00:00;33,2;2;30,209
2180;2021-01-05 04:00:00;33,1;2;30,158
2180;2021-01-05 06:00:00;33;2;30,35
2180;2021-01-05 08:00:00;32,9;2;31,002
2180;2021-01-05 10:00:00;32,8;2;30,944
2180;2021-01-05 12:00:00;32,7;2;30,326
2180;2021-01-05 14:00:00;32,7;2;30,064
2180;2021-01-05 16:00:00;32,7;2;29,82
2180;2021-01-05 18:00:00;32,9;2;29,762
2180;2021-01-05 20:00:00;33,7;2;29,692
2180;2021-01-05 22:00:00;34,2;3;29,04
2180;2021-01-06 00:00:00;34,7;3;28,832
2180;2021-01-06 02:00:00;35;3;28,683
2180;2021-01-06 04:00:00;35,2;3;28,735
2180;2021-01-06 06:00:00;35,4;3;28,051
2180;2021-01-06 08:00:00;35,6;2;28,04
2180;2021-01-06 10:00:00;35,7;2;28,371
2180;2021-01-06 12:00:00;35,9;2;27,66
2180;2021-01-06 14:00:00;36;2;27,595
2180;2021-01-06 16:00:00;36,3;2;27,718
2180;2021-01-06 18:00:00;36,6;2;27,968
2180;2021-01-06 20:00:00;36,8;2;27,818
2180;2021-01-06 22:00:00;36,5;2;28,019
2180;2021-01-07 00:00:00;36,5;2;28,309
2180;2021-01-07 02:00:00;36,5;2;29,159
2180;2021-01-07 04:00:00;36,5;2;29,455
2180;2021-01-07 06:00:00;36,5;2;29,189
2180;2021-01-07 08:00:00;36,4;2;29,977
2180;2021-01-07 10:00:00;36,2;2;29,962
2180;2021-01-07 12:00:00;35,2;2;29,757
2180;2021-01-07 14:00:00;35,2;2;29,6
2180;2021-01-07 16:00:00;35,9;2;30,362
2180;2021-01-07 18:00:00;36,1;2;30,77
2180;2021-01-07 20:00:00;36,8;2;30,585
2180;2021-01-07 22:00:00;37,3;2;31,263
2180;2021-01-08 00:00:00;37,6;2;30,993
2180;2021-01-08 02:00:00;37,8;2;31,286
2180;2021-01-08 04:00:00;37,9;2;31,551
2180;2021-01-08 06:00:00;37,9;2;32,433
2180;2021-01-08 08:00:00;38;2;32,473
2180;2021-01-08 10:00:00;37,6;2;32,629
2180;2021-01-08 12:00:00;37,4;2;31,679
2180;2021-01-08 14:00:00;37,4;2;31,516
2180;2021-01-08 16:00:00;37,3;2;31,891
2180;2021-01-08 18:00:00;37,2;2;31,722
2180;2021-01-08 20:00:00;37,1;2;31,51
2180;2021-01-08 22:00:00;37,1;2;31,398
2180;2021-01-09 00:00:00;37,1;2;31,234
2180;2021-01-09 02:00:00;37,1;2;31,107
2180;2021-01-09 04:00:00;37,4;2;30,757
2180;2021-01-09 06:00:00;37,5;2;28,279
