ObjectID;DateTime;P_in;T_in;Qh
3300;2021-01-01 00:00:00;NULL;NULL;1,765
3300;2021-01-01 02:00:00;NULL;NULL;1,724
3300;2021-01-01 04:00:00;NULL;NULL;1,595
3300;2021-01-01 06:00:00;37;-3;1,7
3300;2021-01-01 08:00:00;NULL;NULL;1,91
3300;2021-01-01 10:00:00;NULL;NULL;1,902
3300;2021-01-01 12:00:00;37;-3;1,841
3300;2021-01-01 14:00:00;NULL;NULL;1,93
3300;2021-01-01 16:00:00;NULL;NULL;1,772
3300;2021-01-01 18:00:00;NULL;NULL;2,001
3300;2021-01-01 20:00:00;40;-5;1,86
3300;2021-01-01 22:00:00;NULL;NULL;1,82
3300;2021-01-02 00:00:00;NULL;NULL;1,853
3300;2021-01-02 02:00:00;NULL;NULL;1,704
3300;2021-01-02 04:00:00;NULL;NULL;1,813
3300;2021-01-02 06:00:00;38;-5;1,746
3300;2021-01-02 08:00:00;NULL;NULL;1,966
3300;2021-01-02 10:00:00;NULL;NULL;1,93
3300;2021-01-02 12:00:00;39;-5;1,954
3300;2021-01-02 14:00:00;NULL;NULL;2,009
3300;2021-01-02 16:00:00;NULL;NULL;1,927
3300;2021-01-02 18:00:00;NULL;NULL;1,938
3300;2021-01-02 20:00:00;36;-5;2,045
3300;2021-01-02 22:00:00;NULL;NULL;1,937
3300;2021-01-03 00:00:00;NULL;NULL;1,903
3300;2021-01-03 02:00:00;NULL;NULL;1,862
3300;2021-01-03 04:00:00;NULL;NULL;1,769
3300;2021-01-03 06:00:00;36,5;-7;1,95
3300;2021-01-03 08:00:00;NULL;NULL;2,043
3300;2021-01-03 10:00:00;NULL;NULL;2,129
3300;2021-01-03 12:00:00;36;-5;2,053
3300;2021-01-03 14:00:00;NULL;NULL;1,894
3300;2021-01-03 16:00:00;NULL;NULL;1,949
3300;2021-01-03 18:00:00;NULL;NULL;2,087
3300;2021-01-03 20:00:00;36;-5;2,028
3300;2021-01-03 22:00:00;NULL;NULL;2,004
3300;2021-01-04 00:00:00;NULL;NULL;1,875
3300;2021-01-04 02:00:00;NULL;NULL;1,821
3300;2021-01-04 04:00:00;NULL;NULL;1,812
3300;2021-01-04 06:00:00;34;-5;1,916
3300;2021-01-04 08:00:00;NULL;NULL;2,018
3300;2021-01-04 10:00:00;NULL;NULL;2,032
3300;2021-01-04 12:00:00;34;-5;2,065
3300;2021-01-04 14:00:00;NULL;NULL;1,854
3300;2021-01-04 16:00:00;NULL;NULL;1,886
3300;2021-01-04 18:00:00;NULL;NULL;2,134
3300;2021-01-04 20:00:00;34;-5;2,093
3300;2021-01-04 22:00:00;NULL;NULL;2,061
3300;2021-01-05 00:00:00;NULL;NULL;1,987
3300;2021-01-05 02:00:00;NULL;NULL;1,867
3300;2021-01-05 04:00:00;NULL;NULL;1,894
3300;2021-01-05 06:00:00;34,5;-5;2,026
3300;2021-01-05 08:00:00;NULL;NULL;2,094
3300;2021-01-05 10:00:00;NULL;NULL;2,119
3300;2021-01-05 12:00:00;34,2;-4;2,092
3300;2021-01-05 14:00:00;NULL;NULL;2,025
3300;2021-01-05 16:00:00;NULL;NULL;2,009
3300;2021-01-05 18:00:00;NULL;NULL;2,11
3300;2021-01-05 20:00:00;34,2;-6;2,108
3300;2021-01-05 22:00:00;NULL;NULL;2,076
3300;2021-01-06 00:00:00;NULL;NULL;1,974
3300;2021-01-06 02:00:00;NULL;NULL;1,776
3300;2021-01-06 04:00:00;NULL;NULL;1,878
3300;2021-01-06 06:00:00;36;-5;1,834
3300;2021-01-06 08:00:00;NULL;NULL;1,971
3300;2021-01-06 10:00:00;NULL;NULL;1,988
3300;2021-01-06 12:00:00;37;-3;1,963
3300;2021-01-06 14:00:00;NULL;NULL;1,853
3300;2021-01-06 16:00:00;NULL;NULL;1,783
3300;2021-01-06 18:00:00;NULL;NULL;2,097
3300;2021-01-06 20:00:00;37;-5;2,123
3300;2021-01-06 22:00:00;NULL;NULL;1,931
3300;2021-01-07 00:00:00;NULL;NULL;1,888
3300;2021-01-07 02:00:00;NULL;NULL;1,854
3300;2021-01-07 04:00:00;NULL;NULL;1,855
3300;2021-01-07 06:00:00;37,8;-6;1,95
3300;2021-01-07 08:00:00;NULL;NULL;1,972
3300;2021-01-07 10:00:00;NULL;NULL;2,141
3300;2021-01-07 12:00:00;37,5;-5;2,117
3300;2021-01-07 14:00:00;NULL;NULL;2,082
3300;2021-01-07 16:00:00;NULL;NULL;2,082
3300;2021-01-07 18:00:00;NULL;NULL;2,249
3300;2021-01-07 20:00:00;36,5;-7;2,227
3300;2021-01-07 22:00:00;NULL;NULL;2,193
3300;2021-01-08 00:00:00;NULL;NULL;2,119
3300;2021-01-08 02:00:00;NULL;NULL;1,96
3300;2021-01-08 04:00:00;NULL;NULL;1,978
3300;2021-01-08 06:00:00;38;-7;2,081
3300;2021-01-08 08:00:00;NULL;NULL;2,215
3300;2021-01-08 10:00:00;NULL;NULL;2,32
3300;2021-01-08 12:00:00;37;-5;2,13
3300;2021-01-08 14:00:00;NULL;NULL;2,116
3300;2021-01-08 16:00:00;NULL;NULL;2,139
3300;2021-01-08 18:00:00;NULL;NULL;2,207
3300;2021-01-08 20:00:00;37;-6;2,202
3300;2021-01-08 22:00:00;NULL;NULL;2,145
3300;2021-01-09 00:00:00;NULL;NULL;2,068
3300;2021-01-09 02:00:00;NULL;NULL;2,031
3300;2021-01-09 04:00:00;NULL;NULL;1,987
3300;2021-01-09 06:00:00;37,5;-5;1,95
3300;2021-01-09 08:00:00;NULL;NULL;1,984
3300;2021-01-09 10:00:00;NULL;NULL;2,096
3300;2021-01-09 12:00:00;37,5;-5;2,072
3300;2021-01-09 14:00:00;NULL;NULL;2,015
3300;2021-01-09 16:00:00;NULL;NULL;2,014
3300;2021-01-09 18:00:00;NULL;NULL;1,983
3300;2021-01-09 20:00:00;38,2;-4;2,007
3300;2021-01-09 22:00:00;NULL;NULL;1,938
3300;2021-01-10 00:00:00;NULL;NULL;1,767
3300;2021-01-10 02:00:00;NULL;NULL;1,754
3300;2021-01-10 04:00:00;NULL;NULL;1,806
3300;2021-01-10 06:00:00;38;-4;1,801
3300;2021-01-10 08:00:00;NULL;NULL;1,842
3300;2021-01-10 10:00:00;NULL;NULL;1,919
3300;2021-01-10 12:00:00;38;-3;1,853
3300;2021-01-10 14:00:00;NULL;NULL;1,781
3300;2021-01-10 16:00:00;NULL;NULL;1,789
3300;2021-01-10 18:00:00;NULL;NULL;1,958
3300;2021-01-10 20:00:00;38;-3;1,917
3300;2021-01-10 22:00:00;NULL;NULL;1,851
3300;2021-01-11 00:00:00;NULL;NULL;1,751
3300;2021-01-11 02:00:00;NULL;NULL;1,67
3300;2021-01-11 04:00:00;NULL;NULL;1,663
3300;2021-01-11 06:00:00;38,2;-2;1,644
3300;2021-01-11 08:00:00;NULL;NULL;1,662
3300;2021-01-11 10:00:00;NULL;NULL;1,802
3300;2021-01-11 12:00:00;38,2;-1;1,789
3300;2021-01-11 14:00:00;NULL;NULL;1,576
3300;2021-01-11 16:00:00;NULL;NULL;1,947
3300;2021-01-11 18:00:00;NULL;NULL;2,03
3300;2021-01-11 20:00:00;36,5;-5;2,267
3300;2021-01-11 22:00:00;NULL;NULL;2,351
3300;2021-01-12 00:00:00;NULL;NULL;2,174
3300;2021-01-12 02:00:00;NULL;NULL;2,173
3300;2021-01-12 04:00:00;NULL;NULL;2,177
3300;2021-01-12 06:00:00;36;-8;2,177
3300;2021-01-12 08:00:00;NULL;NULL;2,385
3300;2021-01-12 10:00:00;NULL;NULL;2,334
3300;2021-01-12 12:00:00;36;-6;2,294
3300;2021-01-12 14:00:00;NULL;NULL;2,243
3300;2021-01-12 16:00:00;NULL;NULL;2,214
3300;2021-01-12 18:00:00;NULL;NULL;2,414
3300;2021-01-12 20:00:00;36;-6;2,542
3300;2021-01-12 22:00:00;NULL;NULL;2,43
3300;2021-01-13 00:00:00;NULL;NULL;2,436
3300;2021-01-13 02:00:00;NULL;NULL;2,296
3300;2021-01-13 04:00:00;NULL;NULL;2,315
3300;2021-01-13 06:00:00;36;-7;2,355
3300;2021-01-13 08:00:00;NULL;NULL;2,454
3300;2021-01-13 10:00:00;NULL;NULL;2,345
3300;2021-01-13 12:00:00;36;-6;2,203
3300;2021-01-13 14:00:00;NULL;NULL;2,344
3300;2021-01-13 16:00:00;NULL;NULL;2,412
3300;2021-01-13 18:00:00;NULL;NULL;2,679
3300;2021-01-13 20:00:00;36;-8;2,43
3300;2021-01-13 22:00:00;NULL;NULL;2,608
3300;2021-01-14 00:00:00;NULL;NULL;2,49
3300;2021-01-14 02:00:00;NULL;NULL;2,506
3300;2021-01-14 04:00:00;NULL;NULL;2,47
3300;2021-01-14 06:00:00;36;-9;2,538
3300;2021-01-14 08:00:00;NULL;NULL;2,685
3300;2021-01-14 10:00:00;NULL;NULL;2,75
3300;2021-01-14 12:00:00;33;-9;2,629
3300;2021-01-14 14:00:00;NULL;NULL;2,649
3300;2021-01-14 16:00:00;NULL;NULL;2,723
3300;2021-01-14 18:00:00;NULL;NULL;2,763
3300;2021-01-14 20:00:00;33;-9;2,73
3300;2021-01-14 22:00:00;NULL;NULL;2,66
3300;2021-01-15 00:00:00;NULL;NULL;2,585
3300;2021-01-15 02:00:00;NULL;NULL;2,459
3300;2021-01-15 04:00:00;NULL;NULL;2,441
3300;2021-01-15 06:00:00;35;-6;2,418
3300;2021-01-15 08:00:00;NULL;NULL;2,524
3300;2021-01-15 10:00:00;NULL;NULL;2,539
3300;2021-01-15 12:00:00;35,2;-6;2,495
3300;2021-01-15 14:00:00;NULL;NULL;2,431
3300;2021-01-15 16:00:00;NULL;NULL;2,35
3300;2021-01-15 18:00:00;NULL;NULL;2,505
3300;2021-01-15 20:00:00;35,8;-5;2,411
3300;2021-01-15 22:00:00;NULL;NULL;2,378
3300;2021-01-16 00:00:00;NULL;NULL;2,25
3300;2021-01-16 02:00:00;NULL;NULL;2,119
3300;2021-01-16 04:00:00;NULL;NULL;2,092
3300;2021-01-16 06:00:00;36;-4;2,15
3300;2021-01-16 08:00:00;NULL;NULL;2,233
3300;2021-01-16 10:00:00;NULL;NULL;2,25
3300;2021-01-16 12:00:00;36;-3;2,161
3300;2021-01-16 14:00:00;NULL;NULL;2,203
3300;2021-01-16 16:00:00;NULL;NULL;2,164
3300;2021-01-16 18:00:00;NULL;NULL;2,282
3300;2021-01-16 20:00:00;36;-5;2,346
3300;2021-01-16 22:00:00;NULL;NULL;2,294
3300;2021-01-17 00:00:00;NULL;NULL;2,19
3300;2021-01-17 02:00:00;NULL;NULL;2,094
3300;2021-01-17 04:00:00;NULL;NULL;2,095
3300;2021-01-17 06:00:00;36,5;-5;2,207
3300;2021-01-17 08:00:00;NULL;NULL;2,309
3300;2021-01-17 10:00:00;NULL;NULL;2,346
3300;2021-01-17 12:00:00;36,5;-5;2,362
3300;2021-01-17 14:00:00;NULL;NULL;2,339
3300;2021-01-17 16:00:00;NULL;NULL;2,29
3300;2021-01-17 18:00:00;NULL;NULL;2,406
3300;2021-01-17 20:00:00;36,5;-6;2,431
3300;2021-01-17 22:00:00;NULL;NULL;2,389
3300;2021-01-18 00:00:00;NULL;NULL;2,336
3300;2021-01-18 02:00:00;NULL;NULL;2,225
3300;2021-01-18 04:00:00;NULL;NULL;2,206
3300;2021-01-18 06:00:00;35;-6;2,225
3300;2021-01-18 08:00:00;NULL;NULL;2,349
3300;2021-01-18 10:00:00;NULL;NULL;2,271
3300;2021-01-18 12:00:00;35;-5;2,293
3300;2021-01-18 14:00:00;NULL;NULL;2,258
3300;2021-01-18 16:00:00;NULL;NULL;2,275
3300;2021-01-18 18:00:00;NULL;NULL;2,505
3300;2021-01-18 20:00:00;34;-7;2,516
3300;2021-01-18 22:00:00;NULL;NULL;2,447
3300;2021-01-19 00:00:00;NULL;NULL;2,395
3300;2021-01-19 02:00:00;NULL;NULL;2,343
3300;2021-01-19 04:00:00;NULL;NULL;2,349
3300;2021-01-19 06:00:00;36,2;-7;2,383
3300;2021-01-19 08:00:00;NULL;NULL;2,484
3300;2021-01-19 10:00:00;NULL;NULL;2,436
3300;2021-01-19 12:00:00;36,5;-7;2,393
3300;2021-01-19 14:00:00;NULL;NULL;2,391
3300;2021-01-19 16:00:00;NULL;NULL;2,114
3300;2021-01-19 18:00:00;NULL;NULL;2,113
3300;2021-01-19 20:00:00;36,5;-6;2,122
3300;2021-01-19 22:00:00;NULL;NULL;2,277
3300;2021-01-20 00:00:00;NULL;NULL;2,261
3300;2021-01-20 02:00:00;NULL;NULL;2,154
3300;2021-01-20 04:00:00;NULL;NULL;2,222
3300;2021-01-20 06:00:00;36;-6;2,195
3300;2021-01-20 08:00:00;NULL;NULL;2,062
3300;2021-01-20 10:00:00;NULL;NULL;2,075
3300;2021-01-20 12:00:00;36;-6;2,054
3300;2021-01-20 14:00:00;NULL;NULL;2,102
3300;2021-01-20 16:00:00;NULL;NULL;2,366
3300;2021-01-20 18:00:00;NULL;NULL;2,368
3300;2021-01-20 20:00:00;36;-9;2,502
3300;2021-01-20 22:00:00;NULL;NULL;2,465
3300;2021-01-21 00:00:00;NULL;NULL;2,366
3300;2021-01-21 02:00:00;NULL;NULL;2,315
3300;2021-01-21 04:00:00;NULL;NULL;2,319
3300;2021-01-21 06:00:00;36,5;-8;2,333
3300;2021-01-21 08:00:00;NULL;NULL;2,504
3300;2021-01-21 10:00:00;NULL;NULL;2,549
3300;2021-01-21 12:00:00;36,5;-8;2,436
3300;2021-01-21 14:00:00;NULL;NULL;2,39
3300;2021-01-21 16:00:00;NULL;NULL;2,412
3300;2021-01-21 18:00:00;NULL;NULL;2,597
3300;2021-01-21 20:00:00;36,5;-8;2,706
3300;2021-01-21 22:00:00;NULL;NULL;2,596
3300;2021-01-22 00:00:00;NULL;NULL;2,486
3300;2021-01-22 02:00:00;NULL;NULL;2,406
3300;2021-01-22 04:00:00;NULL;NULL;2,339
3300;2021-01-22 06:00:00;35;-9;2,438
3300;2021-01-22 08:00:00;NULL;NULL;2,586
3300;2021-01-22 10:00:00;NULL;NULL;2,395
3300;2021-01-22 12:00:00;35;-8;2,551
3300;2021-01-22 14:00:00;NULL;NULL;2,443
3300;2021-01-22 16:00:00;NULL;NULL;2,305
3300;2021-01-22 18:00:00;NULL;NULL;2,389
3300;2021-01-22 20:00:00;38;-8;2,285
3300;2021-01-22 22:00:00;NULL;NULL;2,293
3300;2021-01-23 00:00:00;NULL;NULL;2,299
3300;2021-01-23 02:00:00;NULL;NULL;2,266
3300;2021-01-23 04:00:00;NULL;NULL;2,333
3300;2021-01-23 06:00:00;36,5;-8;2,38
3300;2021-01-23 08:00:00;NULL;NULL;2,433
3300;2021-01-23 10:00:00;NULL;NULL;2,501
3300;2021-01-23 12:00:00;36,5;-8;2,55
3300;2021-01-23 14:00:00;NULL;NULL;2,552
3300;2021-01-23 16:00:00;NULL;NULL;2,568
3300;2021-01-23 18:00:00;NULL;NULL;2,622
3300;2021-01-23 20:00:00;36;-8;2,652
3300;2021-01-23 22:00:00;NULL;NULL;2,579
3300;2021-01-24 00:00:00;NULL;NULL;2,405
3300;2021-01-24 02:00:00;NULL;NULL;2,374
3300;2021-01-24 04:00:00;NULL;NULL;2,37
3300;2021-01-24 06:00:00;36;-6;2,217
3300;2021-01-24 08:00:00;NULL;NULL;2,467
3300;2021-01-24 10:00:00;NULL;NULL;2,464
3300;2021-01-24 12:00:00;35;-4;2,32
3300;2021-01-24 14:00:00;NULL;NULL;2,158
3300;2021-01-24 16:00:00;NULL;NULL;2,259
3300;2021-01-24 18:00:00;NULL;NULL;2,292
3300;2021-01-24 20:00:00;36;-2;2,294
3300;2021-01-24 22:00:00;NULL;NULL;2,164
3300;2021-01-25 00:00:00;NULL;NULL;1,987
3300;2021-01-25 02:00:00;NULL;NULL;1,938
3300;2021-01-25 04:00:00;NULL;NULL;1,904
3300;2021-01-25 06:00:00;37;-3;2,031
3300;2021-01-25 08:00:00;NULL;NULL;2,009
3300;2021-01-25 10:00:00;NULL;NULL;2,19
3300;2021-01-25 12:00:00;37,8;-2;1,968
3300;2021-01-25 14:00:00;NULL;NULL;1,915
3300;2021-01-25 16:00:00;NULL;NULL;1,971
3300;2021-01-25 18:00:00;NULL;NULL;2,006
3300;2021-01-25 20:00:00;36,5;-2;2,092
3300;2021-01-25 22:00:00;NULL;NULL;2,026
3300;2021-01-26 00:00:00;NULL;NULL;1,99
3300;2021-01-26 02:00:00;NULL;NULL;1,857
3300;2021-01-26 04:00:00;NULL;NULL;1,97
3300;2021-01-26 06:00:00;34;-3;1,901
3300;2021-01-26 08:00:00;NULL;NULL;0,078
3300;2021-01-26 10:00:00;NULL;NULL;1,851
3300;2021-01-26 12:00:00;34;-1;1,625
3300;2021-01-26 14:00:00;NULL;NULL;1,596
3300;2021-01-26 16:00:00;NULL;NULL;1,72
3300;2021-01-26 18:00:00;NULL;NULL;1,944
3300;2021-01-26 20:00:00;34;-2;2,006
3300;2021-01-26 22:00:00;NULL;NULL;1,986
3300;2021-01-27 00:00:00;NULL;NULL;1,94
3300;2021-01-27 02:00:00;NULL;NULL;1,89
3300;2021-01-27 04:00:00;NULL;NULL;1,966
3300;2021-01-27 06:00:00;34,5;-4;2,067
3300;2021-01-27 08:00:00;NULL;NULL;2,18
3300;2021-01-27 10:00:00;NULL;NULL;1,988
3300;2021-01-27 12:00:00;34,5;-3;1,764
3300;2021-01-27 14:00:00;NULL;NULL;1,784
3300;2021-01-27 16:00:00;NULL;NULL;1,747
3300;2021-01-27 18:00:00;NULL;NULL;2,178
3300;2021-01-27 20:00:00;34,5;-4;2,092
3300;2021-01-27 22:00:00;NULL;NULL;2,018
3300;2021-01-28 00:00:00;NULL;NULL;2,075
3300;2021-01-28 02:00:00;NULL;NULL;1,899
3300;2021-01-28 04:00:00;NULL;NULL;1,886
3300;2021-01-28 06:00:00;35;-5;1,958
3300;2021-01-28 08:00:00;NULL;NULL;2,236
3300;2021-01-28 10:00:00;NULL;NULL;2,007
3300;2021-01-28 12:00:00;35;-3;1,886
3300;2021-01-28 14:00:00;NULL;NULL;1,85
3300;2021-01-28 16:00:00;NULL;NULL;2,117
3300;2021-01-28 18:00:00;NULL;NULL;2,206
3300;2021-01-28 20:00:00;37;-5;2,36
3300;2021-01-28 22:00:00;NULL;NULL;1,963
3300;2021-01-29 00:00:00;NULL;NULL;2,019
3300;2021-01-29 02:00:00;NULL;NULL;2,032
3300;2021-01-29 04:00:00;NULL;NULL;2,111
3300;2021-01-29 06:00:00;38,5;-6;2,26
3300;2021-01-29 08:00:00;NULL;NULL;2,425
3300;2021-01-29 10:00:00;NULL;NULL;2,305
3300;2021-01-29 12:00:00;38,5;-3;2,114
3300;2021-01-29 14:00:00;NULL;NULL;2,223
3300;2021-01-29 16:00:00;NULL;NULL;2,252
3300;2021-01-29 18:00:00;NULL;NULL;2,339
3300;2021-01-29 20:00:00;38;-6;2,319
3300;2021-01-29 22:00:00;NULL;NULL;2,215
3300;2021-01-30 00:00:00;NULL;NULL;2,013
3300;2021-01-30 02:00:00;NULL;NULL;1,643
3300;2021-01-30 04:00:00;NULL;NULL;1,595
3300;2021-01-30 06:00:00;37;-3;1,651
3300;2021-01-30 08:00:00;NULL;NULL;1,973
3300;2021-01-30 10:00:00;NULL;NULL;1,901
3300;2021-01-30 12:00:00;38;-3;1,98
3300;2021-01-30 14:00:00;NULL;NULL;1,898
3300;2021-01-30 16:00:00;NULL;NULL;1,799
3300;2021-01-30 18:00:00;NULL;NULL;1,926
3300;2021-01-30 20:00:00;38;-3;1,823
3300;2021-01-30 22:00:00;NULL;NULL;1,919
3300;2021-01-31 00:00:00;NULL;NULL;1,647
3300;2021-01-31 02:00:00;NULL;NULL;1,565
3300;2021-01-31 04:00:00;NULL;NULL;1,857
3300;2021-01-31 06:00:00;38,2;-3;1,651
3300;2021-01-31 08:00:00;NULL;NULL;1,908
3300;2021-01-31 10:00:00;NULL;NULL;1,703
3300;2021-01-31 12:00:00;38,2;-3;1,618
3300;2021-01-31 14:00:00;NULL;NULL;1,674
3300;2021-01-31 16:00:00;NULL;NULL;1,919
3300;2021-01-31 18:00:00;NULL;NULL;2,006
3300;2021-01-31 20:00:00;38,2;-3;1,767
3300;2021-01-31 22:00:00;NULL;NULL;1,69
3300;2021-02-01 00:00:00;NULL;NULL;1,741
3300;2021-02-01 02:00:00;NULL;NULL;1,462
3300;2021-02-01 04:00:00;NULL;NULL;1,612
3300;2021-02-01 06:00:00;38;-4;1,804
3300;2021-02-01 08:00:00;NULL;NULL;2,036
3300;2021-02-01 10:00:00;NULL;NULL;2,078
3300;2021-02-01 12:00:00;38;-3;2,065
3300;2021-02-01 14:00:00;NULL;NULL;1,826
3300;2021-02-01 16:00:00;NULL;NULL;1,94
3300;2021-02-01 18:00:00;NULL;NULL;1,934
3300;2021-02-01 20:00:00;38;-4;2,123
3300;2021-02-01 22:00:00;NULL;NULL;1,951
3300;2021-02-02 00:00:00;NULL;NULL;1,893
