ObjectID;DateTime;P_in;T_in;Qh
3210;2021-01-01 00:00:00;49,47;5,82;0,363
3210;2021-01-01 02:00:00;49,61;6,02;0,315
3210;2021-01-01 04:00:00;49,74;6,04;0,334
3210;2021-01-01 06:00:00;49,85;6,03;0,329
3210;2021-01-01 08:00:00;49,95;5,59;0,351
3210;2021-01-01 10:00:00;50,03;5,15;0,383
3210;2021-01-01 12:00:00;50,08;5,15;0,385
3210;2021-01-01 14:00:00;50,49;5,64;0,361
3210;2021-01-01 16:00:00;49,34;5,39;0,375
3210;2021-01-01 18:00:00;47,38;4,97;0,423
3210;2021-01-01 20:00:00;43,84;4,8;0,415
3210;2021-01-01 22:00:00;43,48;4,87;0,393
3210;2021-01-02 00:00:00;43,39;5,11;0,35
3210;2021-01-02 02:00:00;43,35;5,36;0,332
3210;2021-01-02 04:00:00;43,35;5,36;0,329
3210;2021-01-02 06:00:00;43,33;5,17;0,345
3210;2021-01-02 08:00:00;43,31;4,9;0,39
3210;2021-01-02 10:00:00;43,27;4,53;0,43
3210;2021-01-02 12:00:00;43,24;4,48;0,392
3210;2021-01-02 14:00:00;42,93;4,68;0,369
3210;2021-01-02 16:00:00;40,54;4,62;0,384
3210;2021-01-02 18:00:00;40,14;4,28;0,445
3210;2021-01-02 20:00:00;40,4;4,09;0,447
3210;2021-01-02 22:00:00;40,59;3,7;0,387
3210;2021-01-03 00:00:00;40,37;3,77;0,364
3210;2021-01-03 02:00:00;40,13;3,75;0,363
3210;2021-01-03 04:00:00;39,96;3,79;0,344
3210;2021-01-03 06:00:00;39,74;3,73;0,36
3210;2021-01-03 08:00:00;39,54;3,78;0,423
3210;2021-01-03 10:00:00;39,19;3,87;0,461
3210;2021-01-03 12:00:00;38,71;4,29;0,427
3210;2021-01-03 14:00:00;38,48;4,85;0,404
3210;2021-01-03 16:00:00;38,35;4,91;0,397
3210;2021-01-03 18:00:00;38,23;4,63;0,463
3210;2021-01-03 20:00:00;38,14;4,3;0,443
3210;2021-01-03 22:00:00;38,08;4,23;0,415
3210;2021-01-04 00:00:00;37,97;4,34;0,369
3210;2021-01-04 02:00:00;37,88;4,33;0,344
3210;2021-01-04 04:00:00;37,8;4,28;0,335
3210;2021-01-04 06:00:00;37,72;4,31;0,361
3210;2021-01-04 08:00:00;37,63;4,18;0,422
3210;2021-01-04 10:00:00;37,57;4,17;0,448
3210;2021-01-04 12:00:00;37,54;4,7;0,388
3210;2021-01-04 14:00:00;37,55;5,56;0,376
3210;2021-01-04 16:00:00;37,55;5,35;0,382
3210;2021-01-04 18:00:00;37,52;3,76;0,447
3210;2021-01-04 20:00:00;37,45;3,15;0,454
3210;2021-01-04 22:00:00;37,41;3,22;0,413
3210;2021-01-05 00:00:00;37,39;3,45;0,38
3210;2021-01-05 02:00:00;37,36;3,58;NULL
3210;2021-01-05 04:00:00;37,32;3,86;0,359
3210;2021-01-05 06:00:00;37,29;4,12;0,373
3210;2021-01-05 08:00:00;37,23;3,8;0,438
3210;2021-01-05 10:00:00;37,08;3,73;0,485
3210;2021-01-05 12:00:00;36,87;4,57;0,424
3210;2021-01-05 14:00:00;36,88;5,3;0,403
3210;2021-01-05 16:00:00;36,95;5,46;0,407
3210;2021-01-05 18:00:00;37,08;4,97;0,468
3210;2021-01-05 20:00:00;37,91;4,91;0,442
3210;2021-01-05 22:00:00;38,42;5,04;0,408
3210;2021-01-06 00:00:00;38,81;5,24;0,369
3210;2021-01-06 02:00:00;39,1;5,57;0,348
3210;2021-01-06 04:00:00;39,31;5,7;0,342
3210;2021-01-06 06:00:00;39,51;5,58;0,354
3210;2021-01-06 08:00:00;39,65;4,67;0,403
3210;2021-01-06 10:00:00;39,74;4,03;0,433
3210;2021-01-06 12:00:00;39,82;3,26;0,376
3210;2021-01-06 14:00:00;40,21;5,01;0,366
3210;2021-01-06 16:00:00;40,5;5,84;0,383
3210;2021-01-06 18:00:00;40,79;4,66;0,443
3210;2021-01-06 20:00:00;41,01;3,8;0,438
3210;2021-01-06 22:00:00;41,11;4,1;0,425
3210;2021-01-07 00:00:00;41,14;4,59;0,374
3210;2021-01-07 02:00:00;41,17;4,74;0,346
3210;2021-01-07 04:00:00;41,17;4,16;0,336
3210;2021-01-07 06:00:00;41,18;3,91;0,369
3210;2021-01-07 08:00:00;41,18;3,41;0,429
3210;2021-01-07 10:00:00;41,15;3,54;0,455
3210;2021-01-07 12:00:00;41,39;4,48;0,41
3210;2021-01-07 14:00:00;44,75;5,06;0,397
3210;2021-01-07 16:00:00;45,61;4,9;0,387
3210;2021-01-07 18:00:00;46,31;3,84;0,463
3210;2021-01-07 20:00:00;46,85;3,06;0,458
3210;2021-01-07 22:00:00;47,44;3,08;0,432
3210;2021-01-08 00:00:00;47,87;3,01;0,375
3210;2021-01-08 02:00:00;48,21;3,04;0,387
3210;2021-01-08 04:00:00;48,46;3,18;0,367
3210;2021-01-08 06:00:00;48,63;2,84;0,375
3210;2021-01-08 08:00:00;48,43;2,94;0,467
3210;2021-01-08 10:00:00;48,12;3,25;0,493
3210;2021-01-08 12:00:00;47,78;3,51;0,445
3210;2021-01-08 14:00:00;47,56;4,21;0,414
3210;2021-01-08 16:00:00;47,48;4,23;0,428
3210;2021-01-08 18:00:00;47,38;3,95;0,488
3210;2021-01-08 20:00:00;47,31;3,86;0,488
3210;2021-01-08 22:00:00;47,25;3,75;0,432
3210;2021-01-09 00:00:00;47,21;3,78;0,394
3210;2021-01-09 02:00:00;47,21;4,1;0,368
3210;2021-01-09 04:00:00;47,22;4,15;0,363
3210;2021-01-09 06:00:00;47,27;4,66;0,366
3210;2021-01-09 10:00:00;47,48;4,29;0,477
3210;2021-01-09 12:00:00;47,71;4,46;0,417
