ObjectID;DateTime;P_in;T_in;Qh
3260;2021-01-01 00:00:00;49,5;2;NULL
3260;2021-01-01 02:00:00;49,5;2;NULL
3260;2021-01-01 04:00:00;49,5;2;NULL
3260;2021-01-01 06:00:00;50,1;2;7,08
3260;2021-01-01 08:00:00;50,1;2;NULL
3260;2021-01-01 10:00:00;50,3;2;7,407
3260;2021-01-01 12:00:00;50,3;2;7,401
3260;2021-01-01 14:00:00;51;2;7,357
3260;2021-01-01 16:00:00;51;2;NULL
3260;2021-01-01 18:00:00;44,3;1;7,405
3260;2021-01-02 06:00:00;43,5;2;7,257
3260;2021-01-02 08:00:00;43,5;2;NULL
3260;2021-01-02 10:00:00;43,5;2;7,519
3260;2021-01-02 12:00:00;43,5;2;7,311
3260;2021-01-02 14:00:00;41,5;1;7,301
3260;2021-01-02 16:00:00;41,5;1;NULL
3260;2021-01-02 18:00:00;40,2;2;7,41
3260;2021-01-02 20:00:00;40,2;2;NULL
3260;2021-01-02 22:00:00;40,2;2;NULL
3260;2021-01-03 00:00:00;40,2;2;NULL
3260;2021-01-03 04:00:00;40,2;2;NULL
3260;2021-01-03 06:00:00;39,8;2;7,522
3260;2021-01-03 08:00:00;39,8;2;NULL
3260;2021-01-03 10:00:00;39,1;2;7,644
3260;2021-01-03 12:00:00;39,1;2;7,395
3260;2021-01-03 14:00:00;38,6;2;7,552
3260;2021-01-03 16:00:00;38,6;2;NULL
3260;2021-01-03 18:00:00;38,3;2;7,531
3260;2021-01-03 20:00:00;38,3;2;NULL
3260;2021-01-03 22:00:00;38,3;2;NULL
3260;2021-01-04 00:00:00;38,3;2;NULL
3260;2021-01-04 02:00:00;38,3;2;NULL
3260;2021-01-04 04:00:00;38,3;2;NULL
3260;2021-01-04 06:00:00;37,8;2;7,408
3260;2021-01-04 10:00:00;37,2;2;7,631
3260;2021-01-04 12:00:00;NULL;NULL;7,471
3260;2021-01-04 14:00:00;37,7;2;7,172
3260;2021-01-04 18:00:00;37,6;2;7,702
3260;2021-01-04 20:00:00;37,6;2;NULL
3260;2021-01-04 22:00:00;37,6;2;NULL
3260;2021-01-05 00:00:00;37,6;2;NULL
3260;2021-01-05 02:00:00;37,6;2;NULL
3260;2021-01-05 04:00:00;37,6;2;NULL
3260;2021-01-05 06:00:00;37,4;2;7,599
3260;2021-01-05 08:00:00;37,4;2;NULL
3260;2021-01-05 10:00:00;37;2;7,989
3260;2021-01-05 12:00:00;37;2;7,587
3260;2021-01-05 14:00:00;37;2;7,717
3260;2021-01-05 16:00:00;37;2;NULL
3260;2021-01-05 18:00:00;37,5;2;7,985
3260;2021-01-05 20:00:00;37,5;2;NULL
3260;2021-01-06 06:00:00;39,7;2;7,511
3260;2021-01-06 08:00:00;39,7;2;NULL
3260;2021-01-06 10:00:00;39,9;2;7,642
3260;2021-01-06 12:00:00;NULL;NULL;7,65
3260;2021-01-06 14:00:00;40,4;2;7,427
3260;2021-01-06 18:00:00;41;2;7,615
3260;2021-01-06 20:00:00;41;2;NULL
3260;2021-01-06 22:00:00;41;2;NULL
3260;2021-01-07 00:00:00;41;2;NULL
3260;2021-01-07 02:00:00;41;2;NULL
3260;2021-01-07 04:00:00;41;2;NULL
3260;2021-01-07 06:00:00;41,3;2;7,615
3260;2021-01-07 08:00:00;41,3;2;NULL
3260;2021-01-07 10:00:00;41,2;1;7,95
3260;2021-01-07 12:00:00;41,2;1;7,539
3260;2021-01-07 14:00:00;45,1;2;7,752
3260;2021-01-07 16:00:00;45,1;2;NULL
3260;2021-01-07 18:00:00;46,7;2;8,038
3260;2021-01-07 22:00:00;46,7;2;NULL
3260;2021-01-08 06:00:00;48,9;2;8,056
3260;2021-01-08 10:00:00;48,2;1;8,443
3260;2021-01-08 12:00:00;48,2;1;8,052
3260;2021-01-08 14:00:00;47,7;1;8,091
3260;2021-01-08 18:00:00;47,6;1;8,394
3260;2021-01-08 20:00:00;47,6;1;NULL
3260;2021-01-08 22:00:00;47,6;1;NULL
3260;2021-01-09 00:00:00;47,6;1;NULL
3260;2021-01-09 02:00:00;47,6;1;NULL
3260;2021-01-09 04:00:00;47,6;1;NULL
3260;2021-01-09 06:00:00;47,5;1;7,861
3260;2021-01-09 08:00:00;47,5;1;NULL
3260;2021-01-09 10:00:00;47,8;1;8,079
3260;2021-01-09 12:00:00;NULL;NULL;8,036
3260;2021-01-09 14:00:00;48,3;2;7,848
3260;2021-01-09 16:00:00;48,3;2;NULL
3260;2021-01-09 18:00:00;48,6;2;7,83
3260;2021-01-10 06:00:00;48,3;1;7,257
3260;2021-01-10 10:00:00;48,2;1;7,361
3260;2021-01-10 12:00:00;NULL;NULL;7,437
3260;2021-01-10 14:00:00;48,3;1;7,132
3260;2021-01-10 18:00:00;48,2;1;7,056
3260;2021-01-10 20:00:00;48,2;1;NULL
3260;2021-01-10 22:00:00;48,2;1;NULL
3260;2021-01-11 00:00:00;48,2;1;NULL
3260;2021-01-11 02:00:00;48,2;1;NULL
3260;2021-01-11 04:00:00;48,2;1;NULL
3260;2021-01-11 06:00:00;49;1;6,618
3260;2021-01-11 08:00:00;49;1;NULL
3260;2021-01-11 10:00:00;49,2;1;6,618
3260;2021-01-11 12:00:00;49,2;1;6,863
3260;2021-01-11 14:00:00;51;2;6,963
3260;2021-01-11 18:00:00;51,3;1;7,538
3260;2021-01-11 22:00:00;51,3;1;NULL
3260;2021-01-12 06:00:00;51,1;1;7,537
3260;2021-01-12 08:00:00;51,1;1;NULL
3260;2021-01-12 10:00:00;50,9;1;7,885
3260;2021-01-12 12:00:00;50,9;1;7,427
3260;2021-01-12 14:00:00;51,4;1;7,489
3260;2021-01-12 18:00:00;51,3;1;8,096
3260;2021-01-12 22:00:00;51,3;1;NULL
3260;2021-01-13 00:00:00;51,3;1;NULL
3260;2021-01-13 06:00:00;50,7;1;1,385
3260;2021-01-13 08:00:00;50,7;1;NULL
3260;2021-01-13 10:00:00;50,7;1;8,671
3260;2021-01-13 12:00:00;50,7;1;8,11
3260;2021-01-13 14:00:00;50,9;1;8,138
3260;2021-01-13 16:00:00;50,9;1;NULL
3260;2021-01-13 18:00:00;50,8;1;8,894
3260;2021-01-13 20:00:00;50,8;1;NULL
3260;2021-01-14 06:00:00;50,6;1;8,767
3260;2021-01-14 08:00:00;50,6;1;NULL
3260;2021-01-14 10:00:00;50,4;1;8,925
3260;2021-01-14 12:00:00;50,4;1;8,634
3260;2021-01-14 14:00:00;50,4;1;8,801
3260;2021-01-14 16:00:00;50,4;1;NULL
3260;2021-01-14 18:00:00;50,4;1;9,151
3260;2021-01-14 20:00:00;50,4;1;NULL
3260;2021-01-14 22:00:00;50,4;1;NULL
3260;2021-01-15 00:00:00;50,4;1;NULL
3260;2021-01-15 02:00:00;50,4;1;NULL
3260;2021-01-15 04:00:00;50,4;1;NULL
3260;2021-01-15 06:00:00;50,9;1;8,43
3260;2021-01-15 08:00:00;50,9;1;NULL
3260;2021-01-15 10:00:00;51,1;1;8,468
3260;2021-01-15 12:00:00;51,1;1;8,799
3260;2021-01-15 14:00:00;51,2;1;7,757
3260;2021-01-15 18:00:00;51,4;1;8,278
3260;2021-01-15 20:00:00;51,4;1;NULL
3260;2021-01-15 22:00:00;51,4;1;NULL
3260;2021-01-16 00:00:00;51,4;1;NULL
3260;2021-01-16 02:00:00;51,4;1;NULL
3260;2021-01-16 04:00:00;51,4;1;NULL
3260;2021-01-16 06:00:00;51,1;1;7,66
3260;2021-01-16 08:00:00;51,1;1;NULL
3260;2021-01-16 10:00:00;51,2;1;7,482
3260;2021-01-16 12:00:00;51,2;1;7,864
3260;2021-01-16 14:00:00;51,2;1;7,258
3260;2021-01-16 18:00:00;50,6;1;7,601
3260;2021-01-16 20:00:00;50,6;1;NULL
3260;2021-01-16 22:00:00;50,6;1;NULL
3260;2021-01-17 00:00:00;50,6;1;NULL
3260;2021-01-17 02:00:00;50,6;1;NULL
3260;2021-01-17 04:00:00;50,6;1;NULL
3260;2021-01-17 06:00:00;36,1;1;7,517
3260;2021-01-17 08:00:00;36,1;1;NULL
3260;2021-01-17 10:00:00;46;1;7,756
3260;2021-01-17 12:00:00;46;1;7,401
3260;2021-01-17 14:00:00;46,2;1;7,517
3260;2021-01-17 16:00:00;46,2;1;NULL
3260;2021-01-17 18:00:00;46,2;1;7,517
3260;2021-01-17 20:00:00;46,2;1;NULL
3260;2021-01-18 06:00:00;45,1;1;7,733
3260;2021-01-18 08:00:00;45,1;1;NULL
3260;2021-01-18 10:00:00;45,2;1;8,122
3260;2021-01-18 12:00:00;45,2;1;7,658
3260;2021-01-18 14:00:00;47,7;1;7,723
3260;2021-01-18 16:00:00;47,7;1;NULL
3260;2021-01-18 18:00:00;49,5;1;8,038
