ObjectID;DateTime;P_in;T_in;Qh
3090;2021-01-01 00:00:00;38,49;NULL;10,038
3090;2021-01-01 02:00:00;38,6;NULL;10,216
3090;2021-01-01 04:00:00;38,67;NULL;9,953
3090;2021-01-01 06:00:00;38,74;2;10,171
3090;2021-01-01 08:00:00;38,7;NULL;10,192
3090;2021-01-01 10:00:00;38,84;NULL;9,979
3090;2021-01-01 12:00:00;38,85;2;9,866
3090;2021-01-01 14:00:00;39,1;NULL;10,06
3090;2021-01-01 16:00:00;40,87;NULL;10,198
3090;2021-01-01 18:00:00;42,81;NULL;10,34
3090;2021-01-01 20:00:00;44,07;3;10,351
3090;2021-01-01 22:00:00;43,78;NULL;10,168
3090;2021-01-02 00:00:00;43,73;NULL;9,728
3090;2021-01-02 02:00:00;43,67;NULL;10,491
3090;2021-01-02 04:00:00;43,66;NULL;10,496
3090;2021-01-02 06:00:00;43,66;2;10,047
3090;2021-01-02 08:00:00;43,63;NULL;10,608
3090;2021-01-02 10:00:00;43,59;NULL;11,152
3090;2021-01-02 12:00:00;43,56;2;10,93
3090;2021-01-02 14:00:00;42,64;NULL;10,842
3090;2021-01-02 16:00:00;40,69;NULL;11,085
3090;2021-01-02 18:00:00;40,39;NULL;10,899
3090;2021-01-02 20:00:00;40,74;2;11,156
3090;2021-01-02 22:00:00;40,83;NULL;10,73
3090;2021-01-03 00:00:00;40,57;NULL;10,859
3090;2021-01-03 02:00:00;40,35;NULL;11,041
3090;2021-01-03 04:00:00;40,16;NULL;10,771
3090;2021-01-03 06:00:00;39,96;2;10,668
3090;2021-01-03 08:00:00;39,74;NULL;10,82
3090;2021-01-03 10:00:00;39,29;NULL;11,489
3090;2021-01-03 12:00:00;38,87;2;11,905
3090;2021-01-03 14:00:00;38,66;NULL;12,345
3090;2021-01-03 16:00:00;38,53;NULL;12,328
3090;2021-01-03 18:00:00;38,48;NULL;12,384
3090;2021-01-03 20:00:00;38,34;2;12,369
3090;2021-01-03 22:00:00;38,28;NULL;11,587
3090;2021-01-04 00:00:00;38,16;NULL;10,803
3090;2021-01-04 02:00:00;38,12;NULL;10,881
3090;2021-01-04 04:00:00;38;NULL;10,937
3090;2021-01-04 06:00:00;37,92;2;10,928
3090;2021-01-04 08:00:00;37,84;NULL;11,204
3090;2021-01-04 10:00:00;37,79;NULL;10,846
3090;2021-01-04 12:00:00;37,77;2;10,527
3090;2021-01-04 14:00:00;37,76;NULL;11,052
3090;2021-01-04 16:00:00;37,76;NULL;11,541
3090;2021-01-04 18:00:00;37,75;NULL;11,126
3090;2021-01-04 20:00:00;37,66;2;11,579
3090;2021-01-04 22:00:00;37,63;NULL;11,394
3090;2021-01-05 00:00:00;37,6;NULL;11,619
3090;2021-01-05 02:00:00;37,58;NULL;11,973
3090;2021-01-05 04:00:00;37,52;NULL;11,901
3090;2021-01-05 06:00:00;37,51;2;11,872
3090;2021-01-05 08:00:00;37,44;NULL;11,909
3090;2021-01-05 10:00:00;37,49;NULL;11,666
3090;2021-01-05 12:00:00;37,49;2;11,889
3090;2021-01-05 14:00:00;37,51;NULL;12,016
3090;2021-01-05 16:00:00;37,61;NULL;12,224
3090;2021-01-05 18:00:00;37,94;NULL;12,121
3090;2021-01-05 20:00:00;38,77;2;12,191
3090;2021-01-05 22:00:00;39,24;NULL;11,517
3090;2021-01-06 00:00:00;39,59;NULL;11,039
3090;2021-01-06 02:00:00;39,86;NULL;11,129
3090;2021-01-06 04:00:00;40,06;NULL;10,782
3090;2021-01-06 06:00:00;40,26;2;10,521
3090;2021-01-06 08:00:00;40,33;NULL;10,604
3090;2021-01-06 10:00:00;40,47;NULL;10,991
3090;2021-01-06 12:00:00;40,57;2;10,114
3090;2021-01-06 14:00:00;40,51;NULL;10,533
3090;2021-01-06 16:00:00;40,8;NULL;11,142
3090;2021-01-06 18:00:00;41,08;NULL;11,723
3090;2021-01-06 20:00:00;41,3;2;11,678
3090;2021-01-06 22:00:00;41,38;NULL;11,397
3090;2021-01-07 00:00:00;41,4;NULL;11,439
3090;2021-01-07 02:00:00;41,43;NULL;11,273
3090;2021-01-07 04:00:00;41,43;NULL;11,232
3090;2021-01-07 06:00:00;41,44;2;11,516
3090;2021-01-07 08:00:00;41,45;NULL;11,482
3090;2021-01-07 10:00:00;41,42;NULL;11,397
3090;2021-01-07 12:00:00;40,61;2;10,705
3090;2021-01-07 14:00:00;37,32;NULL;11,817
3090;2021-01-07 16:00:00;38,42;NULL;11,844
3090;2021-01-07 18:00:00;38,99;NULL;11,929
3090;2021-01-07 20:00:00;39,32;2;11,238
3090;2021-01-07 22:00:00;39,6;NULL;11,137
3090;2021-01-08 00:00:00;39,8;NULL;10,766
3090;2021-01-08 02:00:00;39,97;NULL;10,94
3090;2021-01-08 04:00:00;40,09;NULL;10,531
3090;2021-01-08 06:00:00;40,14;2;11,013
3090;2021-01-08 08:00:00;40,33;NULL;11,132
3090;2021-01-08 10:00:00;40,28;NULL;11,309
3090;2021-01-08 12:00:00;40,17;2;10,925
3090;2021-01-08 14:00:00;40,09;NULL;10,927
3090;2021-01-08 16:00:00;40,03;NULL;11,419
3090;2021-01-08 18:00:00;39,96;NULL;11,522
3090;2021-01-08 20:00:00;39,9;2;11,602
3090;2021-01-08 22:00:00;39,87;NULL;11,201
3090;2021-01-09 00:00:00;39,88;NULL;10,385
3090;2021-01-09 02:00:00;39,89;NULL;10,215
3090;2021-01-09 04:00:00;39,93;NULL;9,564
3090;2021-01-09 06:00:00;39,96;2;9,301
3090;2021-01-09 08:00:00;39,99;NULL;9,651
3090;2021-01-09 10:00:00;40,03;NULL;10,313
3090;2021-01-09 12:00:00;40,09;2;9,913
3090;2021-01-09 14:00:00;40,2;NULL;9,607
3090;2021-01-09 16:00:00;40,3;NULL;9,785
3090;2021-01-09 18:00:00;40,38;NULL;10,283
3090;2021-01-09 20:00:00;40,44;2;10,373
3090;2021-01-09 22:00:00;40,52;NULL;9,662
3090;2021-01-10 00:00:00;40,59;NULL;9,51
3090;2021-01-10 02:00:00;40,62;NULL;8,646
3090;2021-01-10 04:00:00;40,52;NULL;8,694
3090;2021-01-10 06:00:00;40,47;2;8,932
3090;2021-01-10 08:00:00;40,45;NULL;9,025
3090;2021-01-10 10:00:00;40,43;NULL;9,115
3090;2021-01-10 12:00:00;40,44;2;9,286
3090;2021-01-10 14:00:00;40,46;NULL;9,463
3090;2021-01-10 16:00:00;40,49;NULL;9,254
3090;2021-01-10 18:00:00;40,48;NULL;10,044
3090;2021-01-10 20:00:00;40,47;2;9,79
3090;2021-01-10 22:00:00;40,23;NULL;9,221
3090;2021-01-11 00:00:00;40,2;NULL;9,509
3090;2021-01-11 02:00:00;40,22;NULL;9,263
3090;2021-01-11 04:00:00;40,27;NULL;9,281
3090;2021-01-11 06:00:00;40,33;2;9,278
3090;2021-01-11 08:00:00;40,37;NULL;9,043
3090;2021-01-11 10:00:00;40,42;NULL;8,998
3090;2021-01-11 12:00:00;40,47;2;9,02
3090;2021-01-11 14:00:00;39,69;NULL;8,912
3090;2021-01-11 16:00:00;38,6;NULL;9,366
3090;2021-01-11 18:00:00;37,59;NULL;10,122
3090;2021-01-11 20:00:00;37,36;2;10,015
3090;2021-01-11 22:00:00;37,18;NULL;11,786
3090;2021-01-12 00:00:00;37,98;NULL;11,74
3090;2021-01-12 02:00:00;38,03;NULL;11,498
3090;2021-01-12 04:00:00;37,98;NULL;11,339
3090;2021-01-12 06:00:00;37,93;1;11,591
3090;2021-01-12 08:00:00;37,89;NULL;12,076
3090;2021-01-12 10:00:00;37,9;NULL;12,157
3090;2021-01-12 12:00:00;37,53;1;10,98
3090;2021-01-12 14:00:00;37,46;NULL;11,884
3090;2021-01-12 16:00:00;37,48;NULL;12,12
3090;2021-01-12 18:00:00;37,49;NULL;12,657
3090;2021-01-12 20:00:00;37,66;1;12,583
3090;2021-01-12 22:00:00;37,5;NULL;12,418
3090;2021-01-13 00:00:00;37,45;NULL;12,162
3090;2021-01-13 02:00:00;37,41;NULL;11,964
3090;2021-01-13 04:00:00;37,4;NULL;10,513
3090;2021-01-13 06:00:00;37,31;2;11,362
3090;2021-01-13 08:00:00;37,34;NULL;11,786
3090;2021-01-13 10:00:00;37,35;NULL;11,539
3090;2021-01-13 12:00:00;37,34;2;10,835
3090;2021-01-13 14:00:00;37,2;NULL;12,701
3090;2021-01-13 16:00:00;37,17;NULL;13,676
3090;2021-01-13 18:00:00;37,11;NULL;13,685
3090;2021-01-13 20:00:00;37,06;2;13,358
3090;2021-01-13 22:00:00;36,93;NULL;13,434
3090;2021-01-14 00:00:00;36,75;NULL;13,33
3090;2021-01-14 02:00:00;36,73;NULL;12,804
3090;2021-01-14 04:00:00;36,69;NULL;12,762
3090;2021-01-14 06:00:00;36,66;1;12,976
3090;2021-01-14 08:00:00;36,62;NULL;12,588
3090;2021-01-14 10:00:00;36,53;NULL;12,66
3090;2021-01-14 12:00:00;36,43;1;13,63
3090;2021-01-14 14:00:00;36,3;NULL;13,652
3090;2021-01-14 16:00:00;36,32;NULL;13,706
3090;2021-01-14 18:00:00;36,35;NULL;13,714
3090;2021-01-14 20:00:00;36,4;1;13,1
3090;2021-01-14 22:00:00;36,47;NULL;12,969
