ObjectID;DateTime;P_in;T_in;Qh
3080;2021-01-01 00:00:00;NULL;NULL;0,178
3080;2021-01-01 02:00:00;NULL;NULL;0,167
3080;2021-01-01 04:00:00;NULL;NULL;0,162
3080;2021-01-01 06:00:00;42;0;0,166
3080;2021-01-01 08:00:00;NULL;NULL;0,174
3080;2021-01-01 10:00:00;NULL;NULL;0,177
3080;2021-01-01 12:00:00;42;0;0,18
3080;2021-01-01 14:00:00;NULL;NULL;0,178
3080;2021-01-01 16:00:00;NULL;NULL;0,177
3080;2021-01-01 18:00:00;NULL;NULL;0,179
3080;2021-01-01 20:00:00;43;0;0,175
3080;2021-01-01 22:00:00;NULL;NULL;0,176
3080;2021-01-02 00:00:00;NULL;NULL;0,169
3080;2021-01-02 02:00:00;NULL;NULL;0,163
3080;2021-01-02 04:00:00;NULL;NULL;0,165
3080;2021-01-02 06:00:00;46;0;0,164
3080;2021-01-02 08:00:00;NULL;NULL;0,201
3080;2021-01-02 10:00:00;NULL;NULL;0,186
3080;2021-01-02 12:00:00;45;0;0,184
3080;2021-01-02 14:00:00;NULL;NULL;0,185
3080;2021-01-02 16:00:00;NULL;NULL;0,179
3080;2021-01-02 18:00:00;NULL;NULL;0,199
3080;2021-01-02 20:00:00;42;0;0,192
3080;2021-01-02 22:00:00;NULL;NULL;0,191
3080;2021-01-03 00:00:00;NULL;NULL;0,172
3080;2021-01-03 02:00:00;NULL;NULL;0,166
3080;2021-01-03 04:00:00;NULL;NULL;0,167
3080;2021-01-03 06:00:00;41;-2;0,174
3080;2021-01-03 08:00:00;NULL;NULL;0,189
3080;2021-01-03 10:00:00;NULL;NULL;0,196
3080;2021-01-03 12:00:00;40;-2;0,196
3080;2021-01-03 14:00:00;NULL;NULL;0,182
3080;2021-01-03 16:00:00;NULL;NULL;0,19
3080;2021-01-03 18:00:00;NULL;NULL;0,203
3080;2021-01-03 20:00:00;40;-2;0,199
3080;2021-01-03 22:00:00;NULL;NULL;0,187
3080;2021-01-04 00:00:00;NULL;NULL;0,169
3080;2021-01-04 02:00:00;NULL;NULL;0,169
3080;2021-01-04 04:00:00;NULL;NULL;0,165
3080;2021-01-04 06:00:00;39;-1;0,175
3080;2021-01-04 08:00:00;NULL;NULL;0,188
3080;2021-01-04 10:00:00;NULL;NULL;0,199
3080;2021-01-04 12:00:00;39;2;0,183
3080;2021-01-04 14:00:00;NULL;NULL;0,171
3080;2021-01-04 16:00:00;NULL;NULL;0,169
3080;2021-01-04 18:00:00;NULL;NULL;0,194
3080;2021-01-04 20:00:00;39;-2;0,216
3080;2021-01-04 22:00:00;NULL;NULL;0,194
3080;2021-01-05 00:00:00;NULL;NULL;0,177
3080;2021-01-05 02:00:00;NULL;NULL;0,173
3080;2021-01-05 04:00:00;NULL;NULL;0,174
3080;2021-01-05 06:00:00;39;-4;0,184
3080;2021-01-05 08:00:00;NULL;NULL;0,198
3080;2021-01-05 10:00:00;NULL;NULL;0,209
3080;2021-01-05 12:00:00;39;0;0,196
3080;2021-01-05 14:00:00;NULL;NULL;0,191
3080;2021-01-05 16:00:00;NULL;NULL;0,183
3080;2021-01-05 18:00:00;NULL;NULL;0,195
3080;2021-01-05 20:00:00;40;-1;0,211
3080;2021-01-05 22:00:00;NULL;NULL;0,196
3080;2021-01-06 00:00:00;NULL;NULL;0,182
3080;2021-01-06 02:00:00;NULL;NULL;0,173
3080;2021-01-06 04:00:00;NULL;NULL;0,171
3080;2021-01-06 06:00:00;42;-2;0,179
3080;2021-01-06 08:00:00;NULL;NULL;0,179
3080;2021-01-06 10:00:00;NULL;NULL;0,194
3080;2021-01-06 12:00:00;42;1;0,187
3080;2021-01-06 14:00:00;NULL;NULL;0,179
3080;2021-01-06 16:00:00;NULL;NULL;0,177
3080;2021-01-06 18:00:00;NULL;NULL;0,19
3080;2021-01-06 20:00:00;42,5;0;0,201
3080;2021-01-06 22:00:00;NULL;NULL;0,189
3080;2021-01-07 00:00:00;NULL;NULL;0,178
3080;2021-01-07 02:00:00;NULL;NULL;0,175
3080;2021-01-07 04:00:00;NULL;NULL;0,175
3080;2021-01-07 06:00:00;43;-5;0,177
3080;2021-01-07 08:00:00;NULL;NULL;0,189
3080;2021-01-07 10:00:00;NULL;NULL;0,204
3080;2021-01-07 12:00:00;43;-4;0,194
3080;2021-01-07 14:00:00;NULL;NULL;0,183
3080;2021-01-07 16:00:00;NULL;NULL;0,181
3080;2021-01-07 18:00:00;NULL;NULL;0,198
3080;2021-01-07 20:00:00;42;-5;0,205
3080;2021-01-07 22:00:00;NULL;NULL;0,194
3080;2021-01-08 00:00:00;NULL;NULL;0,186
3080;2021-01-08 02:00:00;NULL;NULL;0,184
3080;2021-01-08 04:00:00;NULL;NULL;0,188
3080;2021-01-08 06:00:00;42;-5;0,185
3080;2021-01-08 08:00:00;NULL;NULL;0,192
3080;2021-01-08 10:00:00;NULL;NULL;0,205
3080;2021-01-08 12:00:00;42,5;-2;0,202
3080;2021-01-08 14:00:00;NULL;NULL;0,197
3080;2021-01-08 16:00:00;NULL;NULL;0,184
3080;2021-01-08 18:00:00;NULL;NULL;0,2
3080;2021-01-08 20:00:00;42;0;0,207
3080;2021-01-08 22:00:00;NULL;NULL;0,197
3080;2021-01-09 00:00:00;NULL;NULL;0,173
3080;2021-01-09 02:00:00;NULL;NULL;0,17
3080;2021-01-09 04:00:00;NULL;NULL;0,169
3080;2021-01-09 06:00:00;42;0;0,179
3080;2021-01-09 08:00:00;NULL;NULL;0,186
3080;2021-01-09 10:00:00;NULL;NULL;0,195
3080;2021-01-09 12:00:00;42;0;0,186
3080;2021-01-09 14:00:00;NULL;NULL;0,185
3080;2021-01-09 16:00:00;NULL;NULL;0,182
3080;2021-01-09 18:00:00;NULL;NULL;0,195
3080;2021-01-09 20:00:00;43;0;0,19
3080;2021-01-09 22:00:00;NULL;NULL;0,182
3080;2021-01-10 00:00:00;NULL;NULL;0,167
3080;2021-01-10 02:00:00;NULL;NULL;0,159
3080;2021-01-10 04:00:00;NULL;NULL;0,159
3080;2021-01-10 06:00:00;43;0;0,164
3080;2021-01-10 08:00:00;NULL;NULL;0,174
3080;2021-01-10 10:00:00;NULL;NULL;0,183
3080;2021-01-10 12:00:00;43;0;0,166
3080;2021-01-10 14:00:00;NULL;NULL;0,159
3080;2021-01-10 16:00:00;NULL;NULL;0,167
3080;2021-01-10 18:00:00;NULL;NULL;0,177
3080;2021-01-10 20:00:00;43;0;0,187
3080;2021-01-10 22:00:00;NULL;NULL;0,175
3080;2021-01-11 00:00:00;NULL;NULL;0,157
3080;2021-01-11 02:00:00;NULL;NULL;0,151
3080;2021-01-11 04:00:00;NULL;NULL;0,149
3080;2021-01-11 06:00:00;43;2;0,149
3080;2021-01-11 08:00:00;NULL;NULL;0,154
3080;2021-01-11 10:00:00;NULL;NULL;0,153
3080;2021-01-11 12:00:00;43;2;0,151
3080;2021-01-11 14:00:00;NULL;NULL;0,149
3080;2021-01-11 16:00:00;NULL;NULL;0,147
3080;2021-01-11 18:00:00;NULL;NULL;0,154
3080;2021-01-11 20:00:00;41;2;0,177
3080;2021-01-11 22:00:00;NULL;NULL;0,171
3080;2021-01-12 00:00:00;NULL;NULL;0,156
3080;2021-01-12 02:00:00;NULL;NULL;0,153
3080;2021-01-12 04:00:00;NULL;NULL;0,158
3080;2021-01-12 06:00:00;41;0;0,159
3080;2021-01-12 08:00:00;NULL;NULL;0,17
3080;2021-01-12 10:00:00;NULL;NULL;0,184
3080;2021-01-12 12:00:00;42;0;0,173
3080;2021-01-12 14:00:00;NULL;NULL;0,161
3080;2021-01-12 16:00:00;NULL;NULL;0,167
3080;2021-01-12 18:00:00;NULL;NULL;0,2
3080;2021-01-12 20:00:00;41;-4;0,203
3080;2021-01-12 22:00:00;NULL;NULL;0,192
3080;2021-01-13 00:00:00;NULL;NULL;0,182
3080;2021-01-13 02:00:00;NULL;NULL;0,181
3080;2021-01-13 04:00:00;NULL;NULL;0,18
3080;2021-01-13 06:00:00;40;-6;0,182
3080;2021-01-13 08:00:00;NULL;NULL;0,198
3080;2021-01-13 10:00:00;NULL;NULL;0,199
3080;2021-01-13 12:00:00;40;-4;0,198
3080;2021-01-13 14:00:00;NULL;NULL;0,191
3080;2021-01-13 16:00:00;NULL;NULL;0,188
3080;2021-01-13 18:00:00;NULL;NULL;0,203
3080;2021-01-13 20:00:00;40;-5;0,204
3080;2021-01-13 22:00:00;NULL;NULL;0,206
3080;2021-01-14 00:00:00;NULL;NULL;0,191
3080;2021-01-14 02:00:00;NULL;NULL;0,188
3080;2021-01-14 04:00:00;NULL;NULL;0,186
3080;2021-01-14 06:00:00;40;-5;0,197
3080;2021-01-14 08:00:00;NULL;NULL;0,205
3080;2021-01-14 10:00:00;NULL;NULL;0,205
3080;2021-01-14 12:00:00;40;-5;0,205
3080;2021-01-14 14:00:00;NULL;NULL;0,206
3080;2021-01-14 16:00:00;NULL;NULL;0,205
3080;2021-01-14 18:00:00;NULL;NULL;0,212
3080;2021-01-14 20:00:00;40;-4;0,201
3080;2021-01-14 22:00:00;NULL;NULL;0,202
3080;2021-01-15 00:00:00;NULL;NULL;0,199
3080;2021-01-15 02:00:00;NULL;NULL;0,194
3080;2021-01-15 04:00:00;NULL;NULL;0,192
3080;2021-01-15 06:00:00;40;-3;0,192
3080;2021-01-15 08:00:00;NULL;NULL;0,199
3080;2021-01-15 10:00:00;NULL;NULL;0,205
3080;2021-01-15 12:00:00;40;-2;0,192
3080;2021-01-15 14:00:00;NULL;NULL;0,186
3080;2021-01-15 16:00:00;NULL;NULL;0,185
3080;2021-01-15 18:00:00;NULL;NULL;0,198
3080;2021-01-15 20:00:00;41;0;0,201
3080;2021-01-15 22:00:00;NULL;NULL;0,198
3080;2021-01-16 00:00:00;NULL;NULL;0,183
3080;2021-01-16 02:00:00;NULL;NULL;0,17
3080;2021-01-16 04:00:00;NULL;NULL;0,165
3080;2021-01-16 06:00:00;41;0;0,166
3080;2021-01-16 08:00:00;NULL;NULL;0,177
3080;2021-01-16 10:00:00;NULL;NULL;0,181
3080;2021-01-16 12:00:00;41;1;0,167
3080;2021-01-16 14:00:00;NULL;NULL;0,177
3080;2021-01-16 16:00:00;NULL;NULL;0,168
3080;2021-01-16 18:00:00;NULL;NULL;0,188
3080;2021-01-16 20:00:00;41;0;0,191
3080;2021-01-16 22:00:00;NULL;NULL;0,184
3080;2021-01-17 00:00:00;NULL;NULL;0,173
3080;2021-01-17 02:00:00;NULL;NULL;0,165
