ObjectID;DateTime;P_in;T_in;Qh
3140;2021-01-01 00:00:00;NULL;NULL;9,15
3140;2021-01-01 02:00:00;NULL;NULL;9,15
3140;2021-01-01 04:00:00;NULL;NULL;8
3140;2021-01-01 06:00:00;40,3;12;7,6
3140;2021-01-01 08:00:00;NULL;NULL;7,9
3140;2021-01-01 10:00:00;NULL;NULL;10,323
3140;2021-01-01 12:00:00;40,4;12;9,899
3140;2021-01-01 14:00:00;NULL;NULL;9,832
3140;2021-01-01 16:00:00;NULL;NULL;9,902
3140;2021-01-01 18:00:00;NULL;NULL;10,612
3140;2021-01-01 20:00:00;44,5;12;10,284
3140;2021-01-01 22:00:00;NULL;NULL;10,2
3140;2021-01-02 00:00:00;NULL;NULL;9,644
3140;2021-01-02 02:00:00;NULL;NULL;9,527
3140;2021-01-02 04:00:00;NULL;NULL;9,477
3140;2021-01-02 06:00:00;44,2;12;9,66
3140;2021-01-02 08:00:00;NULL;NULL;9,907
3140;2021-01-02 10:00:00;NULL;NULL;10,453
3140;2021-01-02 12:00:00;44;12;10,372
3140;2021-01-02 14:00:00;NULL;NULL;9,973
3140;2021-01-02 16:00:00;NULL;NULL;10,406
3140;2021-01-02 18:00:00;NULL;NULL;11,28
3140;2021-01-02 20:00:00;40,5;12;10,932
3140;2021-01-02 22:00:00;NULL;NULL;10,794
3140;2021-01-03 00:00:00;NULL;NULL;10,005
3140;2021-01-03 02:00:00;NULL;NULL;10,243
3140;2021-01-03 04:00:00;NULL;NULL;9,947
3140;2021-01-03 06:00:00;39,8;12;10,339
3140;2021-01-03 08:00:00;NULL;NULL;10,894
3140;2021-01-03 10:00:00;NULL;NULL;11,029
3140;2021-01-03 12:00:00;NULL;12;10,848
3140;2021-01-03 14:00:00;NULL;NULL;10,672
3140;2021-01-03 16:00:00;NULL;NULL;10,944
3140;2021-01-03 18:00:00;NULL;NULL;11,36
3140;2021-01-03 20:00:00;38,2;12;11,124
3140;2021-01-03 22:00:00;NULL;NULL;10,666
3140;2021-01-04 00:00:00;NULL;NULL;10,267
3140;2021-01-04 02:00:00;NULL;NULL;10,018
3140;2021-01-04 04:00:00;NULL;NULL;9,835
3140;2021-01-04 06:00:00;37,8;12;10,044
3140;2021-01-04 08:00:00;NULL;NULL;10,106
3140;2021-01-04 10:00:00;NULL;NULL;10,864
3140;2021-01-04 12:00:00;37,6;12;10,585
3140;2021-01-04 14:00:00;NULL;NULL;10,16
3140;2021-01-04 16:00:00;NULL;NULL;10,706
3140;2021-01-04 18:00:00;NULL;NULL;11,662
3140;2021-01-04 20:00:00;37,5;12;11,45
3140;2021-01-04 22:00:00;NULL;NULL;11,088
3140;2021-01-05 00:00:00;NULL;NULL;10,799
3140;2021-01-05 02:00:00;NULL;NULL;10,657
3140;2021-01-05 04:00:00;NULL;NULL;10,461
3140;2021-01-05 06:00:00;37,2;12;10,696
3140;2021-01-05 08:00:00;NULL;NULL;11,17
3140;2021-01-05 10:00:00;NULL;NULL;11,819
3140;2021-01-05 12:00:00;37,1;12;11,562
3140;2021-01-05 14:00:00;NULL;NULL;11,264
3140;2021-01-05 16:00:00;NULL;NULL;11,198
3140;2021-01-05 18:00:00;NULL;NULL;11,596
3140;2021-01-05 20:00:00;38,1;12;11,304
3140;2021-01-05 22:00:00;NULL;NULL;10,958
3140;2021-01-06 00:00:00;NULL;NULL;10,57
3140;2021-01-06 02:00:00;NULL;NULL;10,291
3140;2021-01-06 04:00:00;NULL;NULL;9,999
3140;2021-01-06 06:00:00;40,3;12;10,001
3140;2021-01-06 08:00:00;NULL;NULL;10,688
3140;2021-01-06 10:00:00;NULL;NULL;10,969
3140;2021-01-06 12:00:00;40,5;12;10,15
3140;2021-01-06 14:00:00;NULL;NULL;10,251
3140;2021-01-06 16:00:00;NULL;NULL;10,586
3140;2021-01-06 18:00:00;NULL;NULL;11,57
3140;2021-01-06 20:00:00;41;12;11,482
3140;2021-01-06 22:00:00;NULL;NULL;11,285
3140;2021-01-07 00:00:00;NULL;NULL;11,485
3140;2021-01-07 02:00:00;NULL;NULL;10,954
3140;2021-01-07 04:00:00;NULL;NULL;11,109
3140;2021-01-07 06:00:00;41,4;12;11,218
3140;2021-01-07 08:00:00;NULL;NULL;11,916
3140;2021-01-07 10:00:00;NULL;NULL;12,05
3140;2021-01-07 12:00:00;41,3;12;11,185
3140;2021-01-07 14:00:00;NULL;NULL;11,073
3140;2021-01-07 16:00:00;NULL;NULL;10,965
3140;2021-01-07 18:00:00;NULL;NULL;11,705
3140;2021-01-07 20:00:00;39,8;12;11,665
3140;2021-01-07 22:00:00;NULL;NULL;11,942
3140;2021-01-08 00:00:00;NULL;NULL;11,309
3140;2021-01-08 02:00:00;NULL;NULL;11,026
3140;2021-01-08 04:00:00;NULL;NULL;11,127
3140;2021-01-08 06:00:00;41;12;11,422
3140;2021-01-08 08:00:00;NULL;NULL;11,866
3140;2021-01-08 10:00:00;NULL;NULL;12,293
3140;2021-01-08 12:00:00;41;12;11,8
3140;2021-01-08 14:00:00;NULL;NULL;11,193
3140;2021-01-08 16:00:00;NULL;NULL;11,479
3140;2021-01-08 18:00:00;NULL;NULL;11,477
3140;2021-01-08 20:00:00;40,8;12;11,599
3140;2021-01-08 22:00:00;NULL;NULL;11,287
3140;2021-01-09 00:00:00;NULL;NULL;10,663
3140;2021-01-09 02:00:00;NULL;NULL;10,535
3140;2021-01-09 04:00:00;NULL;NULL;10,156
3140;2021-01-09 06:00:00;40,8;12;9,927
3140;2021-01-09 08:00:00;NULL;NULL;10,442
3140;2021-01-09 10:00:00;NULL;NULL;10,684
3140;2021-01-09 12:00:00;40,9;12;10,794
3140;2021-01-09 14:00:00;NULL;NULL;10,552
3140;2021-01-09 16:00:00;NULL;NULL;10,536
3140;2021-01-09 18:00:00;NULL;NULL;10,787
3140;2021-01-09 20:00:00;41,2;12;10,415
3140;2021-01-09 22:00:00;NULL;NULL;9,992
3140;2021-01-10 00:00:00;NULL;NULL;9,57
3140;2021-01-10 02:00:00;NULL;NULL;9,163
3140;2021-01-10 04:00:00;NULL;NULL;9,29
3140;2021-01-10 06:00:00;41,5;12;9,065
3140;2021-01-10 08:00:00;NULL;NULL;9,506
3140;2021-01-10 10:00:00;NULL;NULL;8,404
3140;2021-01-10 12:00:00;41,5;12;9,698
3140;2021-01-10 14:00:00;NULL;NULL;9,801
3140;2021-01-10 16:00:00;NULL;NULL;9,68
3140;2021-01-10 18:00:00;NULL;NULL;9,997
3140;2021-01-10 20:00:00;41,6;12;9,821
3140;2021-01-10 22:00:00;NULL;NULL;9,233
3140;2021-01-11 00:00:00;NULL;NULL;8,878
3140;2021-01-11 02:00:00;NULL;NULL;8,613
3140;2021-01-11 04:00:00;NULL;NULL;8,612
3140;2021-01-11 06:00:00;41,6;12;8,642
3140;2021-01-11 08:00:00;NULL;NULL;8,706
3140;2021-01-11 10:00:00;NULL;NULL;8,783
3140;2021-01-11 12:00:00;41,7;12;8,654
3140;2021-01-11 14:00:00;NULL;NULL;8,574
3140;2021-01-11 16:00:00;NULL;NULL;8,661
3140;2021-01-11 18:00:00;NULL;NULL;9,912
3140;2021-01-11 20:00:00;39;12;10,064
3140;2021-01-11 22:00:00;NULL;NULL;10,182
3140;2021-01-12 00:00:00;NULL;NULL;9,814
3140;2021-01-12 02:00:00;NULL;NULL;9,634
3140;2021-01-12 04:00:00;NULL;NULL;9,783
3140;2021-01-12 06:00:00;39,9;12;10,192
3140;2021-01-12 08:00:00;NULL;NULL;10,489
3140;2021-01-12 10:00:00;NULL;NULL;10,689
3140;2021-01-12 12:00:00;40,3;12;10,384
3140;2021-01-12 14:00:00;NULL;NULL;10,329
3140;2021-01-12 16:00:00;NULL;NULL;10,767
3140;2021-01-12 18:00:00;NULL;NULL;11,963
3140;2021-01-12 20:00:00;39,4;12;11,975
3140;2021-01-12 22:00:00;NULL;NULL;11,807
3140;2021-01-13 00:00:00;NULL;NULL;11,327
3140;2021-01-13 02:00:00;NULL;NULL;11,102
3140;2021-01-13 04:00:00;NULL;NULL;11,256
3140;2021-01-13 06:00:00;39;12;11,714
3140;2021-01-13 08:00:00;NULL;NULL;11,974
3140;2021-01-13 10:00:00;NULL;NULL;12,395
3140;2021-01-13 12:00:00;38,9;12;11,984
3140;2021-01-13 14:00:00;NULL;NULL;11,469
3140;2021-01-13 16:00:00;NULL;NULL;11,799
3140;2021-01-13 18:00:00;NULL;NULL;12,776
3140;2021-01-13 20:00:00;38,6;12;12,666
3140;2021-01-13 22:00:00;NULL;NULL;12,431
3140;2021-01-14 00:00:00;NULL;NULL;11,825
3140;2021-01-14 02:00:00;NULL;NULL;11,558
3140;2021-01-14 04:00:00;NULL;NULL;11,568
3140;2021-01-14 06:00:00;38,3;12;11,955
3140;2021-01-14 08:00:00;NULL;NULL;12,216
3140;2021-01-14 10:00:00;NULL;NULL;12,418
3140;2021-01-14 12:00:00;38,1;12;12,355
3140;2021-01-14 14:00:00;NULL;NULL;12,326
