ObjectID;DateTime;P_in;T_in;Qh
3130;2021-01-01 00:00:00;NULL;NULL;1,262
3130;2021-01-01 02:00:00;NULL;NULL;1,182
3130;2021-01-01 04:00:00;NULL;NULL;1,16
3130;2021-01-01 06:00:00;42;-4;1,146
3130;2021-01-01 08:00:00;NULL;NULL;1,251
3130;2021-01-01 10:00:00;NULL;NULL;1,368
3130;2021-01-01 12:00:00;42;-4;1,298
3130;2021-01-01 14:00:00;NULL;NULL;1,246
3130;2021-01-01 16:00:00;NULL;NULL;1,281
3130;2021-01-01 18:00:00;NULL;NULL;1,445
3130;2021-01-01 20:00:00;45;-4;1,414
3130;2021-01-01 22:00:00;NULL;NULL;1,313
3130;2021-01-02 00:00:00;NULL;NULL;1,206
3130;2021-01-02 02:00:00;NULL;NULL;1,146
3130;2021-01-02 04:00:00;NULL;NULL;1,166
3130;2021-01-02 06:00:00;45;-4;1,242
3130;2021-01-02 08:00:00;NULL;NULL;1,354
3130;2021-01-02 10:00:00;NULL;NULL;1,405
3130;2021-01-02 12:00:00;45;-4;1,362
3130;2021-01-02 14:00:00;NULL;NULL;1,336
3130;2021-01-02 16:00:00;NULL;NULL;1,336
3130;2021-01-02 18:00:00;NULL;NULL;1,558
3130;2021-01-02 20:00:00;42;-5;1,534
3130;2021-01-02 22:00:00;NULL;NULL;1,43
3130;2021-01-03 00:00:00;NULL;NULL;1,31
3130;2021-01-03 02:00:00;NULL;NULL;1,257
3130;2021-01-03 04:00:00;NULL;NULL;1,233
3130;2021-01-03 06:00:00;41;-5;1,311
3130;2021-01-03 08:00:00;NULL;NULL;1,452
3130;2021-01-03 10:00:00;NULL;NULL;1,57
3130;2021-01-03 12:00:00;40;-4;1,477
3130;2021-01-03 14:00:00;NULL;NULL;1,435
3130;2021-01-03 16:00:00;NULL;NULL;1,468
3130;2021-01-03 18:00:00;NULL;NULL;1,579
3130;2021-01-03 20:00:00;39;-4;1,551
3130;2021-01-03 22:00:00;NULL;NULL;1,478
3130;2021-01-04 00:00:00;NULL;NULL;1,315
3130;2021-01-04 02:00:00;NULL;NULL;1,238
3130;2021-01-04 04:00:00;NULL;NULL;1,249
3130;2021-01-04 06:00:00;39;-4;1,285
3130;2021-01-04 08:00:00;NULL;NULL;1,405
3130;2021-01-04 10:00:00;NULL;NULL;1,479
3130;2021-01-04 12:00:00;39;-4;1,363
3130;2021-01-04 14:00:00;NULL;NULL;1,26
3130;2021-01-04 16:00:00;NULL;NULL;1,312
3130;2021-01-04 18:00:00;NULL;NULL;1,526
3130;2021-01-04 20:00:00;39;-4;1,503
3130;2021-01-04 22:00:00;NULL;NULL;1,459
3130;2021-01-05 00:00:00;NULL;NULL;1,35
3130;2021-01-05 02:00:00;NULL;NULL;1,273
3130;2021-01-05 04:00:00;NULL;NULL;1,273
3130;2021-01-05 06:00:00;38;-5;1,332
3130;2021-01-05 08:00:00;NULL;NULL;1,509
3130;2021-01-05 10:00:00;NULL;NULL;1,599
3130;2021-01-05 12:00:00;38;-4;1,5
3130;2021-01-05 14:00:00;NULL;NULL;1,383
3130;2021-01-05 16:00:00;NULL;NULL;1,458
3130;2021-01-05 18:00:00;NULL;NULL;1,586
3130;2021-01-05 20:00:00;39;-4;1,578
3130;2021-01-05 22:00:00;NULL;NULL;1,473
3130;2021-01-06 00:00:00;NULL;NULL;1,343
3130;2021-01-06 02:00:00;NULL;NULL;1,262
3130;2021-01-06 04:00:00;NULL;NULL;1,261
3130;2021-01-06 06:00:00;41;-4;1,33
3130;2021-01-06 08:00:00;NULL;NULL;1,451
3130;2021-01-06 10:00:00;NULL;NULL;1,53
3130;2021-01-06 12:00:00;41;-4;1,415
3130;2021-01-06 14:00:00;NULL;NULL;1,278
3130;2021-01-06 16:00:00;NULL;NULL;1,337
3130;2021-01-06 18:00:00;NULL;NULL;1,553
3130;2021-01-06 20:00:00;41;-4;1,566
3130;2021-01-06 22:00:00;NULL;NULL;1,495
3130;2021-01-07 00:00:00;NULL;NULL;1,383
3130;2021-01-07 02:00:00;NULL;NULL;1,311
3130;2021-01-07 04:00:00;NULL;NULL;1,295
3130;2021-01-07 06:00:00;42;-5;1,362
3130;2021-01-07 08:00:00;NULL;NULL;1,531
3130;2021-01-07 10:00:00;NULL;NULL;1,606
3130;2021-01-07 12:00:00;42;-4;1,437
3130;2021-01-07 14:00:00;NULL;NULL;1,449
3130;2021-01-07 16:00:00;NULL;NULL;1,446
3130;2021-01-07 18:00:00;NULL;NULL;1,643
3130;2021-01-07 20:00:00;41;-4;1,626
3130;2021-01-07 22:00:00;NULL;NULL;1,534
3130;2021-01-08 00:00:00;NULL;NULL;1,384
3130;2021-01-08 02:00:00;NULL;NULL;1,329
3130;2021-01-08 04:00:00;NULL;NULL;1,324
3130;2021-01-08 06:00:00;42;-4;1,392
3130;2021-01-08 08:00:00;NULL;NULL;1,54
3130;2021-01-08 10:00:00;NULL;NULL;1,59
3130;2021-01-08 12:00:00;42;-4;1,491
3130;2021-01-08 14:00:00;NULL;NULL;1,454
3130;2021-01-08 16:00:00;NULL;NULL;1,478
3130;2021-01-08 18:00:00;NULL;NULL;1,586
3130;2021-01-08 20:00:00;42;-4;1,604
3130;2021-01-08 22:00:00;NULL;NULL;1,446
