ObjectID;DateTime;P_in;T_in;Qh
10100;2021-01-01 00:00:00;NULL;NULL;9,033
10100;2021-01-01 02:00:00;NULL;NULL;9,075
10100;2021-01-01 04:00:00;NULL;NULL;9,039
10100;2021-01-01 06:00:00;NULL;NULL;9,016
10100;2021-01-01 08:00:00;46,3;3;9,001
10100;2021-01-01 10:00:00;NULL;NULL;9,073
10100;2021-01-01 12:00:00;46,3;3;9,169
10100;2021-01-01 14:00:00;NULL;NULL;9,332
10100;2021-01-01 16:00:00;NULL;NULL;9,41
10100;2021-01-01 18:00:00;NULL;NULL;9,441
10100;2021-01-01 20:00:00;46,8;3;9,23
10100;2021-01-01 22:00:00;NULL;NULL;9,557
10100;2021-01-02 00:00:00;NULL;NULL;9,255
10100;2021-01-02 02:00:00;NULL;NULL;8,828
10100;2021-01-02 04:00:00;NULL;NULL;9,199
10100;2021-01-02 06:00:00;NULL;NULL;9,095
10100;2021-01-02 08:00:00;48;3;9,247
10100;2021-01-02 10:00:00;NULL;NULL;9,005
10100;2021-01-02 12:00:00;49;3;9,174
10100;2021-01-02 14:00:00;NULL;NULL;8,874
10100;2021-01-02 16:00:00;NULL;NULL;9,16
10100;2021-01-02 18:00:00;NULL;NULL;9,525
10100;2021-01-02 20:00:00;49;3;9,421
10100;2021-01-02 22:00:00;NULL;NULL;9,338
10100;2021-01-03 00:00:00;NULL;NULL;9,306
10100;2021-01-03 02:00:00;NULL;NULL;8,872
10100;2021-01-03 04:00:00;NULL;NULL;8,848
10100;2021-01-03 06:00:00;NULL;NULL;9,068
10100;2021-01-03 08:00:00;49;3;9,324
10100;2021-01-03 10:00:00;NULL;NULL;9,169
10100;2021-01-03 12:00:00;49;3;9,243
10100;2021-01-03 14:00:00;NULL;NULL;9,036
10100;2021-01-03 16:00:00;NULL;NULL;9,104
10100;2021-01-03 18:00:00;NULL;NULL;8,963
10100;2021-01-03 20:00:00;49;3;9,197
10100;2021-01-03 22:00:00;NULL;NULL;9,061
10100;2021-01-04 00:00:00;NULL;NULL;9,24
10100;2021-01-04 02:00:00;NULL;NULL;8,821
10100;2021-01-04 04:00:00;NULL;NULL;9,124
10100;2021-01-04 06:00:00;NULL;NULL;9,064
10100;2021-01-04 08:00:00;49;3;9,005
10100;2021-01-04 10:00:00;NULL;NULL;9,431
10100;2021-01-04 12:00:00;49,4;3;9,102
10100;2021-01-04 14:00:00;NULL;NULL;9,366
10100;2021-01-04 16:00:00;NULL;NULL;9,614
10100;2021-01-04 18:00:00;NULL;NULL;9,56
10100;2021-01-04 20:00:00;49,4;3;9,676
10100;2021-01-04 22:00:00;NULL;NULL;9,693
10100;2021-01-05 00:00:00;NULL;NULL;9,521
10100;2021-01-05 02:00:00;NULL;NULL;9,271
10100;2021-01-05 04:00:00;NULL;NULL;9,026
10100;2021-01-05 06:00:00;NULL;NULL;9,363
10100;2021-01-05 08:00:00;49,4;3;9,115
10100;2021-01-05 10:00:00;NULL;NULL;9,471
10100;2021-01-05 12:00:00;49,4;3;9,382
10100;2021-01-05 14:00:00;NULL;NULL;9,43
10100;2021-01-05 16:00:00;NULL;NULL;9,601
10100;2021-01-05 18:00:00;NULL;NULL;9,335
10100;2021-01-05 20:00:00;49,4;3;9,648
10100;2021-01-05 22:00:00;NULL;NULL;9,551
10100;2021-01-06 00:00:00;NULL;NULL;9,506
