ObjectID;DateTime;P_in;T_in;Qh
3120;2021-01-01 00:00:00;45,29;-0,1;2,401
3120;2021-01-01 02:00:00;45,4;-0,04;2,312
3120;2021-01-01 04:00:00;45,46;-0,91;2,233
3120;2021-01-01 06:00:00;45,52;-1,02;2,361
3120;2021-01-01 08:00:00;45,57;-1,13;2,489
3120;2021-01-01 10:00:00;45,6;-0,85;2,628
3120;2021-01-01 12:00:00;45,6;0,18;2,602
3120;2021-01-01 14:00:00;45,66;0,04;2,252
3120;2021-01-01 16:00:00;45,69;-0,73;2,283
3120;2021-01-01 18:00:00;46,38;-1,22;2,834
3120;2021-01-01 20:00:00;48,25;-1,66;2,73
3120;2021-01-01 22:00:00;48,07;-1,73;2,452
3120;2021-01-02 00:00:00;48,03;-1,58;2,24
3120;2021-01-02 02:00:00;48,02;-1,9;2,148
3120;2021-01-02 04:00:00;48,02;-2,11;2,166
3120;2021-01-02 06:00:00;48;-2,42;2,369
3120;2021-01-02 08:00:00;47,98;-2,77;2,577
3120;2021-01-02 10:00:00;47,93;-2,22;2,846
3120;2021-01-02 12:00:00;47,91;-1,44;2,537
3120;2021-01-02 14:00:00;45,97;-2;2,418
3120;2021-01-02 16:00:00;43,81;-2,75;2,42
3120;2021-01-02 18:00:00;43,73;-3,08;2,934
3120;2021-01-02 20:00:00;43,96;-3,42;2,827
3120;2021-01-02 22:00:00;44;-4,36;2,519
3120;2021-01-03 00:00:00;43,64;-4,35;2,477
3120;2021-01-03 02:00:00;43,4;-4,69;2,347
3120;2021-01-03 04:00:00;43,21;-4,77;2,32
3120;2021-01-03 06:00:00;43,02;-4,89;2,438
3120;2021-01-03 08:00:00;42,66;-4,28;2,766
3120;2021-01-03 10:00:00;41,94;-2,6;3,055
3120;2021-01-03 12:00:00;41,52;-1,67;2,697
3120;2021-01-03 14:00:00;41,33;-1,17;2,457
3120;2021-01-03 16:00:00;41,22;-1,91;2,474
3120;2021-01-03 18:00:00;41,12;-1,74;2,892
3120;2021-01-03 20:00:00;41,04;-1,87;2,9
3120;2021-01-03 22:00:00;40,96;-2,15;2,508
3120;2021-01-04 00:00:00;40,78;-2,21;2,317
3120;2021-01-04 02:00:00;40,71;-2,66;2,218
3120;2021-01-04 04:00:00;40,64;-3,12;2,224
3120;2021-01-04 06:00:00;40,56;-2,86;2,415
3120;2021-01-04 08:00:00;40,49;-2,55;2,655
3120;2021-01-04 10:00:00;40,45;-1,52;2,825
3120;2021-01-04 12:00:00;40,43;-1,31;2,479
3120;2021-01-04 14:00:00;40,44;-1,1;2,225
3120;2021-01-04 16:00:00;40,45;-2,25;2,261
3120;2021-01-04 18:00:00;40,41;-1,6;2,905
3120;2021-01-04 20:00:00;40,36;-2,52;2,872
3120;2021-01-04 22:00:00;40,33;-3,84;2,502
3120;2021-01-05 00:00:00;40,3;-2,56;2,445
3120;2021-01-05 02:00:00;40,26;-2,68;2,245
3120;2021-01-05 04:00:00;40,22;-3,26;2,211
3120;2021-01-05 06:00:00;40,19;-2,62;2,599
3120;2021-01-05 08:00:00;40,13;-2,78;2,778
3120;2021-01-05 10:00:00;40,08;-1,32;3,033
