ObjectID;DateTime;P_in;T_in;Qh
3290;2021-01-01 00:00:00;NULL;NULL;4,385
3290;2021-01-01 02:00:00;NULL;NULL;4,336
3290;2021-01-01 04:00:00;NULL;NULL;4,226
3290;2021-01-01 06:00:00;48,5;0;4,173
3290;2021-01-01 08:00:00;NULL;NULL;4,326
3290;2021-01-01 10:00:00;NULL;NULL;4,383
3290;2021-01-01 12:00:00;48,5;0;4,45
3290;2021-01-01 14:00:00;NULL;NULL;4,407
3290;2021-01-01 16:00:00;NULL;NULL;4,266
3290;2021-01-01 18:00:00;49;0;4,585
3290;2021-01-01 20:00:00;NULL;NULL;4,676
3290;2021-01-01 22:00:00;NULL;NULL;4,656
3290;2021-01-02 00:00:00;NULL;NULL;4,464
3290;2021-01-02 02:00:00;NULL;NULL;4,391
3290;2021-01-02 04:00:00;NULL;NULL;4,491
3290;2021-01-02 06:00:00;49;0;4,461
3290;2021-01-02 08:00:00;NULL;NULL;4,542
3290;2021-01-02 10:00:00;NULL;NULL;4,767
3290;2021-01-02 12:00:00;49;0;4,747
3290;2021-01-02 14:00:00;NULL;NULL;4,474
3290;2021-01-02 16:00:00;NULL;NULL;4,588
3290;2021-01-02 18:00:00;43,8;0;4,914
3290;2021-01-02 20:00:00;NULL;NULL;4,988
3290;2021-01-02 22:00:00;NULL;NULL;4,711
3290;2021-01-03 00:00:00;NULL;NULL;4,475
3290;2021-01-03 02:00:00;NULL;NULL;4,458
3290;2021-01-03 04:00:00;NULL;NULL;4,463
3290;2021-01-03 06:00:00;44;0;4,615
3290;2021-01-03 08:00:00;NULL;NULL;4,795
3290;2021-01-03 10:00:00;NULL;NULL;4,947
3290;2021-01-03 12:00:00;42,2;0;4,908
3290;2021-01-03 14:00:00;NULL;NULL;4,701
3290;2021-01-03 16:00:00;NULL;NULL;4,654
3290;2021-01-03 18:00:00;42;0;4,862
3290;2021-01-03 20:00:00;NULL;NULL;4,968
3290;2021-01-03 22:00:00;NULL;NULL;4,828
3290;2021-01-04 00:00:00;NULL;NULL;4,623
3290;2021-01-04 02:00:00;NULL;NULL;4,492
3290;2021-01-04 04:00:00;NULL;NULL;4,434
3290;2021-01-04 06:00:00;41;0;4,467
3290;2021-01-04 08:00:00;NULL;NULL;4,63
3290;2021-01-04 10:00:00;NULL;NULL;4,834
3290;2021-01-04 12:00:00;41,3;0;4,835
3290;2021-01-04 14:00:00;NULL;NULL;4,62
3290;2021-01-04 16:00:00;NULL;NULL;4,588
3290;2021-01-04 18:00:00;41,3;0;4,807
3290;2021-01-04 20:00:00;NULL;NULL;4,918
3290;2021-01-04 22:00:00;NULL;NULL;4,852
3290;2021-01-05 00:00:00;NULL;NULL;4,76
3290;2021-01-05 02:00:00;NULL;NULL;4,603
3290;2021-01-05 04:00:00;NULL;NULL;4,561
3290;2021-01-05 06:00:00;41;0;4,648
3290;2021-01-05 12:00:00;NULL;NULL;5,156
3290;2021-01-05 14:00:00;NULL;NULL;4,867
3290;2021-01-05 16:00:00;NULL;NULL;4,793
3290;2021-01-05 18:00:00;42,1;0;5,016
3290;2021-01-05 20:00:00;NULL;NULL;5,053
3290;2021-01-05 22:00:00;NULL;NULL;4,908
3290;2021-01-06 00:00:00;NULL;NULL;4,731
3290;2021-01-06 02:00:00;NULL;NULL;4,617
3290;2021-01-06 04:00:00;NULL;NULL;4,567
3290;2021-01-06 06:00:00;43,1;0;4,635
3290;2021-01-06 08:00:00;NULL;NULL;4,803
3290;2021-01-06 10:00:00;NULL;NULL;5,031
3290;2021-01-06 12:00:00;43,1;0;4,985
3290;2021-01-06 14:00:00;NULL;NULL;4,802
3290;2021-01-06 16:00:00;NULL;NULL;4,637
3290;2021-01-06 18:00:00;43,5;0;4,89
3290;2021-01-06 22:00:00;NULL;NULL;4,953
3290;2021-01-07 00:00:00;NULL;NULL;4,827
3290;2021-01-07 02:00:00;NULL;NULL;4,734
3290;2021-01-07 04:00:00;NULL;NULL;4,699
3290;2021-01-07 06:00:00;46;0;4,794
3290;2021-01-07 08:00:00;NULL;NULL;4,94
3290;2021-01-07 10:00:00;NULL;NULL;5,182
3290;2021-01-07 12:00:00;46;0;5,126
3290;2021-01-07 14:00:00;NULL;NULL;4,902
3290;2021-01-07 16:00:00;NULL;NULL;4,902
3290;2021-01-07 18:00:00;47;0;5,084
3290;2021-01-07 20:00:00;NULL;NULL;5,144
3290;2021-01-07 22:00:00;NULL;NULL;5,028
3290;2021-01-08 00:00:00;NULL;NULL;4,805
3290;2021-01-08 02:00:00;NULL;NULL;4,71
3290;2021-01-08 04:00:00;NULL;NULL;4,834
3290;2021-01-08 06:00:00;47;0;4,806
3290;2021-01-08 08:00:00;NULL;NULL;4,928
3290;2021-01-08 10:00:00;NULL;NULL;5,108
3290;2021-01-08 12:00:00;47;0;4,944
3290;2021-01-08 14:00:00;NULL;NULL;4,759
3290;2021-01-08 16:00:00;NULL;NULL;4,751
3290;2021-01-08 18:00:00;47;0;4,931
3290;2021-01-08 20:00:00;NULL;NULL;5,041
3290;2021-01-08 22:00:00;NULL;NULL;4,853
3290;2021-01-09 00:00:00;NULL;NULL;4,57
3290;2021-01-09 02:00:00;NULL;NULL;4,453
3290;2021-01-09 04:00:00;NULL;NULL;4,441
3290;2021-01-09 06:00:00;48;0;4,431
3290;2021-01-09 08:00:00;NULL;NULL;4,679
3290;2021-01-09 10:00:00;NULL;NULL;4,872
3290;2021-01-09 12:00:00;48;0;4,905
3290;2021-01-09 14:00:00;NULL;NULL;4,712
3290;2021-01-09 16:00:00;NULL;NULL;4,632
3290;2021-01-09 18:00:00;48;0;4,685
3290;2021-01-09 20:00:00;NULL;NULL;4,615
3290;2021-01-09 22:00:00;NULL;NULL;4,398
3290;2021-01-10 00:00:00;NULL;NULL;4,191
3290;2021-01-10 02:00:00;NULL;NULL;4,082
3290;2021-01-10 04:00:00;NULL;NULL;4,086
3290;2021-01-10 06:00:00;47,5;0;4,162
3290;2021-01-10 08:00:00;NULL;NULL;4,418
3290;2021-01-10 10:00:00;NULL;NULL;4,479
3290;2021-01-10 12:00:00;47,5;0;4,436
3290;2021-01-10 14:00:00;NULL;NULL;4,381
3290;2021-01-10 16:00:00;NULL;NULL;4,29
3290;2021-01-10 18:00:00;47,9;0;4,35
3290;2021-01-10 20:00:00;NULL;NULL;4,355
3290;2021-01-10 22:00:00;NULL;NULL;4,228
3290;2021-01-11 00:00:00;NULL;NULL;4,019
3290;2021-01-11 02:00:00;NULL;NULL;3,855
3290;2021-01-11 04:00:00;NULL;NULL;3,833
3290;2021-01-11 06:00:00;49;0;3,86
3290;2021-01-11 08:00:00;NULL;NULL;3,965
3290;2021-01-11 10:00:00;NULL;NULL;4,015
3290;2021-01-11 12:00:00;49,5;0;3,825
3290;2021-01-11 14:00:00;NULL;NULL;3,704
3290;2021-01-11 16:00:00;NULL;NULL;3,765
3290;2021-01-11 18:00:00;47,5;0;3,902
3290;2021-01-11 20:00:00;NULL;NULL;4,111
3290;2021-01-11 22:00:00;NULL;NULL;3,99
3290;2021-01-12 00:00:00;NULL;NULL;4,055
3290;2021-01-12 02:00:00;NULL;NULL;4,023
3290;2021-01-12 04:00:00;NULL;NULL;4,033
3290;2021-01-12 06:00:00;47,5;0;4,053
3290;2021-01-12 08:00:00;NULL;NULL;4,261
3290;2021-01-12 10:00:00;NULL;NULL;4,364
3290;2021-01-12 12:00:00;47,9;0;4,317
3290;2021-01-12 14:00:00;NULL;NULL;4,27
3290;2021-01-12 16:00:00;NULL;NULL;4,358
3290;2021-01-12 18:00:00;48;0;4,807
3290;2021-01-12 20:00:00;NULL;NULL;4,91
3290;2021-01-12 22:00:00;NULL;NULL;4,843
3290;2021-01-13 00:00:00;NULL;NULL;4,647
3290;2021-01-13 02:00:00;NULL;NULL;4,611
3290;2021-01-13 04:00:00;NULL;NULL;4,634
3290;2021-01-13 06:00:00;48;0;4,684
3290;2021-01-13 08:00:00;NULL;NULL;4,985
3290;2021-01-13 10:00:00;NULL;NULL;5,115
3290;2021-01-13 12:00:00;48;0;5,169
3290;2021-01-13 14:00:00;NULL;NULL;4,84
3290;2021-01-13 16:00:00;NULL;NULL;4,857
3290;2021-01-13 18:00:00;48;0;5,186
3290;2021-01-13 20:00:00;NULL;NULL;5,4
3290;2021-01-13 22:00:00;NULL;NULL;5,178
3290;2021-01-14 00:00:00;NULL;NULL;5,092
3290;2021-01-14 02:00:00;NULL;NULL;5,121
3290;2021-01-14 04:00:00;NULL;NULL;5,102
3290;2021-01-14 06:00:00;NULL;NULL;5,099
3290;2021-01-14 08:00:00;NULL;NULL;5,383
3290;2021-01-14 10:00:00;NULL;NULL;5,469
3290;2021-01-14 12:00:00;47,8;0;5,532
3290;2021-01-14 14:00:00;NULL;NULL;5,354
3290;2021-01-14 16:00:00;NULL;NULL;5,464
3290;2021-01-14 18:00:00;47,8;0;5,69
3290;2021-01-14 20:00:00;NULL;NULL;5,826
3290;2021-01-14 22:00:00;NULL;NULL;5,688
3290;2021-01-15 00:00:00;NULL;NULL;5,368
3290;2021-01-15 02:00:00;NULL;NULL;5,236
3290;2021-01-15 04:00:00;NULL;NULL;5,146
3290;2021-01-15 06:00:00;48;0;5,175
3290;2021-01-15 08:00:00;NULL;NULL;5,242
3290;2021-01-15 10:00:00;NULL;NULL;5,181
3290;2021-01-15 12:00:00;48;0;5,181
3290;2021-01-15 14:00:00;NULL;NULL;4,872
3290;2021-01-15 16:00:00;NULL;NULL;4,756
3290;2021-01-15 18:00:00;48,1;0;4,915
3290;2021-01-15 20:00:00;NULL;NULL;4,98
3290;2021-01-15 22:00:00;NULL;NULL;4,894
3290;2021-01-16 00:00:00;NULL;NULL;4,764
3290;2021-01-16 02:00:00;NULL;NULL;4,524
3290;2021-01-16 04:00:00;NULL;NULL;4,38
3290;2021-01-16 06:00:00;47,8;0;4,374
3290;2021-01-16 08:00:00;NULL;NULL;4,373
3290;2021-01-16 10:00:00;NULL;NULL;4,421
3290;2021-01-16 12:00:00;47,8;0;4,375
3290;2021-01-16 14:00:00;NULL;NULL;4,366
3290;2021-01-16 16:00:00;NULL;NULL;4,29
3290;2021-01-16 18:00:00;48;0;4,728
3290;2021-01-16 20:00:00;NULL;NULL;4,814
3290;2021-01-16 22:00:00;NULL;NULL;4,6
3290;2021-01-17 00:00:00;NULL;NULL;4,281
3290;2021-01-17 02:00:00;NULL;NULL;4,189
3290;2021-01-17 04:00:00;NULL;NULL;4,244
3290;2021-01-17 06:00:00;NULL;NULL;4,32
3290;2021-01-17 08:00:00;NULL;NULL;4,435
3290;2021-01-17 10:00:00;NULL;NULL;4,576
3290;2021-01-17 12:00:00;48,2;0;4,703
3290;2021-01-17 14:00:00;NULL;NULL;4,509
3290;2021-01-17 16:00:00;NULL;NULL;4,393
3290;2021-01-17 18:00:00;46;0;4,63
3290;2021-01-17 20:00:00;NULL;NULL;4,783
3290;2021-01-17 22:00:00;NULL;NULL;4,697
3290;2021-01-18 00:00:00;NULL;NULL;4,546
3290;2021-01-18 02:00:00;NULL;NULL;4,494
3290;2021-01-18 04:00:00;NULL;NULL;4,433
3290;2021-01-18 06:00:00;45;0;4,479
3290;2021-01-18 08:00:00;NULL;NULL;4,674
3290;2021-01-18 10:00:00;NULL;NULL;4,858
3290;2021-01-18 12:00:00;45,2;0;4,776
3290;2021-01-18 14:00:00;NULL;NULL;4,547
3290;2021-01-18 16:00:00;NULL;NULL;4,601
3290;2021-01-18 18:00:00;46,8;0;4,787
3290;2021-01-18 20:00:00;NULL;NULL;4,987
3290;2021-01-18 22:00:00;NULL;NULL;4,895
3290;2021-01-19 00:00:00;NULL;NULL;4,623
