ObjectID;DateTime;P_in;T_in;Qh
3070;2021-01-01 00:00:00;NULL;NULL;1,327
3070;2021-01-01 02:00:00;NULL;NULL;1,316
3070;2021-01-01 04:00:00;NULL;NULL;1,262
3070;2021-01-01 06:00:00;47,3;1;1,253
3070;2021-01-01 08:00:00;NULL;NULL;1,294
3070;2021-01-01 10:00:00;NULL;NULL;1,328
3070;2021-01-01 12:00:00;47,4;1;1,345
3070;2021-01-01 14:00:00;NULL;NULL;1,295
3070;2021-01-01 16:00:00;NULL;NULL;1,288
3070;2021-01-01 18:00:00;47,5;1;1,324
3070;2021-01-01 20:00:00;NULL;NULL;1,39
3070;2021-01-01 22:00:00;NULL;NULL;1,362
3070;2021-01-02 00:00:00;NULL;NULL;1,343
3070;2021-01-02 02:00:00;NULL;NULL;1,272
3070;2021-01-02 04:00:00;NULL;NULL;1,276
3070;2021-01-02 06:00:00;48,6;1;1,281
3070;2021-01-02 08:00:00;NULL;NULL;1,301
3070;2021-01-02 10:00:00;NULL;NULL;1,39
3070;2021-01-02 12:00:00;48,5;1;1,399
3070;2021-01-02 14:00:00;NULL;NULL;1,349
3070;2021-01-02 16:00:00;NULL;NULL;1,387
3070;2021-01-02 18:00:00;44,1;2;1,444
3070;2021-01-02 20:00:00;NULL;NULL;1,452
3070;2021-01-02 22:00:00;NULL;NULL;1,394
3070;2021-01-03 00:00:00;NULL;NULL;1,374
3070;2021-01-03 02:00:00;NULL;NULL;1,338
3070;2021-01-03 04:00:00;NULL;NULL;1,337
3070;2021-01-03 06:00:00;43,1;1;1,336
3070;2021-01-03 08:00:00;NULL;NULL;1,377
3070;2021-01-03 10:00:00;NULL;NULL;1,451
3070;2021-01-03 12:00:00;41,5;1;1,436
3070;2021-01-03 14:00:00;NULL;NULL;1,391
3070;2021-01-03 16:00:00;NULL;NULL;1,396
3070;2021-01-03 18:00:00;41,1;1;1,431
3070;2021-01-03 20:00:00;NULL;NULL;1,453
3070;2021-01-03 22:00:00;NULL;NULL;1,426
3070;2021-01-04 00:00:00;NULL;NULL;1,361
3070;2021-01-04 02:00:00;NULL;NULL;1,319
3070;2021-01-04 04:00:00;NULL;NULL;1,286
3070;2021-01-04 06:00:00;40,6;1;1,288
3070;2021-01-04 08:00:00;NULL;NULL;1,356
3070;2021-01-04 10:00:00;NULL;NULL;1,425
3070;2021-01-04 12:00:00;40,4;1;1,396
3070;2021-01-04 14:00:00;NULL;NULL;1,369
3070;2021-01-04 16:00:00;NULL;NULL;1,345
3070;2021-01-04 18:00:00;40,3;1;1,404
3070;2021-01-04 20:00:00;NULL;NULL;1,441
3070;2021-01-04 22:00:00;NULL;NULL;1,408
3070;2021-01-05 00:00:00;NULL;NULL;1,365
3070;2021-01-05 02:00:00;NULL;NULL;1,325
3070;2021-01-05 04:00:00;NULL;NULL;1,324
3070;2021-01-05 06:00:00;40,2;1;1,356
3070;2021-01-05 12:00:00;NULL;NULL;1,526
3070;2021-01-05 14:00:00;NULL;NULL;2,061
3070;2021-01-05 16:00:00;NULL;NULL;1,988
3070;2021-01-05 18:00:00;41,8;1;2,036
3070;2021-01-05 20:00:00;NULL;NULL;2,061
3070;2021-01-05 22:00:00;NULL;NULL;2,031
3070;2021-01-06 00:00:00;NULL;NULL;1,94
3070;2021-01-06 02:00:00;NULL;NULL;1,901
3070;2021-01-06 04:00:00;NULL;NULL;1,904
3070;2021-01-06 06:00:00;43,3;1;1,899
3070;2021-01-06 08:00:00;NULL;NULL;1,935
3070;2021-01-06 10:00:00;NULL;NULL;1,996
3070;2021-01-06 12:00:00;43,1;1;2,021
3070;2021-01-06 14:00:00;NULL;NULL;1,974
3070;2021-01-06 16:00:00;NULL;NULL;1,93
3070;2021-01-06 18:00:00;44,3;1;2,024
3070;2021-01-06 22:00:00;NULL;NULL;2,045
3070;2021-01-07 00:00:00;NULL;NULL;1,976
3070;2021-01-07 02:00:00;NULL;NULL;1,922
3070;2021-01-07 04:00:00;NULL;NULL;1,927
3070;2021-01-07 06:00:00;44,9;1;1,924
3070;2021-01-07 08:00:00;NULL;NULL;1,977
3070;2021-01-07 10:00:00;NULL;NULL;2,067
3070;2021-01-07 12:00:00;44,8;1;2,105
3070;2021-01-07 14:00:00;NULL;NULL;2,035
3070;2021-01-07 16:00:00;NULL;NULL;1,989
3070;2021-01-07 18:00:00;46;1;2,032
3070;2021-01-07 20:00:00;NULL;NULL;2,071
3070;2021-01-07 22:00:00;NULL;NULL;2,06
3070;2021-01-08 00:00:00;NULL;NULL;2,02
3070;2021-01-08 02:00:00;NULL;NULL;1,99
3070;2021-01-08 04:00:00;NULL;NULL;1,967
3070;2021-01-08 06:00:00;46,9;1;1,956
3070;2021-01-08 08:00:00;NULL;NULL;2,007
3070;2021-01-08 10:00:00;NULL;NULL;2,037
3070;2021-01-08 12:00:00;46,8;1;2,019
3070;2021-01-08 14:00:00;NULL;NULL;1,955
3070;2021-01-08 16:00:00;NULL;NULL;1,91
3070;2021-01-08 18:00:00;46,6;1;2,006
3070;2021-01-08 20:00:00;NULL;NULL;2,047
3070;2021-01-08 22:00:00;NULL;NULL;1,956
3070;2021-01-09 00:00:00;NULL;NULL;1,928
3070;2021-01-09 02:00:00;NULL;NULL;1,903
3070;2021-01-09 06:00:00;46,6;1;NULL
3070;2021-01-09 08:00:00;NULL;NULL;1,938
3070;2021-01-09 10:00:00;NULL;NULL;1,968
3070;2021-01-09 12:00:00;NULL;NULL;1,92
3070;2021-01-09 14:00:00;NULL;NULL;1,904
3070;2021-01-09 16:00:00;NULL;NULL;1,86
3070;2021-01-09 18:00:00;46,9;1;1,87
3070;2021-01-09 20:00:00;NULL;NULL;1,909
3070;2021-01-09 22:00:00;NULL;NULL;1,858
3070;2021-01-10 00:00:00;NULL;NULL;1,799
3070;2021-01-10 02:00:00;NULL;NULL;1,724
3070;2021-01-10 04:00:00;NULL;NULL;1,738
3070;2021-01-10 06:00:00;47,1;1;1,764
3070;2021-01-10 08:00:00;NULL;NULL;1,79
3070;2021-01-10 10:00:00;NULL;NULL;1,871
3070;2021-01-10 12:00:00;47,1;1;1,822
3070;2021-01-10 14:00:00;NULL;NULL;1,825
3070;2021-01-10 16:00:00;NULL;NULL;1,794
3070;2021-01-10 18:00:00;47,2;1;1,822
3070;2021-01-10 20:00:00;NULL;NULL;1,823
3070;2021-01-10 22:00:00;NULL;NULL;1,793
3070;2021-01-11 00:00:00;NULL;NULL;1,729
3070;2021-01-11 02:00:00;NULL;NULL;1,689
3070;2021-01-11 04:00:00;NULL;NULL;1,671
3070;2021-01-11 06:00:00;47,4;1;1,195
3070;2021-01-11 08:00:00;NULL;NULL;1,234
3070;2021-01-11 10:00:00;NULL;NULL;1,226
3070;2021-01-11 12:00:00;47,5;1;1,2
3070;2021-01-11 14:00:00;NULL;NULL;1,198
3070;2021-01-11 16:00:00;NULL;NULL;1,166
3070;2021-01-11 18:00:00;45,5;1;1,273
3070;2021-01-11 20:00:00;NULL;NULL;1,868
3070;2021-01-11 22:00:00;NULL;NULL;1,876
3070;2021-01-12 00:00:00;NULL;NULL;1,902
3070;2021-01-12 02:00:00;NULL;NULL;1,895
3070;2021-01-12 04:00:00;NULL;NULL;1,921
3070;2021-01-12 06:00:00;47,3;1;1,831
3070;2021-01-12 08:00:00;NULL;NULL;1,535
3070;2021-01-12 10:00:00;NULL;NULL;1,829
3070;2021-01-12 12:00:00;47,5;1;2,083
3070;2021-01-12 14:00:00;NULL;NULL;1,55
3070;2021-01-12 16:00:00;NULL;NULL;1,55
3070;2021-01-12 18:00:00;47,1;1;1,671
3070;2021-01-12 20:00:00;NULL;NULL;2,331
3070;2021-01-12 22:00:00;NULL;NULL;2,257
3070;2021-01-13 00:00:00;NULL;NULL;2,192
3070;2021-01-13 02:00:00;NULL;NULL;2,163
3070;2021-01-13 04:00:00;NULL;NULL;2,16
3070;2021-01-13 06:00:00;46,8;1;2,152
3070;2021-01-13 08:00:00;NULL;NULL;2,26
3070;2021-01-13 10:00:00;NULL;NULL;2,312
3070;2021-01-13 12:00:00;47;1;2,337
3070;2021-01-13 14:00:00;NULL;NULL;2,327
