ObjectID;DateTime;P_in;T_in;Qh
3050;2021-01-01 00:00:00;50,53;1,35;8,379
3050;2021-01-01 02:00:00;50,65;1,36;8,522
3050;2021-01-01 04:00:00;50,7;1,37;8,044
3050;2021-01-01 06:00:00;50,73;1,36;8,416
3050;2021-01-01 08:00:00;50,78;1,36;8,426
3050;2021-01-01 10:00:00;50,79;1,36;8,49
3050;2021-01-01 12:00:00;50,8;1,36;8,368
3050;2021-01-01 14:00:00;50,79;1,37;8,243
3050;2021-01-01 16:00:00;49,35;1,21;8,224
3050;2021-01-01 18:00:00;49,8;1,32;8,785
3050;2021-01-01 20:00:00;51,15;1,36;8,618
3050;2021-01-01 22:00:00;51,12;1,33;8,429
3050;2021-01-02 00:00:00;51,11;1,34;8,304
3050;2021-01-02 02:00:00;51,15;1,34;8,002
3050;2021-01-02 04:00:00;51,15;1,33;8,063
3050;2021-01-02 06:00:00;51,12;1,3;8,429
3050;2021-01-02 08:00:00;51,09;1,3;8,609
3050;2021-01-02 10:00:00;51,01;1,27;8,903
3050;2021-01-02 12:00:00;50,9;1,22;8,718
3050;2021-01-02 14:00:00;47,58;0,92;8,293
3050;2021-01-02 16:00:00;45,66;1,07;8,86
3050;2021-01-02 18:00:00;45,9;1,16;8,743
3050;2021-01-02 20:00:00;46,05;1,17;8,885
3050;2021-01-02 22:00:00;45,93;1,15;8,804
3050;2021-01-03 00:00:00;45,47;1,17;8,654
3050;2021-01-03 02:00:00;45,29;1,17;8,345
3050;2021-01-03 04:00:00;45,07;1,19;8,194
3050;2021-01-03 06:00:00;44,89;1,2;8,264
3050;2021-01-03 08:00:00;44,31;1,11;8,994
3050;2021-01-03 10:00:00;43,29;1,06;8,82
3050;2021-01-03 12:00:00;42,96;1,13;8,642
3050;2021-01-03 14:00:00;42,8;1,16;8,605
3050;2021-01-03 16:00:00;42,71;1,19;8,633
3050;2021-01-03 18:00:00;42,58;1,17;8,96
3050;2021-01-03 20:00:00;42,51;1,17;8,944
3050;2021-01-03 22:00:00;42,44;1,19;8,624
3050;2021-01-04 00:00:00;42,26;1,21;8,433
3050;2021-01-04 02:00:00;42,19;1,21;8,369
3050;2021-01-04 04:00:00;42,15;1,22;8,309
3050;2021-01-04 06:00:00;41,9;1,23;8,289
3050;2021-01-04 08:00:00;41,98;1,21;8,422
3050;2021-01-04 10:00:00;41,91;1,19;8,805
3050;2021-01-04 12:00:00;41,9;1,15;8,805
