ObjectID;DateTime;P_in;T_in;Qh
3030;2021-01-01 00:00:00;NULL;NULL;0,687
3030;2021-01-01 02:00:00;NULL;NULL;0,66
3030;2021-01-01 04:00:00;NULL;NULL;0,659
3030;2021-01-01 06:00:00;37,8;3;0,657
3030;2021-01-01 08:00:00;NULL;NULL;0,66
3030;2021-01-01 10:00:00;NULL;NULL;0,732
3030;2021-01-01 12:00:00;37,8;3;0,606
3030;2021-01-01 14:00:00;NULL;NULL;0,851
3030;2021-01-01 16:00:00;NULL;NULL;0,656
3030;2021-01-01 18:00:00;NULL;NULL;0,627
3030;2021-01-01 20:00:00;NULL;NULL;0,886
3030;2021-01-01 22:00:00;NULL;NULL;0,815
3030;2021-01-02 00:00:00;NULL;NULL;0,666
3030;2021-01-02 02:00:00;NULL;NULL;0,55
3030;2021-01-02 04:00:00;NULL;NULL;0,745
3030;2021-01-02 06:00:00;40,5;3;0,568
3030;2021-01-02 08:00:00;NULL;NULL;0,783
3030;2021-01-02 10:00:00;NULL;NULL;0,65
3030;2021-01-02 12:00:00;40,4;2;0,76
3030;2021-01-02 14:00:00;NULL;NULL;0,962
3030;2021-01-02 16:00:00;NULL;NULL;0,844
3030;2021-01-02 18:00:00;45,4;2;0,809
3030;2021-01-02 20:00:00;NULL;NULL;0,85
3030;2021-01-02 22:00:00;NULL;NULL;0,889
3030;2021-01-03 00:00:00;NULL;NULL;0,796
3030;2021-01-03 02:00:00;NULL;NULL;0,703
3030;2021-01-03 04:00:00;NULL;NULL;0,66
3030;2021-01-03 06:00:00;44,7;1;0,611
3030;2021-01-03 08:00:00;NULL;NULL;0,592
3030;2021-01-03 10:00:00;NULL;NULL;0,711
3030;2021-01-03 12:00:00;45,4;1;0,757
3030;2021-01-03 14:00:00;NULL;NULL;0,8
3030;2021-01-03 16:00:00;NULL;NULL;0,892
3030;2021-01-03 18:00:00;45,2;2;0,976
3030;2021-01-03 20:00:00;NULL;NULL;0,915
3030;2021-01-03 22:00:00;NULL;NULL;0,784
3030;2021-01-04 00:00:00;NULL;NULL;0,592
3030;2021-01-04 02:00:00;NULL;NULL;0,523
3030;2021-01-04 04:00:00;NULL;NULL;0,546
3030;2021-01-04 06:00:00;44,4;1;0,677
3030;2021-01-04 08:00:00;NULL;NULL;0,898
3030;2021-01-04 10:00:00;NULL;NULL;0,963
3030;2021-01-04 12:00:00;44,5;2;0,732
3030;2021-01-04 14:00:00;NULL;NULL;0,569
3030;2021-01-04 16:00:00;NULL;NULL;0,595
3030;2021-01-04 18:00:00;44,5;2;0,77
3030;2021-01-04 20:00:00;NULL;NULL;0,918
3030;2021-01-04 22:00:00;NULL;NULL;0,829
3030;2021-01-05 00:00:00;NULL;NULL;0,567
3030;2021-01-05 02:00:00;NULL;NULL;0,881
3030;2021-01-05 04:00:00;NULL;NULL;0,886
3030;2021-01-05 06:00:00;44,3;1;0,72
3030;2021-01-05 12:00:00;NULL;NULL;0,699
3030;2021-01-05 14:00:00;NULL;NULL;0,721
3030;2021-01-05 16:00:00;NULL;NULL;0,606
3030;2021-01-05 18:00:00;44,9;2;0,588
3030;2021-01-05 20:00:00;NULL;NULL;0,769
3030;2021-01-05 22:00:00;NULL;NULL;0,928
3030;2021-01-06 00:00:00;NULL;NULL;0,79
3030;2021-01-06 02:00:00;NULL;NULL;0,58
3030;2021-01-06 04:00:00;NULL;NULL;0,548
3030;2021-01-06 06:00:00;44,9;2;0,611
3030;2021-01-06 08:00:00;NULL;NULL;0,83
3030;2021-01-06 10:00:00;NULL;NULL;0,958
3030;2021-01-06 12:00:00;45,1;1;0,911
3030;2021-01-06 14:00:00;NULL;NULL;0,813
3030;2021-01-06 16:00:00;NULL;NULL;0,671
3030;2021-01-06 18:00:00;45,6;2;0,656
3030;2021-01-06 22:00:00;NULL;NULL;0,91
3030;2021-01-07 00:00:00;NULL;NULL;0,903
3030;2021-01-07 02:00:00;NULL;NULL;0,805
3030;2021-01-07 04:00:00;NULL;NULL;0,73
3030;2021-01-07 06:00:00;46,3;1;0,718
3030;2021-01-07 08:00:00;NULL;NULL;0,686
3030;2021-01-07 10:00:00;NULL;NULL;0,64
3030;2021-01-07 12:00:00;46,3;0;0,608
3030;2021-01-07 14:00:00;NULL;NULL;0,601
3030;2021-01-07 16:00:00;NULL;NULL;0,822
3030;2021-01-07 18:00:00;41,4;0;0,871
3030;2021-01-07 20:00:00;NULL;NULL;0,839
3030;2021-01-07 22:00:00;NULL;NULL;0,626
3030;2021-01-08 00:00:00;NULL;NULL;0,839
3030;2021-01-08 02:00:00;NULL;NULL;0,642
3030;2021-01-08 04:00:00;NULL;NULL;0,67
3030;2021-01-08 06:00:00;41,3;1;0,815
3030;2021-01-08 08:00:00;NULL;NULL;0,627
3030;2021-01-08 10:00:00;NULL;NULL;0,859
3030;2021-01-08 12:00:00;41,5;2;0,724
3030;2021-01-08 14:00:00;NULL;NULL;0,686
3030;2021-01-08 16:00:00;NULL;NULL;0,931
3030;2021-01-08 18:00:00;41,5;3;0,66
3030;2021-01-08 20:00:00;NULL;NULL;0,787
3030;2021-01-08 22:00:00;NULL;NULL;0,784
3030;2021-01-09 00:00:00;NULL;NULL;0,568
3030;2021-01-09 02:00:00;NULL;NULL;0,752
3030;2021-01-09 06:00:00;41,5;2;NULL
3030;2021-01-09 08:00:00;NULL;NULL;0,661
3030;2021-01-09 10:00:00;NULL;NULL;0,92
3030;2021-01-09 12:00:00;41,4;3;0,675
3030;2021-01-09 14:00:00;NULL;NULL;0,601
3030;2021-01-09 16:00:00;NULL;NULL;0,85
3030;2021-01-09 18:00:00;41,4;3;0,791
3030;2021-01-09 20:00:00;NULL;NULL;0,59
3030;2021-01-09 22:00:00;NULL;NULL;0,793
3030;2021-01-10 00:00:00;NULL;NULL;0,631
3030;2021-01-10 02:00:00;NULL;NULL;0,531
3030;2021-01-10 04:00:00;NULL;NULL;0,819
3030;2021-01-10 06:00:00;41,6;3;0,671
3030;2021-01-10 08:00:00;NULL;NULL;0,547
3030;2021-01-10 10:00:00;NULL;NULL;0,744
3030;2021-01-10 12:00:00;41,7;3;0,888
3030;2021-01-10 14:00:00;NULL;NULL;0,589
3030;2021-01-10 16:00:00;NULL;NULL;0,55
3030;2021-01-10 18:00:00;42;4;0,78
3030;2021-01-10 20:00:00;NULL;NULL;0,883
3030;2021-01-10 22:00:00;NULL;NULL;0,633
3030;2021-01-11 00:00:00;NULL;NULL;0,48
3030;2021-01-11 02:00:00;NULL;NULL;0,757
3030;2021-01-11 04:00:00;NULL;NULL;0,679
3030;2021-01-11 06:00:00;41,5;4;0,458
3030;2021-01-11 08:00:00;NULL;NULL;0,536
3030;2021-01-11 10:00:00;NULL;NULL;0,596
3030;2021-01-11 12:00:00;41,4;4;0,737
3030;2021-01-11 14:00:00;NULL;NULL;0,756
3030;2021-01-11 16:00:00;NULL;NULL;0,652
3030;2021-01-11 18:00:00;41,3;4;0,429
3030;2021-01-11 20:00:00;NULL;NULL;0,542
3030;2021-01-11 22:00:00;NULL;NULL;0,644
3030;2021-01-12 00:00:00;NULL;NULL;0,716
3030;2021-01-12 02:00:00;NULL;NULL;0,469
3030;2021-01-12 04:00:00;NULL;NULL;0,561
3030;2021-01-12 06:00:00;38;3;0,785
3030;2021-01-12 08:00:00;NULL;NULL;0,621
3030;2021-01-12 10:00:00;NULL;NULL;0,585
3030;2021-01-12 12:00:00;38;3;0,824
3030;2021-01-12 14:00:00;NULL;NULL;0,655
3030;2021-01-12 16:00:00;NULL;NULL;0,58
3030;2021-01-12 18:00:00;37,9;2;0,866
3030;2021-01-12 20:00:00;NULL;NULL;0,63
3030;2021-01-12 22:00:00;NULL;NULL;0,847
3030;2021-01-13 00:00:00;NULL;NULL;0,646
3030;2021-01-13 02:00:00;NULL;NULL;0,751
3030;2021-01-13 04:00:00;NULL;NULL;0,734
3030;2021-01-13 06:00:00;37;2;0,668
3030;2021-01-13 08:00:00;NULL;NULL;0,823
3030;2021-01-13 12:00:00;35,9;2;0,823
3030;2021-01-13 14:00:00;NULL;NULL;0,133
3030;2021-01-13 16:00:00;NULL;NULL;0,823
3030;2021-01-13 18:00:00;35,8;2;0,851
3030;2021-01-13 20:00:00;NULL;NULL;0,86
3030;2021-01-13 22:00:00;NULL;NULL;0,861
3030;2021-01-14 00:00:00;NULL;NULL;0,836
3030;2021-01-14 02:00:00;NULL;NULL;0,719
3030;2021-01-14 04:00:00;NULL;NULL;0,835
3030;2021-01-14 06:00:00;NULL;NULL;0,836
3030;2021-01-14 08:00:00;NULL;NULL;0,828
3030;2021-01-14 10:00:00;NULL;NULL;0,827
3030;2021-01-14 12:00:00;36;1;0,721
3030;2021-01-14 14:00:00;NULL;NULL;0,931
3030;2021-01-14 16:00:00;NULL;NULL;0,852
3030;2021-01-14 18:00:00;35,6;0;0,846
3030;2021-01-14 20:00:00;NULL;NULL;0,85
3030;2021-01-14 22:00:00;NULL;NULL;0,851
3030;2021-01-15 00:00:00;NULL;NULL;0,854
3030;2021-01-15 02:00:00;NULL;NULL;0,845
3030;2021-01-15 04:00:00;NULL;NULL;0,783
3030;2021-01-15 06:00:00;35,8;2;0,775
3030;2021-01-15 12:00:00;36,2;2;0,882
