ObjectID;DateTime;P_in;T_in;Qh
3170;2021-01-01 00:00:00;NULL;NULL;0,378
3170;2021-01-01 02:00:00;NULL;NULL;0,374
3170;2021-01-01 04:00:00;NULL;NULL;0,351
3170;2021-01-01 06:00:00;38,5;1;0,363
3170;2021-01-01 08:00:00;NULL;NULL;0,378
3170;2021-01-01 10:00:00;NULL;NULL;0,414
3170;2021-01-01 12:00:00;38,5;1;0,396
3170;2021-01-01 14:00:00;NULL;NULL;0,381
3170;2021-01-01 16:00:00;NULL;NULL;0,392
3170;2021-01-01 18:00:00;41;-1;0,423
3170;2021-01-01 20:00:00;NULL;NULL;0,431
3170;2021-01-01 22:00:00;NULL;NULL;0,417
3170;2021-01-02 00:00:00;NULL;NULL;0,374
3170;2021-01-02 02:00:00;NULL;NULL;0,356
3170;2021-01-02 04:00:00;NULL;NULL;0,352
3170;2021-01-02 06:00:00;41;-1;0,36
3170;2021-01-02 08:00:00;NULL;NULL;0,4
3170;2021-01-02 10:00:00;NULL;NULL;0,445
3170;2021-01-02 12:00:00;41;-1;0,416
3170;2021-01-02 14:00:00;NULL;NULL;0,401
3170;2021-01-02 16:00:00;NULL;NULL;0,425
3170;2021-01-02 18:00:00;46;-1;0,433
3170;2021-01-02 20:00:00;NULL;NULL;0,435
3170;2021-01-02 22:00:00;NULL;NULL;0,434
3170;2021-01-03 00:00:00;NULL;NULL;0,386
3170;2021-01-03 02:00:00;NULL;NULL;0,384
3170;2021-01-03 04:00:00;NULL;NULL;0,391
3170;2021-01-03 06:00:00;44,5;-1;0,409
3170;2021-01-03 08:00:00;NULL;NULL;0,416
3170;2021-01-03 10:00:00;NULL;NULL;0,426
3170;2021-01-03 12:00:00;45,5;0;0,436
3170;2021-01-03 14:00:00;NULL;NULL;0,426
3170;2021-01-03 16:00:00;NULL;NULL;0,411
3170;2021-01-03 18:00:00;45,5;-1;0,439
3170;2021-01-03 20:00:00;NULL;NULL;0,421
3170;2021-01-03 22:00:00;NULL;NULL;0,416
3170;2021-01-04 00:00:00;NULL;NULL;0,377
3170;2021-01-04 02:00:00;NULL;NULL;0,368
3170;2021-01-04 04:00:00;NULL;NULL;0,366
3170;2021-01-04 06:00:00;44,5;-1;0,366
3170;2021-01-04 08:00:00;NULL;NULL;0,379
3170;2021-01-04 10:00:00;NULL;NULL;0,396
3170;2021-01-04 12:00:00;44,5;-1;0,391
3170;2021-01-04 14:00:00;NULL;NULL;0,398
3170;2021-01-04 16:00:00;NULL;NULL;0,414
3170;2021-01-04 18:00:00;44,5;-1;0,409
3170;2021-01-04 20:00:00;NULL;NULL;0,394
3170;2021-01-04 22:00:00;NULL;NULL;0,372
3170;2021-01-05 00:00:00;NULL;NULL;0,356
3170;2021-01-05 02:00:00;NULL;NULL;0,359
3170;2021-01-05 04:00:00;NULL;NULL;0,373
3170;2021-01-05 06:00:00;44,5;-1;0,397
3170;2021-01-05 12:00:00;NULL;NULL;0,397
3170;2021-01-05 14:00:00;NULL;NULL;0,41
3170;2021-01-05 16:00:00;NULL;NULL;0,406
3170;2021-01-05 18:00:00;44;-1;0,405
3170;2021-01-05 20:00:00;NULL;NULL;0,422
3170;2021-01-05 22:00:00;NULL;NULL;0,409
3170;2021-01-06 00:00:00;NULL;NULL;0,384
3170;2021-01-06 02:00:00;NULL;NULL;0,368
3170;2021-01-06 04:00:00;NULL;NULL;0,366
3170;2021-01-06 06:00:00;45;-1;0,38
3170;2021-01-06 08:00:00;NULL;NULL;0,396
3170;2021-01-06 10:00:00;NULL;NULL;0,435
3170;2021-01-06 12:00:00;45;0;0,396
3170;2021-01-06 14:00:00;NULL;NULL;0,369
3170;2021-01-06 16:00:00;NULL;NULL;0,378
3170;2021-01-06 18:00:00;46;-1;0,417
3170;2021-01-06 22:00:00;NULL;NULL;0,394
3170;2021-01-07 00:00:00;NULL;NULL;0,395
3170;2021-01-07 02:00:00;NULL;NULL;0,396
3170;2021-01-07 04:00:00;NULL;NULL;0,374
3170;2021-01-07 06:00:00;46,5;-1;0,401
3170;2021-01-07 08:00:00;NULL;NULL;0,433
3170;2021-01-07 10:00:00;NULL;NULL;0,446
3170;2021-01-07 12:00:00;46,5;1;0,434
3170;2021-01-07 14:00:00;NULL;NULL;0,397
3170;2021-01-07 16:00:00;NULL;NULL;0,39
3170;2021-01-07 18:00:00;42;-1;0,422
