ObjectID;DateTime;P_in;T_in;Qh
3150;2021-01-01 00:00:00;NULL;NULL;0,98
3150;2021-01-01 02:00:00;NULL;NULL;0,94
3150;2021-01-01 04:00:00;NULL;NULL;0,901
3150;2021-01-01 06:00:00;38;-1;0,929
3150;2021-01-01 08:00:00;NULL;NULL;0,963
3150;2021-01-01 10:00:00;NULL;NULL;0,987
3150;2021-01-01 12:00:00;38;-1;0,959
3150;2021-01-01 14:00:00;NULL;NULL;0,909
3150;2021-01-01 16:00:00;NULL;NULL;0,935
3150;2021-01-01 18:00:00;41;-1;0,999
3150;2021-01-01 20:00:00;NULL;NULL;1,007
3150;2021-01-01 22:00:00;NULL;NULL;0,967
3150;2021-01-02 00:00:00;NULL;NULL;0,931
3150;2021-01-02 02:00:00;NULL;NULL;0,923
3150;2021-01-02 04:00:00;NULL;NULL;0,935
3150;2021-01-02 06:00:00;40,5;-2;0,951
3150;2021-01-02 08:00:00;NULL;NULL;0,99
3150;2021-01-02 10:00:00;NULL;NULL;1,087
3150;2021-01-02 12:00:00;40,5;-1;1,008
3150;2021-01-02 14:00:00;NULL;NULL;0,971
3150;2021-01-02 16:00:00;NULL;NULL;0,999
3150;2021-01-02 18:00:00;45,5;-2;1,062
3150;2021-01-02 20:00:00;NULL;NULL;1,05
3150;2021-01-02 22:00:00;NULL;NULL;0,993
3150;2021-01-03 00:00:00;NULL;NULL;0,972
3150;2021-01-03 02:00:00;NULL;NULL;0,944
3150;2021-01-03 04:00:00;NULL;NULL;0,928
3150;2021-01-03 06:00:00;45;-3;0,942
3150;2021-01-03 08:00:00;NULL;NULL;1,016
3150;2021-01-03 10:00:00;NULL;NULL;1,069
3150;2021-01-03 12:00:00;45,5;0;1,041
3150;2021-01-03 14:00:00;NULL;NULL;0,998
3150;2021-01-03 16:00:00;NULL;NULL;1,028
3150;2021-01-03 18:00:00;45,5;-2;1,08
3150;2021-01-03 20:00:00;NULL;NULL;1,02
3150;2021-01-03 22:00:00;NULL;NULL;0,991
3150;2021-01-04 00:00:00;NULL;NULL;0,954
3150;2021-01-04 02:00:00;NULL;NULL;0,932
3150;2021-01-04 04:00:00;NULL;NULL;0,94
3150;2021-01-04 06:00:00;44,5;-2;0,945
3150;2021-01-04 08:00:00;NULL;NULL;1,001
3150;2021-01-04 10:00:00;NULL;NULL;1,027
3150;2021-01-04 12:00:00;44,5;-2;0,993
3150;2021-01-04 14:00:00;NULL;NULL;0,964
3150;2021-01-04 16:00:00;NULL;NULL;0,982
3150;2021-01-04 18:00:00;44,5;-1;1,047
3150;2021-01-04 20:00:00;NULL;NULL;1,027
3150;2021-01-04 22:00:00;NULL;NULL;0,988
3150;2021-01-05 00:00:00;NULL;NULL;0,919
3150;2021-01-05 02:00:00;NULL;NULL;0,935
3150;2021-01-05 04:00:00;NULL;NULL;0,905
3150;2021-01-05 06:00:00;44,5;-2;0,947
3150;2021-01-05 12:00:00;NULL;NULL;1,008
3150;2021-01-05 14:00:00;NULL;NULL;0,962
3150;2021-01-05 16:00:00;NULL;NULL;1,024
3150;2021-01-05 18:00:00;44;-3;1,073
3150;2021-01-05 20:00:00;NULL;NULL;1,062
3150;2021-01-05 22:00:00;NULL;NULL;0,998
3150;2021-01-06 00:00:00;NULL;NULL;0,948
3150;2021-01-06 02:00:00;NULL;NULL;0,943
3150;2021-01-06 04:00:00;NULL;NULL;0,921
3150;2021-01-06 06:00:00;45;-3;0,95
3150;2021-01-06 08:00:00;NULL;NULL;0,998
3150;2021-01-06 10:00:00;NULL;NULL;1,062
3150;2021-01-06 12:00:00;45;-2;0,985
3150;2021-01-06 14:00:00;NULL;NULL;0,962
3150;2021-01-06 16:00:00;NULL;NULL;0,989
3150;2021-01-06 18:00:00;46;-3;1,098
