ObjectID;DateTime;P_in;T_in;Qh
3250;2021-01-01 00:00:00;38,3;2;NULL
3250;2021-01-01 02:00:00;38,3;2;NULL
3250;2021-01-01 04:00:00;38,3;2;NULL
3250;2021-01-01 06:00:00;39;2;3,792
3250;2021-01-01 08:00:00;39;2;NULL
3250;2021-01-01 10:00:00;39;2;3,792
3250;2021-01-01 12:00:00;39;2;4,065
3250;2021-01-01 14:00:00;39;2;NULL
3250;2021-01-01 16:00:00;39;2;NULL
3250;2021-01-01 18:00:00;39;2;3,792
3250;2021-01-02 06:00:00;41,5;2;3,869
3250;2021-01-02 08:00:00;41,5;2;NULL
3250;2021-01-02 10:00:00;41,3;2;4,27
3250;2021-01-02 12:00:00;41,3;2;3,898
3250;2021-01-02 14:00:00;41,3;2;NULL
3250;2021-01-02 16:00:00;41,3;2;NULL
3250;2021-01-02 18:00:00;46,4;2;4,09
3250;2021-01-02 20:00:00;46,4;2;NULL
3250;2021-01-02 22:00:00;46,4;2;NULL
3250;2021-01-03 00:00:00;46,4;2;NULL
3250;2021-01-03 04:00:00;46,4;2;NULL
3250;2021-01-03 06:00:00;45,5;2;3,96
3250;2021-01-03 08:00:00;45,5;2;NULL
3250;2021-01-03 10:00:00;46,3;2;4,314
3250;2021-01-03 12:00:00;46,3;2;3,995
3250;2021-01-03 14:00:00;46,3;2;NULL
3250;2021-01-03 16:00:00;46,3;2;NULL
3250;2021-01-03 18:00:00;46;2;4,088
3250;2021-01-03 20:00:00;46;2;NULL
3250;2021-01-03 22:00:00;46;2;NULL
3250;2021-01-04 00:00:00;46;2;NULL
3250;2021-01-04 02:00:00;46;2;NULL
3250;2021-01-04 04:00:00;46;2;NULL
3250;2021-01-04 06:00:00;45,3;2;3,894
3250;2021-01-04 10:00:00;45,2;2;4,131
3250;2021-01-04 12:00:00;NULL;NULL;3,949
3250;2021-01-04 14:00:00;45,2;2;NULL
3250;2021-01-04 18:00:00;45,3;2;4,066
3250;2021-01-04 20:00:00;45,3;2;NULL
3250;2021-01-04 22:00:00;45,3;2;NULL
3250;2021-01-05 00:00:00;45,3;2;NULL
3250;2021-01-05 02:00:00;45,3;2;NULL
3250;2021-01-05 04:00:00;45,3;2;NULL
3250;2021-01-05 06:00:00;45,1;2;3,865
3250;2021-01-05 08:00:00;45,1;2;NULL
3250;2021-01-05 10:00:00;44,9;2;4,125
3250;2021-01-05 12:00:00;44,9;2;3,918
3250;2021-01-05 14:00:00;44,9;2;NULL
3250;2021-01-05 16:00:00;44,9;2;NULL
3250;2021-01-05 18:00:00;44,5;2;4,089
3250;2021-01-05 20:00:00;44,5;2;NULL
3250;2021-01-06 06:00:00;45,8;2;3,841
3250;2021-01-06 08:00:00;45,8;2;NULL
3250;2021-01-06 10:00:00;45,9;2;4,209
3250;2021-01-06 12:00:00;NULL;NULL;3,968
3250;2021-01-06 14:00:00;45,9;2;NULL
3250;2021-01-06 18:00:00;46,6;2;4,206
3250;2021-01-06 20:00:00;46,6;2;NULL
3250;2021-01-06 22:00:00;46,6;2;NULL
3250;2021-01-07 00:00:00;46,6;2;NULL
3250;2021-01-07 02:00:00;46,6;2;NULL
3250;2021-01-07 04:00:00;46,6;2;NULL
3250;2021-01-07 06:00:00;47,2;2;4,196
3250;2021-01-07 08:00:00;47,2;2;NULL
3250;2021-01-07 10:00:00;47,1;2;4,647
3250;2021-01-07 12:00:00;47,1;2;4,157
3250;2021-01-07 14:00:00;47,1;2;NULL
3250;2021-01-07 16:00:00;47,1;2;NULL
3250;2021-01-07 18:00:00;42,5;2;4,279
3250;2021-01-07 22:00:00;42,5;2;NULL
3250;2021-01-08 06:00:00;42,4;2;4,065
3250;2021-01-08 10:00:00;42,6;2;4,322
3250;2021-01-08 12:00:00;42,6;2;4,161
3250;2021-01-08 18:00:00;42,6;2;4,191
3250;2021-01-08 20:00:00;42,6;2;NULL
3250;2021-01-08 22:00:00;42,6;2;NULL
