ObjectID;DateTime;P_in;T_in;Qh
4004;2021-01-01 00:00:00;39,1;4;0
4004;2021-01-01 02:00:00;39,2;4;0
4004;2021-01-01 04:00:00;39,3;4;0
4004;2021-01-01 06:00:00;39,3;4;0
4004;2021-01-01 08:00:00;39,4;4;0
4004;2021-01-01 10:00:00;39,4;4;0
4004;2021-01-01 12:00:00;39,4;4;0
4004;2021-01-01 14:00:00;39,3;4;0
4004;2021-01-01 16:00:00;41,8;4;0
4004;2021-01-01 18:00:00;42,7;4;0
4004;2021-01-01 20:00:00;43,2;4;0
4004;2021-01-01 22:00:00;42,6;4;0
4004;2021-01-02 00:00:00;42,2;4;0
4004;2021-01-02 02:00:00;42;4;0
4004;2021-01-02 04:00:00;42;4;0
4004;2021-01-02 06:00:00;41,8;4;0
4004;2021-01-02 08:00:00;41,7;4;0
4004;2021-01-02 10:00:00;41,7;4;0
4004;2021-01-02 12:00:00;42,4;4;0
4004;2021-01-02 14:00:00;46,2;4;0
4004;2021-01-02 16:00:00;46,1;4;0
4004;2021-01-02 18:00:00;46,6;4;0
4004;2021-01-02 20:00:00;46,6;5;0
4004;2021-01-02 22:00:00;46,2;5;0
4004;2021-01-03 00:00:00;45,9;5;0
4004;2021-01-03 02:00:00;45,7;5;0
4004;2021-01-03 04:00:00;45,8;5;0
4004;2021-01-03 06:00:00;45,8;5;0
4004;2021-01-03 08:00:00;45,6;5;0
4004;2021-01-03 10:00:00;46,2;5;0
4004;2021-01-03 12:00:00;46,1;5;0
4004;2021-01-03 14:00:00;46;5;0
4004;2021-01-03 16:00:00;46;5;0
4004;2021-01-03 18:00:00;45,9;5;0
4004;2021-01-03 20:00:00;46;5;0
4004;2021-01-03 22:00:00;45,8;5;0
4004;2021-01-04 00:00:00;45,5;5;0
4004;2021-01-04 02:00:00;45,6;5;0
4004;2021-01-04 04:00:00;45,5;5;0
4004;2021-01-04 06:00:00;45,5;5;0
4004;2021-01-04 08:00:00;45,5;5;0
4004;2021-01-04 10:00:00;45,5;5;0
4004;2021-01-04 12:00:00;45,5;5;0
4004;2021-01-04 14:00:00;45,5;5;0
4004;2021-01-04 16:00:00;45,5;5;0
4004;2021-01-04 18:00:00;45,5;5;0
4004;2021-01-04 20:00:00;45,5;5;0
4004;2021-01-04 22:00:00;45,4;5;0
4004;2021-01-05 00:00:00;45,3;5;0
4004;2021-01-05 02:00:00;45,3;5;0
4004;2021-01-05 04:00:00;45,3;5;0
4004;2021-01-05 06:00:00;45,3;5;0
4004;2021-01-05 08:00:00;45,2;5;0
4004;2021-01-05 10:00:00;45,1;5;0
4004;2021-01-05 12:00:00;45,3;5;0
4004;2021-01-05 14:00:00;45,6;5;0
4004;2021-01-05 16:00:00;45,9;5;0
4004;2021-01-05 18:00:00;44,8;5;0
4004;2021-01-05 20:00:00;45,1;5;0
4004;2021-01-05 22:00:00;45,3;5;0
4004;2021-01-06 00:00:00;45,5;5;0
4004;2021-01-06 02:00:00;45,7;5;0
4004;2021-01-06 04:00:00;45,9;5;0
4004;2021-01-06 06:00:00;46;5;0
4004;2021-01-06 08:00:00;46,1;5;0
4004;2021-01-06 10:00:00;46,1;5;0
4004;2021-01-06 12:00:00;45,8;5;0
4004;2021-01-06 14:00:00;46;5;0
4004;2021-01-06 16:00:00;46,3;5;0
4004;2021-01-06 18:00:00;46,5;5;0
4004;2021-01-06 20:00:00;47;5;0
4004;2021-01-06 22:00:00;47,2;5;0
4004;2021-01-07 00:00:00;47,3;5;0
4004;2021-01-07 02:00:00;47,3;5;0
4004;2021-01-07 04:00:00;47,3;5;0
4004;2021-01-07 06:00:00;47,3;5;0
4004;2021-01-07 08:00:00;47,3;5;0
4004;2021-01-07 10:00:00;47,3;5;0
4004;2021-01-07 12:00:00;46,8;5;0
4004;2021-01-07 14:00:00;43,1;4;0
4004;2021-01-07 16:00:00;42,8;4;0
4004;2021-01-07 18:00:00;42,8;5;0
4004;2021-01-07 20:00:00;42,8;5;0
4004;2021-01-07 22:00:00;42,8;5;0
4004;2021-01-08 00:00:00;42,8;5;0
4004;2021-01-08 02:00:00;42,8;5;0
4004;2021-01-08 04:00:00;42,8;5;0
4004;2021-01-08 06:00:00;42,7;5;0
4004;2021-01-08 08:00:00;42,9;5;0
4004;2021-01-08 10:00:00;42,9;5;0
4004;2021-01-08 12:00:00;42,9;5;0
4004;2021-01-08 14:00:00;42,9;5;0
4004;2021-01-08 16:00:00;42,9;5;0
4004;2021-01-08 18:00:00;42,9;5;0
4004;2021-01-08 20:00:00;42,9;5;0
4004;2021-01-08 22:00:00;42,9;5;0
4004;2021-01-09 00:00:00;42,9;5;0
4004;2021-01-09 02:00:00;42,9;5;0
4004;2021-01-09 04:00:00;42,9;5;0
4004;2021-01-09 06:00:00;42,9;5;0
4004;2021-01-09 08:00:00;42,9;5;0
4004;2021-01-09 10:00:00;42,9;5;0
4004;2021-01-09 12:00:00;42,8;5;0
4004;2021-01-09 14:00:00;42,8;5;0
4004;2021-01-09 16:00:00;42,8;5;0
4004;2021-01-09 18:00:00;42,8;5;0
4004;2021-01-09 20:00:00;42,8;5;0
4004;2021-01-09 22:00:00;42,9;5;0
4004;2021-01-10 00:00:00;42,9;5;0
4004;2021-01-10 02:00:00;42,9;5;0
4004;2021-01-10 04:00:00;43;5;0
