ObjectID;DateTime;P_in;T_in;Qh
10110;2021-01-01 00:00:00;NULL;NULL;4,61
10110;2021-01-01 02:00:00;NULL;NULL;4,567
10110;2021-01-01 04:00:00;NULL;NULL;4,624
10110;2021-01-01 06:00:00;NULL;NULL;4,584
10110;2021-01-01 08:00:00;48;3;4,618
10110;2021-01-01 10:00:00;NULL;NULL;4,628
10110;2021-01-01 12:00:00;48;2;4,748
10110;2021-01-01 14:00:00;NULL;NULL;4,788
10110;2021-01-01 16:00:00;NULL;NULL;4,778
10110;2021-01-01 18:00:00;NULL;NULL;4,59
10110;2021-01-01 20:00:00;49;3;4,853
10110;2021-01-01 22:00:00;NULL;NULL;4,539
10110;2021-01-02 00:00:00;NULL;NULL;4,531
10110;2021-01-02 02:00:00;NULL;NULL;4,683
10110;2021-01-02 04:00:00;NULL;NULL;4,642
10110;2021-01-02 06:00:00;NULL;NULL;4,642
10110;2021-01-02 08:00:00;50;3;4,657
10110;2021-01-02 10:00:00;NULL;NULL;4,762
10110;2021-01-02 12:00:00;50;3;4,692
10110;2021-01-02 14:00:00;NULL;NULL;4,978
10110;2021-01-02 16:00:00;NULL;NULL;4,802
10110;2021-01-02 18:00:00;NULL;NULL;5,038
10110;2021-01-02 20:00:00;50;3;4,909
10110;2021-01-02 22:00:00;NULL;NULL;4,789
10110;2021-01-03 00:00:00;NULL;NULL;4,795
10110;2021-01-03 02:00:00;NULL;NULL;4,76
10110;2021-01-03 04:00:00;NULL;NULL;4,748
10110;2021-01-03 06:00:00;NULL;NULL;4,679
10110;2021-01-03 08:00:00;50;3;4,733
10110;2021-01-03 10:00:00;NULL;NULL;5
10110;2021-01-03 12:00:00;51;3;4,847
10110;2021-01-03 14:00:00;NULL;NULL;4,888
10110;2021-01-03 16:00:00;NULL;NULL;4,807
10110;2021-01-03 18:00:00;NULL;NULL;4,804
10110;2021-01-03 20:00:00;51;3;4,874
10110;2021-01-03 22:00:00;NULL;NULL;4,716
10110;2021-01-04 00:00:00;NULL;NULL;4,53
10110;2021-01-04 02:00:00;NULL;NULL;4,076
10110;2021-01-04 04:00:00;NULL;NULL;4,557
10110;2021-01-04 06:00:00;NULL;NULL;4,649
10110;2021-01-04 08:00:00;51;3;4,698
10110;2021-01-04 10:00:00;NULL;NULL;5,045
10110;2021-01-04 12:00:00;51;3;4,714
10110;2021-01-04 14:00:00;NULL;NULL;4,86
10110;2021-01-04 16:00:00;NULL;NULL;5,04
10110;2021-01-04 18:00:00;NULL;NULL;5,128
10110;2021-01-04 20:00:00;51;3;5,124
10110;2021-01-04 22:00:00;NULL;NULL;5,116
10110;2021-01-05 00:00:00;NULL;NULL;4,872
10110;2021-01-05 02:00:00;NULL;NULL;4,825
10110;2021-01-05 04:00:00;NULL;NULL;4,838
10110;2021-01-05 06:00:00;NULL;NULL;4,852
10110;2021-01-05 08:00:00;51;3;4,994
10110;2021-01-05 10:00:00;NULL;NULL;5,106
10110;2021-01-05 12:00:00;51;3;4,978
10110;2021-01-05 14:00:00;NULL;NULL;4,929
10110;2021-01-05 16:00:00;NULL;NULL;4,6
10110;2021-01-05 18:00:00;NULL;NULL;4,89
10110;2021-01-05 20:00:00;51,6;3;5,064
10110;2021-01-05 22:00:00;NULL;NULL;4,761
10110;2021-01-06 00:00:00;NULL;NULL;4,819
10110;2021-01-06 02:00:00;NULL;NULL;4,894
10110;2021-01-06 04:00:00;NULL;NULL;4,865
10110;2021-01-06 06:00:00;NULL;NULL;4,905
10110;2021-01-06 08:00:00;51,6;3;5,117
10110;2021-01-06 10:00:00;NULL;NULL;5,307
10110;2021-01-06 12:00:00;51;2;4,947
10110;2021-01-06 14:00:00;NULL;NULL;4,94
10110;2021-01-06 16:00:00;NULL;NULL;5,055
10110;2021-01-06 18:00:00;NULL;NULL;5,223
10110;2021-01-06 20:00:00;50;2;5,144
10110;2021-01-06 22:00:00;NULL;NULL;5,171
10110;2021-01-07 00:00:00;NULL;NULL;4,869
10110;2021-01-07 02:00:00;NULL;NULL;4,896
10110;2021-01-07 04:00:00;NULL;NULL;4,958
10110;2021-01-07 06:00:00;NULL;NULL;5,023
10110;2021-01-07 08:00:00;49;2;5,107
10110;2021-01-07 10:00:00;NULL;NULL;5,278
10110;2021-01-07 12:00:00;49;2;5,083
10110;2021-01-07 14:00:00;NULL;NULL;5,225
10110;2021-01-07 16:00:00;NULL;NULL;4,908
10110;2021-01-07 18:00:00;NULL;NULL;5,019
