Object;DateTime;Pin;Pout
2010;2021-01-01 00:00:00;38,7;46
2010;2021-01-01 02:00:00;38,9;46,2
2010;2021-01-01 04:00:00;38,9;46,4
2010;2021-01-01 06:00:00;39,1;46,5
2010;2021-01-01 08:00:00;39,3;46,6
2010;2021-01-01 10:00:00;39,3;46,8
2010;2021-01-01 12:00:00;40;47,6
2010;2021-01-01 14:00:00;41,1;47,9
2010;2021-01-01 16:00:00;40,6;48
2010;2021-01-01 18:00:00;38,7;48,1
2010;2021-01-01 20:00:00;37,8;47,7
2010;2021-01-01 22:00:00;37,8;47,6
2010;2021-01-02 00:00:00;37,6;47,3
2010;2021-01-02 02:00:00;37,6;47,3
2010;2021-01-02 04:00:00;37,6;47,3
2010;2021-01-02 06:00:00;37,6;47,3
2010;2021-01-02 08:00:00;37,6;47,3
2010;2021-01-02 10:00:00;37,6;47,3
2010;2021-01-02 12:00:00;37,8;47,1
2010;2021-01-02 14:00:00;37,4;46,5
2010;2021-01-02 16:00:00;36,5;45,8
2010;2021-01-02 18:00:00;36,7;45,1
2010;2021-01-02 20:00:00;36,9;46
2010;2021-01-02 22:00:00;36,7;46,2
2010;2021-01-03 00:00:00;36,5;46,4
2010;2021-01-03 02:00:00;36,5;46,7
2010;2021-01-03 04:00:00;36,3;46,8
2010;2021-01-03 06:00:00;36,1;47
2010;2021-01-03 08:00:00;36,3;47
2010;2021-01-03 10:00:00;35,9;47
2010;2021-01-03 12:00:00;35,7;47,1
2010;2021-01-03 14:00:00;35,7;47,2
2010;2021-01-03 16:00:00;35,5;47,2
2010;2021-01-03 18:00:00;35,3;47,4
2010;2021-01-03 20:00:00;35,3;47,6
2010;2021-01-03 22:00:00;35,3;47,8
2010;2021-01-04 00:00:00;35,1;47,9
2010;2021-01-04 02:00:00;35,1;47,9
2010;2021-01-04 04:00:00;35,1;47,7
2010;2021-01-04 06:00:00;34,9;47,6
2010;2021-01-04 08:00:00;34,9;47,5
2010;2021-01-04 10:00:00;34,7;47,5
2010;2021-01-04 12:00:00;34,7;47,3
2010;2021-01-04 14:00:00;34,7;47,3
2010;2021-01-04 16:00:00;34,7;47,3
2010;2021-01-04 18:00:00;34,7;47,1
2010;2021-01-04 20:00:00;34,7;46,9
2010;2021-01-04 22:00:00;34,7;46,7
