elem_id;set_dt;remark;mode;limit_press
33193;2020-11-20 10:00:00.000;Ограничение РРД;1;28.10
33391;2020-11-20 10:00:00.000;Ремонт;1;NULL
33398;2020-11-20 10:00:00.000;Ограничение РРД;1;33.80
1513;2021-03-18 10:00:00.000;Ограничение РРД;0;64.40
11687;2021-03-18 10:00:00.000;Ограничение РРД;0;51.30
11882;2021-03-18 10:00:00.000;Ограничение РРД;0;64.40
11883;2021-03-18 10:00:00.000;Ограничение РРД;0;64.40
12013;2021-03-18 10:00:00.000;Ограничение РРД;0;69.80
12075;2021-03-18 10:00:00.000;Ограничение РРД;0;64.80
12185;2021-03-18 10:00:00.000;Ограничение РРД;0;69.30
12444;2021-03-18 10:00:00.000;Ограничение РРД;0;69.80
12843;2021-03-18 10:00:00.000;Ограничение РРД. ФП №15-21 от 18.03.21;2;42.40
14905;2021-03-18 10:00:00.000;Ограничение РРД;0;71.07
10864;2021-07-21 10:00:00.000;Ограничение РРД;0;52.31
11453;2021-07-21 10:00:00.000;Ограничение РРД;0;52.31
11567;2021-07-21 10:00:00.000;Ограничение РРД;1;0.00
11568;2021-07-21 10:00:00.000;Ограничение РРД;1;0.00
11659;2021-07-21 10:00:00.000;Ограничение РРД;1;0.00
11681;2021-07-21 10:00:00.000;Ограничение РРД;1;39.70
18300;2021-07-21 10:00:00.000;Ограничение РРД;0;52.31
18429;2021-07-21 10:00:00.000;Ограничение РРД;1;39.70
18438;2021-07-21 10:00:00.000;Ограничение РРД;1;39.70
8171;2021-10-19 10:00:00.000;Ограничение РРД;0;43.90
10214;2021-10-29 10:00:00.000;Ограничение РРД;0;46.80
10373;2021-10-29 10:00:00.000;Ограничение РРД;1;50.47
8441;2021-11-19 10:00:00.000;Ограничение РРД;1;43.90
9814;2021-11-19 10:00:00.000;Ограничение РРД;0;52.70
9044;2021-12-01 10:00:00.000;Ограничение РРД;0;53.60
9156;2021-12-01 10:00:00.000;Ограничение РРД;0;52.50
9204;2021-12-01 10:00:00.000;Ограничение РРД;0;52.50
10864;2022-02-16 10:00:00.000;Ограничение РРД снято;0;NULL
11453;2022-02-16 10:00:00.000;Ограничение РРД снято;0;NULL
14905;2022-02-16 10:00:00.000;Ограничение РРД;0;68.52
18300;2022-02-16 10:00:00.000;Ограничение РРД снято;0;NULL
9044;2022-02-28 10:00:00.000;Ограничение РРД снято;0;NULL
9156;2022-02-28 10:00:00.000;Ограничение РРД снято;0;NULL
9204;2022-02-28 10:00:00.000;Ограничение РРД снято;0;NULL
9538;2022-03-04 10:00:00.000;Ограничение РРД;0;50.30
33209;2022-03-04 10:00:00.000;Ограничение РРД;0;50.30
8690;2022-03-17 10:00:00.000;Ограничение РРД ФП№2-22 от 17.03.22;1;0.00
15006;2022-03-18 10:00:00.000;Ограничение РРД;0;64.40
10208;2022-03-22 10:00:00.000;Ограничение РРД;0;35.30
10355;2022-03-22 10:00:00.000;Ограничение РРД;0;41.30
8423;2022-03-23 10:00:00.000;Ограничение РРД;0;23.50
9805;2022-03-23 10:00:00.000;Ограничение РРД;0;43.90
9246;2022-03-30 10:00:00.000;Ограничение РРД;0;50.80
6855;2022-04-04 07:48:00.000;КР, замена трубы Ду500 на участке 17.2-39.3км, L=22км.;1;NULL
11206;2022-04-06 10:00:00.000;Ограничение РРД;0;2.80
11210;2022-04-06 10:00:00.000;Ограничение РРД;0;2.80
12914;2022-04-06 10:00:00.000;Ограничение РРД;0;1.20
17071;2022-04-06 10:00:00.000;Ограничение РРД;0;1.20
18054;2022-04-06 10:00:00.000;Ограничение РРД;0;2.80
10214;2022-04-08 10:00:00.000;Ограничение РРД снято;0;NULL
9538;2022-04-08 14:56:00.000;ремонт;1;NULL
33209;2022-04-08 14:56:00.000;ремонт;1;NULL
7182;2022-04-12 18:36:00.000;Монтаж временных камер запуска, приема очистных устройств.;1;NULL
8441;2022-04-12 21:45:00.000;Ограничение снято;0;NULL
9538;2022-04-14 12:06:00.000;Включен после ремонта;0;NULL
33209;2022-04-14 12:06:00.000;Включен после ремонта;0;NULL
7182;2022-04-16 18:31:00.000;Монтаж временных камер запуска, приема очистных устройств.;0;NULL
6855;2022-04-22 07:58:00.000;КР, замена трубы Ду500 на участке 17.2-39.3км, L=22км.;1;NULL
11066;2022-04-22 10:00:00.000;Ограничение РРД;0;0.70
6855;2022-04-22 11:20:00.000;КР, замена трубы Ду500 на участке 17.2-39.3км, L=22км.;1;NULL
8171;2022-04-23 10:00:00.000;Снято ограничение РРД;0;NULL
10373;2022-04-24 10:00:00.000;Снято ограничение РРД;0;NULL
10373;2022-04-24 13:30:00.000;Ограничение РРД;0;50.47
10355;2022-04-26 11:56:00.000;Сработка;1;41.30
10208;2022-04-26 11:58:00.000;Сработка;1;35.30
11567;2022-04-26 12:04:00.000;Ограничение РРД;1;0.00
11568;2022-04-26 12:04:00.000;Ограничение РРД;1;0.00
11659;2022-04-26 12:04:00.000;Ограничение РРД;1;0.00
11681;2022-04-26 12:04:00.000;Ограничение РРД;1;39.70
18429;2022-04-26 12:04:00.000;Ограничение РРД;1;39.70
18438;2022-04-26 12:04:00.000;Ограничение РРД;1;39.70
9538;2022-04-26 12:06:00.000;ремонт;0;NULL
33209;2022-04-26 12:06:00.000;ремонт;0;NULL
6868;2022-04-27 14:27:00.000;Ремонт 17.2-39.3км;2;NULL
9954;2022-04-28 17:29:00.000;Под работы АО "ИЦА";1;NULL
10208;2022-05-06 13:56:00.000;Сработка;1;35.30
10355;2022-05-06 13:57:00.000;Сработка;1;41.30
9954;2022-05-06 14:01:00.000;Под работы АО "ИЦА";1;NULL
11066;2022-05-14 05:50:00.000;Сработка для вывода в ремонт;1;0.70
11066;2022-05-14 05:54:00.000;Сработка для вывода в ремонт;1;0.70
11066;2022-05-16 08:16:00.000;Сработка для вывода в ремонт;1;0.70
11066;2022-05-17 18:56:00.000;Стравлен в ремонт;1;0.70
8423;2022-05-18 10:00:00.000;Ограничение РРД;0;36.30
9876;2022-05-18 10:00:00.000;Ограничение РРД;0;36.30
9967;2022-05-18 10:00:00.000;Ограничение РРД;0;42.00
10064;2022-05-24 10:00:00.000;Ограничение РРД;0;53.70
10882;2022-05-31 10:00:00.000;для расчета Астры;2;NULL
12740;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12755;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
12808;2022-05-31 10:00:00.000;для расчёта ЗГ;2;NULL
