Datetime;Object;Value
2021-01-01 00:00:00;50889;-326,921
2021-01-02 00:00:00;50889;328,087
2021-01-03 00:00:00;50889;-1102,949
2021-01-04 00:00:00;50889;-270,094
2021-01-05 00:00:00;50889;-1557,349
2021-01-06 00:00:00;50889;478,264
2021-01-07 00:00:00;50889;-2091,436
2021-01-08 00:00:00;50889;-439,562
2021-01-09 00:00:00;50889;-327,643
2021-01-10 00:00:00;50889;-709,879
2021-01-11 00:00:00;50889;-2649,473
2021-01-12 00:00:00;50889;579,597
2021-01-13 00:00:00;50889;-837,886
2021-01-14 00:00:00;50889;-748,525
2021-01-15 00:00:00;50889;-515,388
2021-01-16 00:00:00;50889;-863,489
2021-01-17 00:00:00;50889;775,584
2021-01-18 00:00:00;50889;1131,444
2021-01-19 00:00:00;50889;-343,504
2021-01-20 00:00:00;50889;-152,116
2021-01-21 00:00:00;50889;-480,137
2021-01-22 00:00:00;50889;1197,916
2021-01-23 00:00:00;50889;-3263,731
2021-01-24 00:00:00;50889;1072,803
2021-01-25 00:00:00;50889;-556,224
2021-01-26 00:00:00;50889;-2569,388
2021-01-27 00:00:00;50889;-936,606
2021-01-28 00:00:00;50889;-2964,115
2021-01-29 00:00:00;50889;-1399,157
2021-01-30 00:00:00;50889;-1636,552
2021-01-31 00:00:00;50889;-806,483
2021-02-01 00:00:00;50889;-135,746
2021-02-02 00:00:00;50889;453,86
2021-02-03 00:00:00;50889;544,59
2021-02-04 00:00:00;50889;-10,409
2021-02-05 00:00:00;50889;850,441
2021-02-06 00:00:00;50889;-506,407
2021-02-07 00:00:00;50889;-1435,44
2021-02-08 00:00:00;50889;-2431,444
2021-02-09 00:00:00;50889;241,473
2021-02-10 00:00:00;50889;-585,992
2021-02-11 00:00:00;50889;-1099,022
2021-02-12 00:00:00;50889;-1018,512
2021-02-13 00:00:00;50889;369,842
2021-02-14 00:00:00;50889;337,438
2021-02-15 00:00:00;50889;1391,896
2021-02-16 00:00:00;50889;-2646,13
2021-02-17 00:00:00;50889;-1346,346
2021-02-18 00:00:00;50889;-671,122
2021-02-19 00:00:00;50889;-1400,57
2021-02-20 00:00:00;50889;67,053
2021-02-21 00:00:00;50889;-847,621
2021-02-22 00:00:00;50889;-3700,449
2021-02-23 00:00:00;50889;-1147,712
2021-02-24 00:00:00;50889;-1672,606
2021-02-25 00:00:00;50889;-1182,778
2021-02-26 00:00:00;50889;-1332,328
2021-02-27 00:00:00;50889;-2429,678
2021-02-28 00:00:00;50889;261,875
2021-03-01 00:00:00;50889;-447,958
2021-03-02 00:00:00;50889;-327,535
2021-03-03 00:00:00;50889;-224,834
2021-03-04 00:00:00;50889;-1632,243
2021-03-05 00:00:00;50889;69,748
2021-03-06 00:00:00;50889;-288,458
2021-03-07 00:00:00;50889;-1235,955
2021-03-08 00:00:00;50889;-190,279
2021-03-09 00:00:00;50889;578,059
2021-03-10 00:00:00;50889;-2136,359
